observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE07004,2832591,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,2008,9,,1,,1,
RE07025,2832611,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,2008,5,,1,,1,
CF07008,2832619,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,2008,4,,1,,1,
AO08112,2832596,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,2008,7,,1,,1,
CF07002,2832618,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,2008,4,,1,,1,
CF07021,2832616,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,27789,https://doi.org/10.15454/BTYEVM,CF07021,VIRTUAL_TRIAL,,,,,,,,2008,2,,1,,3,
AO08107,2832613,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,2008,6,,1,,1,
CF07018,2832600,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,2008,"2,5",,1,,1,
RE07019,2832593,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,2008,4,,1,,1,
RE07012,2832588,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,2008,4,,1,,1,
Premio,2832583,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2008,7,,1,,1,
RE07013,2832589,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,48745,gnpis_pui:holding-921_taxon-4898_accession-48745,RE07013,VIRTUAL_TRIAL,,,,,,,,2008,5,,1,,1,
EM07118,2832597,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,49448,gnpis_pui:holding-921_taxon-4898_accession-49448,EM07118,VIRTUAL_TRIAL,,,,,,,,2008,4,,1,,1,
DI08006,2832609,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,49329,gnpis_pui:holding-921_taxon-4898_accession-49329,DI08006,VIRTUAL_TRIAL,,,,,,,,2008,"4,5",,1,,1,
