observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI08019-2itknt,2845510,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,70,,150,,,,"84,4",,"106,4",,"94,5",
RE07095itkfi,2845551,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,150,,"11,55",,83,,"95,4",,"70,6",
DI08019-2itkfi,2845509,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,150,,"10,24",,83,,"109,5",,"81,1",
DI08019-2itkt,2845511,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,152,,"10,07",,"82,8",,"103,4",,"104,9",
Folkloritknt,2845501,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,78,,155,,,,"78,8",,"103,7",,"92,1",
Bermudeitkfi,2845512,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,153,,"10,27",,"82,5",,"106,5",,"78,9",
Caphornitknt,2845561,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,62,,152,,,,"80,4",,"94,5",,84,
HadmF11383itknt,2845525,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,70,,156,,,,"81,2",,"100,8",,"89,5",
Folkloritkfi,2845500,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,152,,"10,74",,"81,9",,"98,8",,"73,2",
AO10004itkfi,2845563,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,48616,https://doi.org/10.15454/HDFKTU,AO10004,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,156,,"11,3",,"84,6",,"97,7",,"72,3",
RE07095itknt,2845552,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,78,,154,,,,"82,4",,106,,"94,2",
Lyrikitknt,2845603,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,70,,151,,,,"84,9",,111,,"98,6",
Folkloritkt,2845502,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,154,,"9,95",,"78,9",,101,,"102,5",
AO10004itknt,2845564,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,48616,https://doi.org/10.15454/HDFKTU,AO10004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,80,,155,,,,"85,1",,"103,1",,"91,6",
HadmF11383itkfi,2845524,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,153,,"10,2",,81,,"100,9",,"74,7",
