observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF03252itkt,2798585,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49339,gnpis_pui:holding-921_taxon-4898_accession-49339,CF03252,VIRTUAL_TRIAL,,,,,,,,treated,2004,149,,"99,8",,"102,9",
CF03124itkt,2798576,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49408,gnpis_pui:holding-921_taxon-4898_accession-49408,CF03124,VIRTUAL_TRIAL,,,,,,,,treated,2004,147,,"105,5",,"108,9",
EM03030itkt,2798573,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49101,gnpis_pui:holding-921_taxon-4898_accession-49101,EM03030,VIRTUAL_TRIAL,,,,,,,,treated,2004,152,,"104,2",,"107,5",
LM03010itkt,2798578,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,48581,gnpis_pui:holding-921_taxon-4898_accession-48581,LM03010,VIRTUAL_TRIAL,,,,,,,,treated,2004,153,,"96,1",,"99,2",
Isengrainitkt,2798579,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2004,145,,"108,4",,"111,9",
Apacheitkt,2798562,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2004,146,,"109,7",,"113,3",
DI04010itkt,2798557,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,48983,gnpis_pui:holding-921_taxon-4898_accession-48983,DI04010,VIRTUAL_TRIAL,,,,,,,,treated,2004,149,,"97,2",,"100,3",
DI04013itkt,2798554,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49312,gnpis_pui:holding-921_taxon-4898_accession-49312,DI04013,VIRTUAL_TRIAL,,,,,,,,treated,2004,148,,"91,7",,"94,6",
EM03047itkt,2798544,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49041,gnpis_pui:holding-921_taxon-4898_accession-49041,EM03047,VIRTUAL_TRIAL,,,,,,,,treated,2004,153,,"99,4",,"102,6",
EM03028itkt,2798547,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,treated,2004,150,,"100,6",,"103,8",
EM03069itkt,2798549,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49555,gnpis_pui:holding-921_taxon-4898_accession-49555,EM03069,VIRTUAL_TRIAL,,,,,,,,treated,2004,152,,"97,3",,"100,5",
RE03098itkt,2798586,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,48665,gnpis_pui:holding-921_taxon-4898_accession-48665,RE03098,VIRTUAL_TRIAL,,,,,,,,treated,2004,149,,"104,9",,"108,2",
LM03013itkt,2798559,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49649,gnpis_pui:holding-921_taxon-4898_accession-49649,LM03013,VIRTUAL_TRIAL,,,,,,,,treated,2004,147,,92,,95,
CF03139itkt,2798548,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,48502,gnpis_pui:holding-921_taxon-4898_accession-48502,CF03139,VIRTUAL_TRIAL,,,,,,,,treated,2004,150,,"92,6",,"95,6",
EM03051itkt,2798565,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49248,gnpis_pui:holding-921_taxon-4898_accession-49248,EM03051,VIRTUAL_TRIAL,,,,,,,,treated,2004,148,,"92,9",,"95,8",
CF03167itkt,2798571,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,26797,https://doi.org/10.15454/VTWXME,CF03167,VIRTUAL_TRIAL,,,,,,,,treated,2004,149,,"80,7",,"83,3",
CF03260itkt,2798560,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,48947,gnpis_pui:holding-921_taxon-4898_accession-48947,CF03260,VIRTUAL_TRIAL,,,,,,,,treated,2004,153,,"90,3",,"93,2",
DI04014itkt,2798553,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49289,gnpis_pui:holding-921_taxon-4898_accession-49289,DI04014,VIRTUAL_TRIAL,,,,,,,,treated,2004,149,,"97,5",,"100,6",
EM03041itkt,2798541,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,treated,2004,152,,101,,"104,3",
CF03102itkt,2798564,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,26794,https://doi.org/10.15454/NWP5WQ,CF03102,VIRTUAL_TRIAL,,,,,,,,treated,2004,152,,"102,3",,"105,5",
CF03269itkt,2798563,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,48526,gnpis_pui:holding-921_taxon-4898_accession-48526,CF03269,VIRTUAL_TRIAL,,,,,,,,treated,2004,153,,"93,3",,"96,3",
DI04011itkt,2798556,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,48536,gnpis_pui:holding-921_taxon-4898_accession-48536,DI04011,VIRTUAL_TRIAL,,,,,,,,treated,2004,148,,"104,9",,"108,2",
EM03067itkt,2798546,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,48874,gnpis_pui:holding-921_taxon-4898_accession-48874,EM03067,VIRTUAL_TRIAL,,,,,,,,treated,2004,152,,"84,2",,"86,9",
CF03050itkt,2798550,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,48545,gnpis_pui:holding-921_taxon-4898_accession-48545,CF03050,VIRTUAL_TRIAL,,,,,,,,treated,2004,153,,"103,7",,107,
CF03226itkt,2798561,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,treated,2004,149,,109,,"112,5",
LM03012itkt,2798558,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49456,gnpis_pui:holding-921_taxon-4898_accession-49456,LM03012,VIRTUAL_TRIAL,,,,,,,,treated,2004,145,,"99,4",,"102,5",
RE03136itkt,2798581,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49407,gnpis_pui:holding-921_taxon-4898_accession-49407,RE03136,VIRTUAL_TRIAL,,,,,,,,treated,2004,149,,"99,9",,"103,1",
EM03085itkt,2798552,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,48696,gnpis_pui:holding-921_taxon-4898_accession-48696,EM03085,VIRTUAL_TRIAL,,,,,,,,treated,2004,147,,"105,2",,"108,6",
LM03015itkt,2798551,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,treated,2004,149,,"109,8",,"113,3",
Chargeritkt,2798568,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2004,147,,"93,6",,"96,6",
RE03111itkt,2798580,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,treated,2004,148,,"94,4",,"97,5",
EM03061itkt,2798545,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49443,gnpis_pui:holding-921_taxon-4898_accession-49443,EM03061,VIRTUAL_TRIAL,,,,,,,,treated,2004,147,,"113,2",,"116,8",
DI04012itkt,2798555,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49639,gnpis_pui:holding-921_taxon-4898_accession-49639,DI04012,VIRTUAL_TRIAL,,,,,,,,treated,2004,149,,"100,9",,"104,1",
Oratorioitkt,2798575,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,treated,2004,146,,"87,8",,"90,6",
EM03025itkt,2798543,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49110,gnpis_pui:holding-921_taxon-4898_accession-49110,EM03025,VIRTUAL_TRIAL,,,,,,,,treated,2004,152,,"91,2",,"94,1",
Caphornitkt,2798566,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2004,147,,"88,2",,91,
RE03174itkt,2798542,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49640,gnpis_pui:holding-921_taxon-4898_accession-49640,RE03174,VIRTUAL_TRIAL,,,,,,,,treated,2004,147,,"104,5",,"107,9",
RE03094itkt,2798584,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,26397,https://doi.org/10.15454/A8ZRSZ,RE03094,VIRTUAL_TRIAL,,,,,,,,treated,2004,153,,"95,5",,"98,6",
LM03014itkt,2798574,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,treated,2004,147,,"98,1",,"101,2",
CF03125itkt,2798577,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,48636,gnpis_pui:holding-921_taxon-4898_accession-48636,CF03125,VIRTUAL_TRIAL,,,,,,,,treated,2004,148,,"92,5",,"95,5",
DI04009itkt,2798583,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,48478,gnpis_pui:holding-921_taxon-4898_accession-48478,DI04009,VIRTUAL_TRIAL,,,,,,,,treated,2004,150,,"94,4",,"97,4",
Farandoleitkt,2798567,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2004,147,,108,,"111,5",
RE02072itkt,2798572,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49136,https://doi.org/10.15454/GVNGUK,RE02072,VIRTUAL_TRIAL,,,,,,,,treated,2004,149,,"101,3",,"104,5",
CF03388itkt,2798570,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,48582,gnpis_pui:holding-921_taxon-4898_accession-48582,CF03388,VIRTUAL_TRIAL,,,,,,,,treated,2004,150,,"84,9",,"87,6",
DI04008itkt,2798582,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,49427,gnpis_pui:holding-921_taxon-4898_accession-49427,DI04008,VIRTUAL_TRIAL,,,,,,,,treated,2004,152,,"99,1",,"102,3",
EM03059itkt,2798569,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,48624,gnpis_pui:holding-921_taxon-4898_accession-48624,EM03059,VIRTUAL_TRIAL,,,,,,,,treated,2004,150,,"90,6",,"93,5",
