observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI05004,2807402,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,2005,"7,5",,3,,NA,,5,,4,,4,
DI05002,2807404,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,48966,gnpis_pui:holding-921_taxon-4898_accession-48966,DI05002,VIRTUAL_TRIAL,,,,,,,,2005,"5,75",,4,,NA,,5,,3,,6,
CF04215,2807395,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,49236,gnpis_pui:holding-921_taxon-4898_accession-49236,CF04215,VIRTUAL_TRIAL,,,,,,,,2005,"3,75",,3,,NA,,5,,6,,1,
LM04010,2807375,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,48743,gnpis_pui:holding-921_taxon-4898_accession-48743,LM04010,VIRTUAL_TRIAL,,,,,,,,2005,"7,25",,3,,NA,,5,,5,,1,
RE04004,2807369,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,49332,gnpis_pui:holding-921_taxon-4898_accession-49332,RE04004,VIRTUAL_TRIAL,,,,,,,,2005,7,,6,,NA,,2,,1,,1,
RE03012,2807374,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,49336,gnpis_pui:holding-921_taxon-4898_accession-49336,RE03012,VIRTUAL_TRIAL,,,,,,,,2005,"4,25",,1,,NA,,5,,2,,4,
DI05007,2807399,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,49452,gnpis_pui:holding-921_taxon-4898_accession-49452,DI05007,VIRTUAL_TRIAL,,,,,,,,2005,5,,6,,NA,,2,,3,,1,
LM04017,2807376,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,48520,gnpis_pui:holding-921_taxon-4898_accession-48520,LM04017,VIRTUAL_TRIAL,,,,,,,,2005,"7,25",,3,,NA,,5,,7,,1,
DI05009,2807397,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,48521,gnpis_pui:holding-921_taxon-4898_accession-48521,DI05009,VIRTUAL_TRIAL,,,,,,,,2005,"3,25",,3,,NA,,2,,1,,8,
RE04008,2807371,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,48687,gnpis_pui:holding-921_taxon-4898_accession-48687,RE04008,VIRTUAL_TRIAL,,,,,,,,2005,"6,75",,6,,NA,,5,,2,,1,
LM04003,2807394,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,48824,gnpis_pui:holding-921_taxon-4898_accession-48824,LM04003,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",,3,,NA,,5,,3,,1,
CF03092,2807407,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,49643,gnpis_pui:holding-921_taxon-4898_accession-49643,CF03092,VIRTUAL_TRIAL,,,,,,,,2005,6,,4,,NA,,3,,6,,1,
DI05006,2807400,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,48563,gnpis_pui:holding-921_taxon-4898_accession-48563,DI05006,VIRTUAL_TRIAL,,,,,,,,2005,"5,25",,4,,NA,,5,,7,,1,
Apache,2807380,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",,8,,"7,57",,4349,,6,,1,
CF04004,2807373,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,49316,gnpis_pui:holding-921_taxon-4898_accession-49316,CF04004,VIRTUAL_TRIAL,,,,,,,,2005,"5,5",,6,,NA,,5,,6,,1,
RE04017,2807384,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,49275,gnpis_pui:holding-921_taxon-4898_accession-49275,RE04017,VIRTUAL_TRIAL,,,,,,,,2005,"7,25",,3,,NA,,5,,4,,1,
CF03326,2807392,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,48539,gnpis_pui:holding-921_taxon-4898_accession-48539,CF03326,VIRTUAL_TRIAL,,,,,,,,2005,"5,75",,6,,NA,,2,,4,,1,
LM04022,2807406,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,48922,gnpis_pui:holding-921_taxon-4898_accession-48922,LM04022,VIRTUAL_TRIAL,,,,,,,,2005,"7,25",,4,,NA,,5,,6,,4,
Charger,2807388,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2005,"6,75",,6,,"6,84",,4402,,6,,1,
Caphorn,2807385,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2005,6,,6,,7,,4629,,3,,1,
EM04181,2807391,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,2005,6,,1,,NA,,5,,3,,6,
DI05001,2807405,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,49480,gnpis_pui:holding-921_taxon-4898_accession-49480,DI05001,VIRTUAL_TRIAL,,,,,,,,2005,"6,5",,6,,NA,,3,,4,,4,
RE03019,2807396,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,26829,https://doi.org/10.15454/NMOYD6,RE03019,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",,3,,NA,,2,,3,,4,
RE04009,2807372,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,26830,https://doi.org/10.15454/6V5ULG,RE04009,VIRTUAL_TRIAL,,,,,,,,2005,7,,5,,NA,,2,,4,,1,
EM04115,2807383,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,48943,gnpis_pui:holding-921_taxon-4898_accession-48943,EM04115,VIRTUAL_TRIAL,,,,,,,,2005,6,,4,,NA,,2,,4,,3,
Orvantis,2807393,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,2005,"6,75",,4,,"7,5",,4396,,6,,3,
DI05005,2807401,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,48604,gnpis_pui:holding-921_taxon-4898_accession-48604,DI05005,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",,4,,NA,,5,,3,,1,
EM04081,2807382,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,48571,https://doi.org/10.15454/RRGUYW,EM04081,VIRTUAL_TRIAL,,,,,,,,2005,"4,5",,3,,NA,,5,,2,,1,
RE03099,2807408,BTH_Rennes_2005_SetB1_PIETIN-VERSE,BTH_Rennes_2005_SetB1_PIETIN-VERSE,48737,gnpis_pui:holding-921_taxon-4898_accession-48737,RE03099,VIRTUAL_TRIAL,,,,,,,,2005,"2,75",,3,,NA,,5,,3,,1,
