observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fr(CO_321:1000271),fr(CO_321:1000271).date
DI00016,2765156,BTH_Chaux_des_Prés_2000_SetB2,BTH_Chaux_des_Prés_2000_SetB2,26859,https://doi.org/10.15454/KODDU6,DI00016,VIRTUAL_TRIAL,,,,,,,,2000,"3,5",
CF99105,2765155,BTH_Chaux_des_Prés_2000_SetB2,BTH_Chaux_des_Prés_2000_SetB2,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,2000,4,
CF00191,2765160,BTH_Chaux_des_Prés_2000_SetB2,BTH_Chaux_des_Prés_2000_SetB2,25999,https://doi.org/10.15454/VRBLKL,CF00191,VIRTUAL_TRIAL,,,,,,,,2000,"3,5",
EM00014,2765143,BTH_Chaux_des_Prés_2000_SetB2,BTH_Chaux_des_Prés_2000_SetB2,49530,gnpis_pui:holding-921_taxon-4898_accession-49530,EM00014,VIRTUAL_TRIAL,,,,,,,,2000,5,
DI00017,2765125,BTH_Chaux_des_Prés_2000_SetB2,BTH_Chaux_des_Prés_2000_SetB2,48960,gnpis_pui:holding-921_taxon-4898_accession-48960,DI00017,VIRTUAL_TRIAL,,,,,,,,2000,3,
CF00190,2765131,BTH_Chaux_des_Prés_2000_SetB2,BTH_Chaux_des_Prés_2000_SetB2,49106,gnpis_pui:holding-921_taxon-4898_accession-49106,CF00190,VIRTUAL_TRIAL,,,,,,,,2000,"3,5",
EM00008,2765129,BTH_Chaux_des_Prés_2000_SetB2,BTH_Chaux_des_Prés_2000_SetB2,49203,gnpis_pui:holding-921_taxon-4898_accession-49203,EM00008,VIRTUAL_TRIAL,,,,,,,,2000,6,
DI00012,2765152,BTH_Chaux_des_Prés_2000_SetB2,BTH_Chaux_des_Prés_2000_SetB2,48428,gnpis_pui:holding-921_taxon-4898_accession-48428,DI00012,VIRTUAL_TRIAL,,,,,,,,2000,"3,5",
CF99127,2765151,BTH_Chaux_des_Prés_2000_SetB2,BTH_Chaux_des_Prés_2000_SetB2,49184,gnpis_pui:holding-921_taxon-4898_accession-49184,CF99127,VIRTUAL_TRIAL,,,,,,,,2000,"4,5",
DI00011,2765153,BTH_Chaux_des_Prés_2000_SetB2,BTH_Chaux_des_Prés_2000_SetB2,48371,gnpis_pui:holding-921_taxon-4898_accession-48371,DI00011,VIRTUAL_TRIAL,,,,,,,,2000,3,
EM00010,2765146,BTH_Chaux_des_Prés_2000_SetB2,BTH_Chaux_des_Prés_2000_SetB2,48443,gnpis_pui:holding-921_taxon-4898_accession-48443,EM00010,VIRTUAL_TRIAL,,,,,,,,2000,4,
DI00014,2765130,BTH_Chaux_des_Prés_2000_SetB2,BTH_Chaux_des_Prés_2000_SetB2,49133,gnpis_pui:holding-921_taxon-4898_accession-49133,DI00014,VIRTUAL_TRIAL,,,,,,,,2000,"3,5",
RE00007,2765139,BTH_Chaux_des_Prés_2000_SetB2,BTH_Chaux_des_Prés_2000_SetB2,48568,gnpis_pui:holding-921_taxon-4898_accession-48568,RE00007,VIRTUAL_TRIAL,,,,,,,,2000,"3,5",
RE00006,2765138,BTH_Chaux_des_Prés_2000_SetB2,BTH_Chaux_des_Prés_2000_SetB2,48591,gnpis_pui:holding-921_taxon-4898_accession-48591,RE00006,VIRTUAL_TRIAL,,,,,,,,2000,"2,5",
LM00002,2765132,BTH_Chaux_des_Prés_2000_SetB2,BTH_Chaux_des_Prés_2000_SetB2,48625,gnpis_pui:holding-921_taxon-4898_accession-48625,LM00002,VIRTUAL_TRIAL,,,,,,,,2000,4,
