observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI08011,2833802,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,2008,8,,1,,1,
Koreli,2833812,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2008,6,,2,,3,
RE07083,2833832,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,2008,5,,1,,1,
CF07097,2833811,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,2008,"3,5",,1,,1,
RE07040,2833806,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,2008,"5,5",,1,,1,
Premio,2833798,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2008,7,,1,,1,
RE07028,2833821,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,48952,gnpis_pui:holding-921_taxon-4898_accession-48952,RE07028,VIRTUAL_TRIAL,,,,,,,,2008,5,,1,,1,
RE07036,2833809,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,48462,gnpis_pui:holding-921_taxon-4898_accession-48462,RE07036,VIRTUAL_TRIAL,,,,,,,,2008,9,,1,,1,
CF07138,2833817,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,49475,gnpis_pui:holding-921_taxon-4898_accession-49475,CF07138,VIRTUAL_TRIAL,,,,,,,,2008,"7,5",,1,,1,
RE07087,2833834,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,49201,gnpis_pui:holding-921_taxon-4898_accession-49201,RE07087,VIRTUAL_TRIAL,,,,,,,,2008,4,,1,,1,
AO08514,2833835,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,49416,gnpis_pui:holding-921_taxon-4898_accession-49416,AO08514,VIRTUAL_TRIAL,,,,,,,,2008,3,,1,,5,
RE07038,2833829,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,48821,gnpis_pui:holding-921_taxon-4898_accession-48821,RE07038,VIRTUAL_TRIAL,,,,,,,,2008,7,,1,,1,
EM07219,2833816,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,49294,gnpis_pui:holding-921_taxon-4898_accession-49294,EM07219,VIRTUAL_TRIAL,,,,,,,,2008,"4,5",,1,,1,
DI08014,2833804,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,49513,gnpis_pui:holding-921_taxon-4898_accession-49513,DI08014,VIRTUAL_TRIAL,,,,,,,,2008,8,,1,,1,
RE07075,2833831,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,49516,gnpis_pui:holding-921_taxon-4898_accession-49516,RE07075,VIRTUAL_TRIAL,,,,,,,,2008,"3,5",,1,,2,
DI08009,2833823,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,48494,gnpis_pui:holding-921_taxon-4898_accession-48494,DI08009,VIRTUAL_TRIAL,,,,,,,,2008,5,,1,,3,
EM07246,2833799,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,48496,gnpis_pui:holding-921_taxon-4898_accession-48496,EM07246,VIRTUAL_TRIAL,,,,,,,,2008,4,,1,,1,
AO08511,2833820,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,48515,gnpis_pui:holding-921_taxon-4898_accession-48515,AO08511,VIRTUAL_TRIAL,,,,,,,,2008,7,,1,,3,
EM07213,2833813,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,48541,gnpis_pui:holding-921_taxon-4898_accession-48541,EM07213,VIRTUAL_TRIAL,,,,,,,,2008,"5,5",,1,,1,
RE07027,2833824,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,49172,gnpis_pui:holding-921_taxon-4898_accession-49172,RE07027,VIRTUAL_TRIAL,,,,,,,,2008,"4,5",,1,,1,
DI08008,2833822,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,49441,gnpis_pui:holding-921_taxon-4898_accession-49441,DI08008,VIRTUAL_TRIAL,,,,,,,,2008,"6,5",,1,,1,
CF07098,2833808,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,49624,gnpis_pui:holding-921_taxon-4898_accession-49624,CF07098,VIRTUAL_TRIAL,,,,,,,,2008,9,,1,,1,
Apache,2833814,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2008,"3,5",,1,,1,
AO08337,2833805,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,49535,gnpis_pui:holding-921_taxon-4898_accession-49535,AO08337,VIRTUAL_TRIAL,,,,,,,,2008,7,,1,,4,
Sankara,2833818,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,2008,7,,1,,1,
Musik,2833807,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,2008,8,,1,,1,
Caphorn,2833819,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2008,"8,5",,1,,2,
