observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
EM09080,2849950,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,49303,https://doi.org/10.15454/WSDK5P,EM09080,VIRTUAL_TRIAL,,,,,,,,2010,"5,5",,5,,3,,1,
EM09189,2849955,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,49252,https://doi.org/10.15454/LVMRPV,EM09189,VIRTUAL_TRIAL,,,,,,,,2010,"7,5",,5,,1,,1,
RE09029,2849941,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,48519,https://doi.org/10.15454/R0LHUG,RE09029,VIRTUAL_TRIAL,,,,,,,,2010,4,,2,,1,,1,
Bermude,2849925,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,2010,8,,2,,NA,,6,
AO10010,2849956,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,49024,gnpis_pui:holding-921_taxon-4898_accession-49024,AO10010,VIRTUAL_TRIAL,,,,,,,,2010,8,,3,,3,,6,
DI10003,2849943,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,48505,gnpis_pui:holding-921_taxon-4898_accession-48505,DI10003,VIRTUAL_TRIAL,,,,,,,,2010,"6,5",,2,,3,,1,
RE09032,2849931,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,48622,gnpis_pui:holding-921_taxon-4898_accession-48622,RE09032,VIRTUAL_TRIAL,,,,,,,,2010,"4,5",,2,,1,,1,
AO10015,2849917,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,2010,"7,5",,2,,NA,,8,
CF09075,2849935,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,48642,gnpis_pui:holding-921_taxon-4898_accession-48642,CF09075,VIRTUAL_TRIAL,,,,,,,,2010,8,,2,,3,,1,
DI10004,2849946,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,49387,gnpis_pui:holding-921_taxon-4898_accession-49387,DI10004,VIRTUAL_TRIAL,,,,,,,,2010,5,,3,,1,,4,
AO10014,2849918,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,49697,gnpis_pui:holding-921_taxon-4898_accession-49697,AO10014,VIRTUAL_TRIAL,,,,,,,,2010,8,,2,,3,,1,
DI10005,2849945,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,49716,gnpis_pui:holding-921_taxon-4898_accession-49716,DI10005,VIRTUAL_TRIAL,,,,,,,,2010,7,,5,,1,,4,
DI10002,2849944,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,48382,gnpis_pui:holding-921_taxon-4898_accession-48382,DI10002,VIRTUAL_TRIAL,,,,,,,,2010,"6,5",,2,,1,,1,
CF09030,2849929,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,48471,gnpis_pui:holding-921_taxon-4898_accession-48471,CF09030,VIRTUAL_TRIAL,,,,,,,,2010,8,,2,,3,,1,
