observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
Barok,2805829,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2005,"4,5",,4,,"7,34",,"4,66",,3,,1,
DI9714,2805835,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,2005,"2,5",,NA,,"5,05",,222,,NA,,NA,
EM03206,2805862,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,26809,https://doi.org/10.15454/NO762C,EM03206,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",,3,,"5,04",,"0,32",,2,,1,
EM01343,2805849,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,2005,"2,25",,6,,"6,79",,3938,,4,,4,
LM03017,2805854,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,VIRTUAL_TRIAL,,,,,,,,2005,7,,3,,"6,95",,3846,,6,,7,
EM00264,2805857,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,2005,4,,4,,NA,,NA,,2,,7,
LM03001,2805832,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",,3,,"4,39",,201,,6,,3,
Apache,2805852,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",,8,,"7,57",,4349,,6,,1,
LM03022,2805833,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,48608,gnpis_pui:holding-921_taxon-4898_accession-48608,LM03022,VIRTUAL_TRIAL,,,,,,,,2005,"5,5",,4,,"3,82",,523,,6,,1,
Skerzzo,2805859,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,2005,"3,25",,4,,"5,62",,373,,3,,1,
