observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
RE14126itkt,2974662,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76135,https://doi.org/10.15454/94U6BB,RE14126,VIRTUAL_TRIAL,,,,,,,,traite,2015,116,,142,,11.2,,98.9,,,,121,,,,,
RE14126itkfi,2974661,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76135,https://doi.org/10.15454/94U6BB,RE14126,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,114,,142,,10.8,,97.5,,1.5,,93.4,,2.5,,3.2,
RE14102itkfi,2974665,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76136,https://doi.org/10.15454/K21FCC,RE14102,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,96,,139,,10.6,,96.7,,1.8,,92.6,,2,,2.5,
RE14102itkt,2974666,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76136,https://doi.org/10.15454/K21FCC,RE14102,VIRTUAL_TRIAL,,,,,,,,traite,2015,103,,138,,11,,99.6,,,,121.8,,,,,
RE14106itkt,2974668,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76137,https://doi.org/10.15454/WGTO7X,RE14106,VIRTUAL_TRIAL,,,,,,,,traite,2015,109,,147,,11.3,,86.3,,,,105.6,,,,,
RE14106itkfi,2974667,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76137,https://doi.org/10.15454/WGTO7X,RE14106,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,106,,147,,10.9,,96.6,,1.8,,92.5,,1,,2.5,
CF14188itkt,2974670,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76138,https://doi.org/10.15454/KYFEDO,CF14188,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,147,,10.5,,96,,,,117.4,,,,,
CF14188itkfi,2974669,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76138,https://doi.org/10.15454/KYFEDO,CF14188,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,88,,148,,10.1,,96.3,,1,,92.2,,2,,3,
EM14097itkt,2974672,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76139,https://doi.org/10.15454/OELY3F,EM14097,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,145,,10.8,,102.2,,,,125.1,,,,,
EM14097itkfi,2974671,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76139,https://doi.org/10.15454/OELY3F,EM14097,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,88,,147,,10.3,,101.3,,1.5,,97,,2,,2.5,
DI15009itkfi,2974681,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76144,https://doi.org/10.15454/F5OZ5D,DI15009,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,89,,139,,10.7,,108.3,,2.5,,103.7,,1,,3,
DI15009itkt,2974682,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76144,https://doi.org/10.15454/F5OZ5D,DI15009,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,138,,10.6,,112.6,,,,137.7,,,,,
DI15011itkfi,2974683,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76145,https://doi.org/10.15454/VFM9BQ,DI15011,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,90,,138,,10.3,,96.2,,2,,92.1,,2,,3.8,
