observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE11058itkfi,2874843,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,154,,"10,6",,"76,4",,114,,"98,7",,1,,4,,,
DI12011itkt,2874911,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,155,,"11,8",,"73,5",,"95,5",,"102,3",,,,,,,
DI12011itkfi,2874909,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,78,,154,,"11,2",,"72,3",,"107,7",,"93,2",,1,,4,,,
DI12011itknt,2874910,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,82,,154,,,,"69,6",,"110,5",,102,,,,4,,1,
EM11537itkt,2874812,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,156,,"11,2",,"77,9",,"103,2",,"110,5",,,,,,,
EM11537itkfi,2874810,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,156,,11,,"69,8",,"105,6",,"91,4",,2,,"6,2",,,
EM11537itknt,2874811,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,81,,156,,,,"73,9",,"103,5",,"95,6",,,,"7,5",,1,
Koreliitkt,2874860,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2013,91,,157,,"11,7",,"74,3",,"100,8",,108,,,,,,,
Koreliitknt,2874859,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,92,,156,,,,"79,3",,"113,4",,"104,7",,,,3,,1,
Koreliitkfi,2874858,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,87,,156,,"11,2",,"76,5",,"106,5",,"92,2",,1,,"3,8",,,
Barokitkt,2874875,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2013,81,,154,,"11,4",,75,,98,,105,,,,,,,
Barokitkfi,2874873,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,155,,"10,3",,"68,8",,"102,5",,"88,7",,1,,4,,,
Barokitknt,2874874,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,80,,154,,,,"71,8",,"107,5",,"99,2",,,,4,,1,
RE11035itkt,2874848,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,157,,"11,6",,"76,2",,91,,"97,5",,,,,,,
RE11035itknt,2874847,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,81,,156,,,,"76,3",,"108,7",,"100,3",,,,"4,5",,1,
RE11035itkfi,2874846,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,79,,156,,"11,4",,"76,3",,"98,1",,"84,9",,1,,"5,5",,,
RE11059itknt,2874841,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,82,,154,,,,"81,4",,"107,2",,99,,,,"3,8",,1,
RE11059itkt,2874842,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,treated,2013,83,,155,,"11,9",,"77,2",,"97,4",,"104,3",,,,,,,
RE11059itkfi,2874840,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,78,,154,,"11,1",,77,,"102,7",,"88,8",,1,,"3,8",,,
RE11091itknt,2874838,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,92,,154,,,,"71,3",,"110,6",,"102,1",,,,"3,5",,1,
RE11091itkt,2874839,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,155,,"12,2",,"73,4",,"92,8",,"99,4",,,,,,,
RE11091itkfi,2874837,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,154,,"11,2",,"73,8",,"100,3",,"86,8",,1,,"4,8",,,
RE11094itkt,2874836,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48366,https://doi.org/10.15454/ZSJORF,RE11094,VIRTUAL_TRIAL,,,,,,,,treated,2013,93,,155,,12,,"72,2",,"98,7",,"105,7",,,,,,,
RE11094itknt,2874835,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48366,https://doi.org/10.15454/ZSJORF,RE11094,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,92,,154,,,,"70,3",,"112,7",,104,,,,"3,5",,1,
RE11094itkfi,2874834,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48366,https://doi.org/10.15454/ZSJORF,RE11094,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,154,,"11,1",,"72,2",,"107,9",,"93,4",,1,,"3,5",,,
RE11095itkfi,2874831,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49685,https://doi.org/10.15454/NZBGQD,RE11095,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,155,,"11,2",,70,,"106,1",,"91,9",,1,,"4,5",,,
RE11095itkt,2874833,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49685,https://doi.org/10.15454/NZBGQD,RE11095,VIRTUAL_TRIAL,,,,,,,,treated,2013,97,,154,,"12,4",,"73,4",,"98,7",,"105,7",,,,,,,
RE11095itknt,2874832,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49685,https://doi.org/10.15454/NZBGQD,RE11095,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,94,,154,,,,"72,4",,"115,8",,"106,9",,,,"3,2",,1,
RE11096itkt,2874830,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48664,https://doi.org/10.15454/ITWRUM,RE11096,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,155,,"12,8",,"67,6",,"93,4",,100,,,,,,,
RE11096itkfi,2874828,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48664,https://doi.org/10.15454/ITWRUM,RE11096,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,154,,"11,6",,71,,"103,8",,"89,8",,1,,"2,5",,,
RE11096itknt,2874829,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48664,https://doi.org/10.15454/ITWRUM,RE11096,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,92,,154,,,,"70,2",,"106,4",,"98,2",,,,"2,2",,1,
RE11098itkt,2874815,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,treated,2013,95,,156,,"12,7",,"73,6",,"93,6",,"100,3",,,,,,,
RE11098itknt,2874814,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,92,,154,,,,74,,115,,"106,1",,,,"2,2",,1,
RE11098itkfi,2874813,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,89,,155,,"11,9",,"71,7",,"99,5",,"86,1",,1,,"1,2",,,
Apacheitkfi,2874867,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,77,,154,,11,,"71,2",,"91,2",,"78,9",,1,,8,,,
Apacheitknt,2874868,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,82,,154,,,,"69,2",,"93,4",,"86,2",,,,8,,1,
Apacheitkt,2874869,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,154,,"11,7",,"72,1",,"100,7",,"107,9",,,,,,,
Attlassitknt,2874907,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,88,,156,,,,"76,7",,"117,8",,"108,7",,,,"3,8",,1,
Attlassitkfi,2874906,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,87,,154,,"10,8",,"70,8",,"116,7",,101,,1,,3,,,
Attlassitkt,2874908,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,156,,"11,4",,"72,5",,"103,9",,"111,3",,,,,,,
Grapeliitknt,2874892,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,92,,156,,,,"76,7",,"121,4",,112,,,,"3,5",,1,
