observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE13093itkt,2972061,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,traite,2015,104,,134,,10.8,,80.5,,99.1,,,,91.8,,,,1,
RE13093itkfi,2972060,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,108,,133,,10.3,,78.3,,102,,1,,74.2,,1,,1,
RE13094itkt,2972065,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,traite,2015,106,,127,,11,,81.9,,103,,,,95.4,,,,1,
RE13094itkfi,2972064,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,105,,127,,10.5,,81,,113.4,,1,,82.5,,1,,1,
AO14026itkfi,2972100,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61704,https://doi.org/10.15454/ZZZLIR,AO14026,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,100,,134,,9.8,,77.6,,110.5,,1,,80.4,,1,,1,
AO14026itkt,2972101,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61704,https://doi.org/10.15454/ZZZLIR,AO14026,VIRTUAL_TRIAL,,,,,,,,traite,2015,100,,136,,10.3,,78.6,,102.4,,,,94.9,,,,1,
AO14013itkt,2972059,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,62003,https://doi.org/10.15454/UIHLJL,AO14013,VIRTUAL_TRIAL,,,,,,,,traite,2015,102,,133,,10.7,,81.2,,102.3,,,,94.7,,,,3,
AO14013itkfi,2972058,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,62003,https://doi.org/10.15454/UIHLJL,AO14013,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,104,,133,,10,,77.6,,98,,1,,71.2,,1,,1,
AO14014itkt,2972075,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,62034,https://doi.org/10.15454/RWXBD7,AO14014,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,134,,10.1,,79,,108.6,,,,100.6,,,,1,
AO14014itkfi,2972074,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,62034,https://doi.org/10.15454/RWXBD7,AO14014,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,90,,133,,9.9,,79.2,,107.5,,1,,78.2,,1,,1,
