observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI10015itkfi,2851819,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,65,,150,,"10,76",,"78,8",,106,,"76,4",
CF09257itkfi,2851865,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48873,gnpis_pui:holding-921_taxon-4898_accession-48873,CF09257,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,150,,"12,88",,"81,9",,"81,6",,"58,8",
RE09074itkfi,2851817,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48534,gnpis_pui:holding-921_taxon-4898_accession-48534,RE09074,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,148,,"13,86",,"83,8",,"82,8",,"59,7",
DI10016itkt,2851800,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49397,gnpis_pui:holding-921_taxon-4898_accession-49397,DI10016,VIRTUAL_TRIAL,,,,,,,,treated,2010,65,,153,,"10,08",,"77,8",,"90,7",,"86,9",
DI10015itkt,2851820,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,treated,2010,68,,153,,"9,98",,"74,4",,"97,8",,"93,7",
EM08147itkfi,2851825,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49183,gnpis_pui:holding-921_taxon-4898_accession-49183,EM08147,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,158,,"10,67",,"78,6",,"100,8",,"72,7",
Koreliitkt,2851830,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,156,,"10,18",,82,,"99,5",,"95,4",
DI10016itkfi,2851799,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49397,gnpis_pui:holding-921_taxon-4898_accession-49397,DI10016,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,68,,150,,"10,88",,"81,7",,"101,2",,"72,9",
EM08147itkt,2851826,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49183,gnpis_pui:holding-921_taxon-4898_accession-49183,EM08147,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,158,,"10,07",,"76,6",,"102,2",,"97,9",
RE09074itkt,2851818,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48534,gnpis_pui:holding-921_taxon-4898_accession-48534,RE09074,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,148,,12,,"81,1",,93,,"89,1",
