observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
CF10185,2882044,BTH_Rennes_2014_SetA1_PIETIN-VERSE,BTH_Rennes_2014_SetA1_PIETIN-VERSE,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,2014,4,,NA,,5,,4,,1,
CF10064,2882011,BTH_Rennes_2014_SetA1_PIETIN-VERSE,BTH_Rennes_2014_SetA1_PIETIN-VERSE,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,2014,5,,NA,,2,,3,,4,
EM11537,2882006,BTH_Rennes_2014_SetA1_PIETIN-VERSE,BTH_Rennes_2014_SetA1_PIETIN-VERSE,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,2014,5,,NA,,2,,3,,1,
AO13013,2882038,BTH_Rennes_2014_SetA1_PIETIN-VERSE,BTH_Rennes_2014_SetA1_PIETIN-VERSE,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,2014,"5,5",,"5,5",,5,,1,,1,
CF09117,2882036,BTH_Rennes_2014_SetA1_PIETIN-VERSE,BTH_Rennes_2014_SetA1_PIETIN-VERSE,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,2014,"3,5",,NA,,3,,3,,1,
Apache,2882022,BTH_Rennes_2014_SetA1_PIETIN-VERSE,BTH_Rennes_2014_SetA1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2014,2,,NA,,5,,6,,1,
Lyrik,2882043,BTH_Rennes_2014_SetA1_PIETIN-VERSE,BTH_Rennes_2014_SetA1_PIETIN-VERSE,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2014,3,,NA,,2,,3,,2,
CF08027,2882042,BTH_Rennes_2014_SetA1_PIETIN-VERSE,BTH_Rennes_2014_SetA1_PIETIN-VERSE,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,2014,5,,NA,,2,,3,,4,
AO11011,2882007,BTH_Rennes_2014_SetA1_PIETIN-VERSE,BTH_Rennes_2014_SetA1_PIETIN-VERSE,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,2014,5,,NA,,5,,4,,1,
Gotik,2882034,BTH_Rennes_2014_SetA1_PIETIN-VERSE,BTH_Rennes_2014_SetA1_PIETIN-VERSE,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,2014,"5,5",,NA,,2,,2,,6,
