observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI06007,2829017,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,2008,"5,5",,NA,,1,,1,
Koreli,2828989,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2008,6,,NA,,2,,3,
Barok,2828978,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2008,"5,5",,NA,,1,,1,
AO07803,2828998,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,27764,https://doi.org/10.15454/NMXDOZ,AO07803,VIRTUAL_TRIAL,,,,,,,,2008,"6,5",,5,,1,,3,
AO07218,2829011,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,27758,https://doi.org/10.15454/HQFX9Y,AO07218,VIRTUAL_TRIAL,,,,,,,,2008,"7,5",,5,,1,,1,
CF05173,2829009,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,2008,7,,NA,,1,,1,
AO08001,2829018,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,27765,https://doi.org/10.15454/ROTVXP,AO08001,VIRTUAL_TRIAL,,,,,,,,2008,"8,5",,3,,1,,1,
CF05079,2829008,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,2008,3,,NA,,1,,1,
AO07438,2829005,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,27762,https://doi.org/10.15454/XHRZAO,AO07438,VIRTUAL_TRIAL,,,,,,,,2008,"2,5",,3,,1,,3,
DI05014,2828987,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,2008,4,,NA,,1,,1,
RE05007,2828982,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,2008,9,,NA,,1,,1,
CF05162,2828988,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,2008,"7,5",,NA,,1,,1,
CF03201,2828999,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,2008,4,,NA,,1,,1,
AO07210,2829012,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,2008,"8,5",,3,,1,,1,
AO07302,2828986,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,2008,"3,5",,3,,2,,1,
AO07403,2828984,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,27761,https://doi.org/10.15454/KYXZFC,AO07403,VIRTUAL_TRIAL,,,,,,,,2008,"6,5",,3,,1,,1,
AO07311,2829010,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,27760,https://doi.org/10.15454/RMDMGI,AO07311,VIRTUAL_TRIAL,,,,,,,,2008,7,,3,,1,,1,
CF04043,2829000,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,2008,8,,NA,,1,,1,
Hendrix,2828979,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,2008,5,,NA,,1,,1,
Folklor,2828983,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2008,5,,NA,,1,,1,
Apache,2828994,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2008,"3,5",,NA,,1,,1,
Sankara,2828996,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,2008,7,,NA,,1,,1,
Toisondor,2828980,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2008,8,,NA,,1,,3,
Flamenko,2829001,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,2008,8,,NA,,1,,1,
CF05161,2828990,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,2008,9,,NA,,1,,1,
EM05230,2829016,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26988,https://doi.org/10.15454/FV0GUM,EM05230,VIRTUAL_TRIAL,,,,,,,,2008,"4,5",,NA,,1,,1,
Karillon,2829013,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,2008,9,,NA,,1,,1,
Crousty,2829002,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2008,"4,5",,NA,,1,,1,
Caphorn,2828997,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2008,"8,5",,NA,,1,,2,
AO07102,2828991,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,27754,https://doi.org/10.15454/7MX1DM,AO07102,VIRTUAL_TRIAL,,,,,,,,2008,"7,5",,5,,1,,1,
AO07116,2829015,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,27755,https://doi.org/10.15454/IF7X64,AO07116,VIRTUAL_TRIAL,,,,,,,,2008,"8,5",,5,,2,,1,
CF03287,2829003,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,2008,4,,NA,,1,,1,
RE05108,2829006,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,2008,"5,5",,NA,,1,,1,
RE05005,2828981,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,2008,"7,5",,NA,,1,,1,
RE05047,2828985,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26903,https://doi.org/10.15454/QRI3MM,RE05047,VIRTUAL_TRIAL,,,,,,,,2008,"6,5",,NA,,1,,1,
Soissons,2829014,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2008,5,,NA,,2,,1,
Mendel,2828995,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,2008,8,,NA,,1,,1,
Gorecki,2829007,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,VIRTUAL_TRIAL,,,,,,,,2008,7,,NA,,1,,4,
AO07127,2828992,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,2008,9,,3,,2,,1,
AO08004,2829019,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,27766,https://doi.org/10.15454/FP9VJX,AO08004,VIRTUAL_TRIAL,,,,,,,,2008,"8,5",,5,,1,,1,
RE05039,2828993,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,27825,https://doi.org/10.15454/FYAJT8,RE05039,VIRTUAL_TRIAL,,,,,,,,2008,7,,NA,,1,,1,
RE05074,2829004,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,2008,"8,5",,NA,,1,,1,
