observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Barokitkt,2847849,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2010,73,,,,"49,1",,145,,"9,72",,"78,6",,"99,6",,,,"112,7",,1,
Attlassitkt,2847924,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2010,84,,,,51,,148,,10,,"81,4",,"101,7",,,,115,,1,
EM08277itkfi,2847946,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27824,https://doi.org/10.15454/OUS6AU,EM08277,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,1,,"47,7",,148,,"10,82",,"79,2",,100,,1,,"100,3",,1,
EM08277itkt,2847948,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27824,https://doi.org/10.15454/OUS6AU,EM08277,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,,,"47,2",,150,,"10,4",,"79,8",,"96,1",,,,"108,8",,1,
Barokitknt,2847848,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,83,,,,"51,8",,144,,,,"81,4",,"96,3",,"1,5",,103,,1,
Barokitkfi,2847847,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,1,,"51,1",,144,,"9,66",,"81,2",,"106,2",,1,,"106,6",,1,
CF08106itknt,2847953,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27311,https://doi.org/10.15454/4DNWV7,CF08106,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,88,,,,NA,,144,,,,"81,4",,"92,4",,1,,"98,8",,4,
Attlassitknt,2847923,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,,,"51,6",,148,,,,"81,7",,"100,9",,1,,"107,9",,"7,5",
Attlassitkfi,2847922,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,"51,7",,148,,"9,86",,"80,8",,"104,9",,"1,5",,"105,3",,1,
CF08127itkt,2847927,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,treated,2010,88,,,,"49,1",,150,,"10,8",,"81,3",,"93,7",,,,106,,1,
