observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF10299itkt,2866132,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,61198,https://doi.org/10.15454/BXUMII,CF10299,VIRTUAL_TRIAL,,,,,,,,treated,2012,102,,"41,7",,134,,"10,3",,"77,3",,"107,5",,,,91,,,,,,1,
RE09013itkt,2866078,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,49189,https://doi.org/10.15454/FINGUM,RE09013,VIRTUAL_TRIAL,,,,,,,,treated,2012,91,,"42,8",,138,,"10,86",,"75,1",,100,,,,"84,6",,,,,,1,
RE09013itkfi,2866077,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,49189,https://doi.org/10.15454/FINGUM,RE09013,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,"33,8",,137,,"10,79",,"72,1",,"98,9",,"1,5",,"59,2",,1,,4,,1,
Bermudeitkt,2866094,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2012,95,,"41,6",,139,,"10,38",,"79,4",,"103,4",,,,"87,5",,,,,,1,
CF10299itkfi,2866131,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,61198,https://doi.org/10.15454/BXUMII,CF10299,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,96,,34,,134,,"10,25",,"72,9",,"101,8",,4,,"60,9",,1,,4,,1,
RE10040itkfi,2866127,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,49526,https://doi.org/10.15454/U0AWKP,RE10040,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,98,,"41,6",,144,,"9,96",,"76,8",,"109,4",,1,,"65,4",,4,,"3,5",,1,
EM10126itkt,2866114,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2012,102,,"45,6",,137,,"10,15",,"76,7",,"107,2",,,,"90,7",,,,,,1,
RE10040itkt,2866128,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,49526,https://doi.org/10.15454/U0AWKP,RE10040,VIRTUAL_TRIAL,,,,,,,,treated,2012,99,,"51,6",,143,,"10,01",,"77,1",,"94,7",,,,"80,2",,,,,,1,
EM10126itkfi,2866113,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,104,,"39,1",,137,,"10,18",,"74,4",,"107,5",,1,,"64,3",,1,,"3,5",,1,
AO12015itkfi,2866143,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,60849,https://doi.org/10.15454/OXSRSV,AO12015,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,104,,"28,6",,142,,"10,05",,"74,7",,"102,6",,"1,5",,"61,4",,1,,"3,5",,1,
AO12026itkt,2866088,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,61035,https://doi.org/10.15454/GVC2CV,AO12026,VIRTUAL_TRIAL,,,,,,,,treated,2012,89,,"42,2",,141,,"10,05",,"79,8",,"104,7",,,,"88,7",,,,,,1,
AO12004itkt,2866102,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,61747,https://doi.org/10.15454/0HGHAW,AO12004,VIRTUAL_TRIAL,,,,,,,,treated,2012,102,,"46,7",,143,,"9,82",,"81,8",,"109,3",,,,"92,5",,,,,,1,
AO12011itkfi,2866137,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,108,,"41,6",,141,,"8,93",,"78,8",,"132,7",,3,,"79,4",,1,,2,,1,
AO12007itkfi,2866107,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,49256,https://doi.org/10.15454/W3CJOS,AO12007,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,95,,"36,9",,138,,"9,3",,"77,6",,"121,7",,1,,"72,8",,1,,3,,1,
AO12004itkfi,2866101,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,61747,https://doi.org/10.15454/0HGHAW,AO12004,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,94,,"37,2",,142,,"9,57",,"80,2",,"102,5",,"2,5",,"61,3",,"4,5",,4,,1,
RE10072itkt,2866096,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,49343,https://doi.org/10.15454/4TBCLY,RE10072,VIRTUAL_TRIAL,,,,,,,,treated,2012,108,,"45,3",,142,,"10,23",,"79,9",,"98,7",,,,"83,5",,,,,,1,
RE10072itkfi,2866095,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,49343,https://doi.org/10.15454/4TBCLY,RE10072,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,106,,"38,4",,142,,"10,25",,"78,2",,"109,4",,3,,"65,4",,1,,3,,1,
CF10185itkfi,2866151,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,104,,"39,8",,142,,"9,53",,"77,8",,"109,4",,"3,5",,"65,5",,1,,3,,1,
Bermudeitkfi,2866093,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,89,,"36,6",,140,,"9,37",,"77,3",,107,,"3,5",,64,,1,,3,,1,
Altigoitkfi,2866121,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,101,,"43,5",,132,,"10,04",,"76,6",,101,,2,,"60,4",,"3,5",,4,,1,
CF10185itkt,2866152,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2012,106,,"44,6",,141,,"10,67",,"80,5",,"111,4",,,,"94,3",,,,,,1,
AO12011itkt,2866138,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,treated,2012,109,,"48,2",,140,,"9,06",,"79,3",,"116,7",,,,"98,8",,,,,,1,
AO12015itkt,2866144,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,60849,https://doi.org/10.15454/OXSRSV,AO12015,VIRTUAL_TRIAL,,,,,,,,treated,2012,104,,"36,5",,141,,"10,09",,"79,3",,"102,8",,,,87,,,,,,1,
CF10140itkfi,2866097,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,101,,"41,5",,144,,"11,9",,"75,6",,"87,2",,1,,"52,1",,1,,"3,8",,1,
AO12013itkfi,2866135,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,104,,"32,7",,140,,"10,66",,"75,8",,"95,9",,1,,"57,4",,1,,"4,5",,1,
RE10095itkt,2866110,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,49072,https://doi.org/10.15454/OZM4O0,RE10095,VIRTUAL_TRIAL,,,,,,,,treated,2012,106,,"41,8",,138,,"10,16",,"78,6",,"101,5",,,,"85,9",,,,,,1,
Croustyitkt,2866130,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2012,110,,"43,9",,138,,"10,66",,"80,6",,"98,5",,,,"83,4",,,,,,1,
RE10095itkfi,2866109,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,49072,https://doi.org/10.15454/OZM4O0,RE10095,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,106,,"33,7",,138,,"11,11",,"75,2",,"111,3",,1,,"66,6",,1,,4,,1,
CF10140itkt,2866098,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,treated,2012,100,,"49,7",,144,,"10,93",,"77,3",,"81,6",,,,"69,1",,,,,,1,
RE10099itkt,2866118,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,49222,https://doi.org/10.15454/YP9ZYW,RE10099,VIRTUAL_TRIAL,,,,,,,,treated,2012,99,,"56,9",,142,,"11,43",,"75,9",,"92,1",,,,"77,9",,,,,,1,
AO12013itkt,2866136,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,treated,2012,108,,"40,6",,139,,"10,24",,"78,2",,"99,6",,,,"84,3",,,,,,1,
Croustyitkfi,2866129,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,106,,36,,139,,"10,11",,"77,2",,"94,5",,"3,2",,"56,5",,1,,3,,1,
AO12005itkfi,2866103,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,61912,https://doi.org/10.15454/HZ6TJM,AO12005,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,"36,4",,138,,"9,38",,"80,2",,"121,9",,"1,5",,"72,9",,1,,4,,1,
AO12005itkt,2866104,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,61912,https://doi.org/10.15454/HZ6TJM,AO12005,VIRTUAL_TRIAL,,,,,,,,treated,2012,106,,"43,2",,138,,"10,31",,"80,1",,"101,3",,,,"85,7",,,,,,1,
RE10039itkt,2866100,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,treated,2012,125,,"49,3",,138,,"11,53",,"77,7",,"112,8",,,,"95,5",,,,,,1,
AO12021itkt,2866086,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2012,114,,"45,2",,136,,"9,86",,"79,1",,"118,9",,,,"100,7",,,,,,1,
CF10042itkt,2866090,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,61896,https://doi.org/10.15454/RC9XEF,CF10042,VIRTUAL_TRIAL,,,,,,,,treated,2012,111,,"46,4",,138,,"10,6",,"81,6",,"102,4",,,,"86,7",,,,,,1,
RE10039itkfi,2866099,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,124,,"44,2",,137,,"10,62",,"77,5",,"132,7",,1,,"79,4",,1,,"2,5",,1,
RE10099itkfi,2866117,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,49222,https://doi.org/10.15454/YP9ZYW,RE10099,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,99,,54,,143,,"11,46",,"77,9",,"116,4",,1,,"69,6",,1,,3,,1,
DI11012itkt,2866148,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,treated,2012,102,,"41,1",,139,,"9,87",,82,,122,,,,"103,3",,,,,,1,
CF10042itkfi,2866089,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,61896,https://doi.org/10.15454/RC9XEF,CF10042,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,108,,"35,8",,138,,"11,78",,"77,8",,"95,6",,1,,"57,2",,1,,"3,5",,1,
Premioitkt,2866076,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2012,94,,"41,4",,138,,"10,93",,"78,6",,"105,5",,,,"89,3",,,,,,1,
Premioitkfi,2866075,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,"34,7",,137,,"10,91",,"75,4",,"106,6",,1,,"63,8",,1,,"3,8",,1,
CF10064itkt,2866124,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2012,102,,47,,138,,"11,74",,"77,8",,105,,,,"88,9",,,,,,1,
DI11012itkfi,2866147,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,"36,8",,139,,"8,91",,"80,4",,"127,7",,1,,"76,4",,1,,4,,1,
EM09227itkt,2866120,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,48498,https://doi.org/10.15454/GGN6HS,EM09227,VIRTUAL_TRIAL,,,,,,,,treated,2012,101,,"39,9",,142,,"10,13",,"79,1",,"111,5",,,,"94,4",,,,,,1,
CF10064itkfi,2866123,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,104,,"41,9",,140,,"11,16",,"75,4",,"121,9",,1,,"72,9",,1,,3,,1,
Altigoitkt,2866122,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2012,101,,"51,7",,132,,9,,"78,4",,"99,1",,,,"83,9",,,,,,1,
AO12021itkfi,2866085,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,106,,"38,6",,137,,"9,81",,"75,6",,"129,4",,1,,"77,4",,1,,"2,5",,1,
EM09227itkfi,2866119,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,48498,https://doi.org/10.15454/GGN6HS,EM09227,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,95,,35,,142,,"9,51",,"75,7",,"102,8",,4,,"61,5",,1,,3,,1,
AO12024itkt,2866092,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,49471,https://doi.org/10.15454/DTWPJI,AO12024,VIRTUAL_TRIAL,,,,,,,,treated,2012,106,,44,,135,,"10,04",,"81,4",,"111,7",,,,"94,6",,,,,,1,
AO12006itkfi,2866105,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,94,,"32,2",,142,,"10,7",,"79,8",,"117,6",,1,,"70,3",,1,,"3,5",,1,
AO12006itkt,2866106,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,treated,2012,98,,"37,7",,140,,"11,11",,"81,4",,109,,,,"92,3",,,,,,1,
DI11013itkfi,2866145,BTH_Lusignan_2012_SetA2,BTH_Lusignan_2012_SetA2,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,36,,140,,"9,11",,"80,9",,"128,9",,1,,"77,1",,1,,"3,5",,1,
