observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,rj(CO_321:1000162),rj(CO_321:1000162).date
AO09013,2841384,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,27896,https://doi.org/10.15454/22DLWP,AO09013,VIRTUAL_TRIAL,,,,,,,,2009,"2,5",,1,
Apache,2841385,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,1,
AO09016,2841386,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,27898,https://doi.org/10.15454/BSXMIF,AO09016,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,4,
EM08002,2841365,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,61820,https://doi.org/10.15454/KU11PU,EM08002,VIRTUAL_TRIAL,,,,,,,,2009,"6,5",,1,
EM08082,2841373,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,49654,gnpis_pui:holding-921_taxon-4898_accession-49654,EM08082,VIRTUAL_TRIAL,,,,,,,,2009,"2,5",,1,
Attlass,2841393,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,2,
Sankara,2841382,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,5,
CF08027,2841402,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,2009,4,,1,
Caphorn,2841383,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2009,7,,6,
EM08024,2841370,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,27822,https://doi.org/10.15454/KNNDVP,EM08024,VIRTUAL_TRIAL,,,,,,,,2009,5,,1,
CF08021,2841400,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,49645,https://doi.org/10.15454/GXTRDY,CF08021,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,1,
CF08049,2841398,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,1,
CF08029,2841397,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,27796,https://doi.org/10.15454/9MSP5Q,CF08029,VIRTUAL_TRIAL,,,,,,,,2009,6,,5,
DI09005,2841380,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,27809,https://doi.org/10.15454/VX6AQV,DI09005,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,1,
