observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
AO12001itkt,2870834,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,61241,https://doi.org/10.15454/TKI8XQ,AO12001,VIRTUAL_TRIAL,,,,,,,,treated,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO12002itkt,2870835,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,treated,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM10126itkt,2870841,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2012,"15,9",,51,,91,,NA,,43,,NA,,74,,NA,,208,,NA,,112,,"2,2",,217,,72,,343,,NA,,"11,5",,NA,,1385,,NA,,34,
CF10185itkt,2870870,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2012,"16,8",,57,,94,,NA,,28,,NA,,73,,NA,,195,,NA,,111,,"1,95",,239,,"68,5",,381,,NA,,"11,3",,NA,,1453,,NA,,37,
DI12011itkt,2870820,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,treated,2012,"26,3",,140,,NA,,100,,NA,,"56,85",,NA,,"64,63",,NA,,"221,48",,40,,"0,29",,128,,76,,377,,"48,45",,"10,9",,"76,7",,NA,,1570,,NA,
CF10064itkt,2870823,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,6",,70,,85,,NA,,27,,NA,,74,,NA,,186,,NA,,80,,"1,14",,211,,35,,370,,NA,,"12,2",,NA,,1488,,NA,,37,
AO12006itkt,2870837,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,treated,2012,"22,7",,105,,94,,NA,,28,,NA,,87,,NA,,209,,NA,,55,,"0,53",,174,,68,,380,,NA,,"11,2",,NA,,1560,,NA,,35,
EM11537itkt,2870816,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,9",,72,,NA,,100,,NA,,"60,15",,NA,,"86,63",,NA,,"246,78",,90,,"1,24",,223,,70,,393,,"48,08",,"9,9",,"79,1",,NA,,1530,,NA,
AO12016itkt,2870859,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,treated,2012,"16,7",,57,,88,,NA,,27,,NA,,75,,NA,,190,,NA,,99,,"1,77",,225,,"69,5",,330,,NA,,"10,6",,NA,,1313,,NA,,33,
CF09117itkt,2870861,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2012,"22,5",,103,,91,,NA,,15,,NA,,85,,NA,,191,,NA,,99,,"0,97",,369,,66,,419,,NA,,"15,2",,NA,,1493,,NA,,69,
