observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI06007itkfi,2814891,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"11,94",,"131,3",,"78,4",
EM05029itkfi,2814879,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,48605,gnpis_pui:holding-921_taxon-4898_accession-48605,EM05029,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"14,28",,"117,8",,"70,4",
EM05029itkt,2814880,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,48605,gnpis_pui:holding-921_taxon-4898_accession-48605,EM05029,VIRTUAL_TRIAL,,,,,,,,treated,2006,"13,16",,"108,2",,"89,2",
DI06007itkt,2814892,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,treated,2006,"13,39",,"111,7",,92,
Orvantisitkfi,2814877,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"12,12",,"90,1",,"53,8",
RE05009itkfi,2814825,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,48566,https://doi.org/10.15454/PNQ6BX,RE05009,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,12,,"119,9",,"71,6",
Chargeritkt,2814864,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2006,"13,64",,"89,4",,"73,7",
RE05009itkt,2814826,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,48566,https://doi.org/10.15454/PNQ6BX,RE05009,VIRTUAL_TRIAL,,,,,,,,treated,2006,"13,5",,"105,8",,"87,2",
RE05147itkfi,2814831,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,49548,gnpis_pui:holding-921_taxon-4898_accession-49548,RE05147,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"12,46",,"116,2",,"69,4",
RE05073itkt,2814876,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,48629,gnpis_pui:holding-921_taxon-4898_accession-48629,RE05073,VIRTUAL_TRIAL,,,,,,,,treated,2006,"12,7",,"113,4",,"93,5",
RE05073itkfi,2814875,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,48629,gnpis_pui:holding-921_taxon-4898_accession-48629,RE05073,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,11,,"129,7",,"77,5",
Farandoleitkfi,2814859,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"12,26",,"115,7",,"69,1",
EM05055itkt,2814866,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,26970,https://doi.org/10.15454/ASLJXK,EM05055,VIRTUAL_TRIAL,,,,,,,,treated,2006,"13,06",,"109,9",,"90,5",
Chargeritkfi,2814863,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"12,68",,"91,7",,"54,8",
RE05118itkt,2814854,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,49091,gnpis_pui:holding-921_taxon-4898_accession-49091,RE05118,VIRTUAL_TRIAL,,,,,,,,treated,2006,"13,14",,"96,9",,"79,8",
EM05055itkfi,2814865,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,26970,https://doi.org/10.15454/ASLJXK,EM05055,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"12,24",,"130,6",,78,
Farandoleitkt,2814860,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2006,"13,06",,"105,6",,87,
DI06003itkt,2814900,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,48595,gnpis_pui:holding-921_taxon-4898_accession-48595,DI06003,VIRTUAL_TRIAL,,,,,,,,treated,2006,"13,36",,"98,6",,"81,2",
CF05091itkt,2814862,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,26973,https://doi.org/10.15454/GWNEQR,CF05091,VIRTUAL_TRIAL,,,,,,,,treated,2006,"13,81",,"110,5",,"91,1",
CF05091itkfi,2814861,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,26973,https://doi.org/10.15454/GWNEQR,CF05091,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"13,11",,"130,8",,"78,1",
DI06003itkfi,2814899,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,48595,gnpis_pui:holding-921_taxon-4898_accession-48595,DI06003,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"12,34",,"112,2",,67,
Apacheitkt,2814852,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2006,"13,19",,"97,4",,"80,2",
RE05074itkt,2814872,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,treated,2006,"12,42",,"110,4",,"90,9",
RE05007itkt,2814828,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,treated,2006,"13,32",,"115,8",,"95,4",
Apacheitkfi,2814851,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"11,8",,"105,1",,"62,8",
RE05007itkfi,2814827,BTH_Estrées-Mons_2006_SetB1,BTH_Estrées-Mons_2006_SetB1,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"11,84",,"134,1",,"80,1",
