observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI10001-2itkt,2861837,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,1",,66,,94,,NA,,71,,NA,,97,,NA,,262,,NA,,102,,"1,55",,252,,89,,319,,"10,9",,NA,,1695,,NA,,NA,,"34,5",
EM09227itkt,2861832,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,48498,https://doi.org/10.15454/GGN6HS,EM09227,VIRTUAL_TRIAL,,,,,,,,treated,2011,"16,5",,56,,NA,,100,,NA,,57,,NA,,"85,5",,NA,,"242,5",,93,,"1,68",,201,,50,,348,,"9,4",,"75,8",,NA,,1500,,"3,03",,NA,
EM09320itkt,2861798,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2011,"13,7",,38,,94,,NA,,39,,NA,,66,,NA,,199,,NA,,114,,3,,187,,"77,5",,348,,"10,2",,NA,,1340,,NA,,NA,,"31,5",
DI11002itkt,2861818,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,treated,2011,"19,9",,80,,NA,,100,,NA,,"61,6",,NA,,"95,5",,NA,,"257,2",,62,,"0,77",,180,,13,,262,,"9,9",,"74,9",,NA,,1580,,"2,3",,NA,
RE09001itkt,2861820,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,48746,https://doi.org/10.15454/ZEEZIW,RE09001,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,4",,69,,82,,NA,,7,,NA,,77,,NA,,166,,NA,,66,,"0,97",,180,,53,,341,,"11,1",,NA,,1273,,NA,,NA,,26,
EM07117itkt,2861806,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2011,"16,2",,53,,88,,NA,,35,,NA,,94,,NA,,217,,NA,,73,,"1,38",,144,,41,,296,,"10,4",,NA,,1350,,NA,,NA,,"20,5",
CF09169itkt,2861810,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2011,"19,1",,74,,91,,NA,,75,,NA,,88,,NA,,254,,NA,,97,,"1,31",,246,,"92,5",,289,,"11,7",,NA,,1688,,NA,,NA,,29,
DI10011itkt,2861795,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,treated,2011,"17,7",,64,,85,,NA,,36,,NA,,94,,NA,,215,,NA,,104,,"1,65",,232,,89,,391,,"10,9",,NA,,1490,,NA,,NA,,"29,5",
RE10099itkt,2861819,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,49222,https://doi.org/10.15454/YP9ZYW,RE10099,VIRTUAL_TRIAL,,,,,,,,treated,2011,"23,2",,109,,NA,,100,,NA,,"46,5",,NA,,83,,NA,,"229,5",,49,,"0,45",,166,,18,,353,,"10,4",,"76,2",,NA,,1450,,"2,36",,NA,
DI11014itkt,2861843,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2011,"19,1",,74,,NA,,100,,NA,,"81,4",,NA,,100,,NA,,"281,4",,73,,"0,99",,177,,63,,328,,"10,1",,"75,4",,NA,,1780,,"3,7",,NA,
EM09318itkt,2861816,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,treated,2011,"22,8",,105,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,44,,"0,42",,131,,38,,256,,"11,25",,NA,,NA,,NA,,NA,,18,
AO11001itkt,2861824,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,48474,https://doi.org/10.15454/72RLFQ,AO11001,VIRTUAL_TRIAL,,,,,,,,treated,2011,"17,4",,61,,97,,NA,,65,,NA,,88,,NA,,250,,NA,,97,,"1,59",,208,,"71,5",,136,,"11,3",,NA,,1925,,NA,,NA,,25,
AO11002itkt,2861825,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,48844,https://doi.org/10.15454/IYISPL,AO11002,VIRTUAL_TRIAL,,,,,,,,treated,2011,"17,1",,59,,97,,NA,,74,,NA,,93,,NA,,264,,NA,,87,,"1,47",,182,,72,,222,,"11,1",,NA,,1845,,NA,,NA,,25,
AO11005itkt,2861812,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,49011,https://doi.org/10.15454/08Z5FH,AO11005,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,8",,72,,91,,NA,,78,,NA,,86,,NA,,255,,NA,,78,,"1,1",,198,,81,,277,,"11,7",,NA,,1720,,NA,,NA,,29,
AO11008itkt,2861822,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,49376,https://doi.org/10.15454/DLSQIN,AO11008,VIRTUAL_TRIAL,,,,,,,,treated,2011,"17,4",,61,,88,,NA,,76,,NA,,83,,NA,,247,,NA,,105,,"1,72",,238,,78,,272,,"10,9",,NA,,1638,,NA,,NA,,32,
EM09221itkt,2861835,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,treated,2011,"24,9",,126,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,50,,"0,4",,172,,34,,373,,"10,95",,NA,,NA,,NA,,NA,,17,
EM09222itkt,2861834,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2011,"15,3",,47,,79,,NA,,8,,NA,,67,,NA,,154,,NA,,86,,"1,83",,170,,52,,264,,"10,6",,NA,,1170,,NA,,NA,,24,
