observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF11079itkt,2867514,BTH_Le_Moulon_2012_SetB1,BTH_Le_Moulon_2012_SetB1,61349,https://doi.org/10.15454/78QONX,CF11079,VIRTUAL_TRIAL,,,,,,,,treated,2012,94,,144,,"10,41",,"70,2",,"99,5",,,,"100,8",,,,,,"2,5",
CF11051itkt,2867526,BTH_Le_Moulon_2012_SetB1,BTH_Le_Moulon_2012_SetB1,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,treated,2012,98,,144,,"10,27",,"77,2",,"104,8",,,,"106,2",,,,,,1,
EM11400itkt,2867574,BTH_Le_Moulon_2012_SetB1,BTH_Le_Moulon_2012_SetB1,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,treated,2012,85,,142,,"12,19",,"70,2",,"96,5",,,,"97,7",,,,,,"4,5",
CF11079itkfi,2867513,BTH_Le_Moulon_2012_SetB1,BTH_Le_Moulon_2012_SetB1,61349,https://doi.org/10.15454/78QONX,CF11079,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,94,,144,,"10,96",,"67,2",,"88,9",,"1,5",,"63,4",,1,,5,,1,
RE10091itkfi,2867559,BTH_Le_Moulon_2012_SetB1,BTH_Le_Moulon_2012_SetB1,62038,https://doi.org/10.15454/4GF0WY,RE10091,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,141,,"10,68",,"71,6",,"103,6",,2,,"73,8",,1,,5,,"1,5",
CF11051itkfi,2867525,BTH_Le_Moulon_2012_SetB1,BTH_Le_Moulon_2012_SetB1,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,98,,145,,"9,92",,"74,6",,"109,5",,"2,5",,78,,1,,"2,5",,1,
CF11041itkfi,2867571,BTH_Le_Moulon_2012_SetB1,BTH_Le_Moulon_2012_SetB1,61302,https://doi.org/10.15454/YCKCWW,CF11041,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,89,,144,,"9,91",,"69,1",,"102,1",,1,,"72,8",,1,,"2,5",,2,
CF11041itkt,2867572,BTH_Le_Moulon_2012_SetB1,BTH_Le_Moulon_2012_SetB1,61302,https://doi.org/10.15454/YCKCWW,CF11041,VIRTUAL_TRIAL,,,,,,,,treated,2012,92,,143,,"11,18",,"70,6",,"88,7",,,,"89,9",,,,,,"6,5",
EM11149itkfi,2867521,BTH_Le_Moulon_2012_SetB1,BTH_Le_Moulon_2012_SetB1,62095,https://doi.org/10.15454/BHSE0Q,EM11149,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,145,,"9,67",,"71,8",,"110,4",,2,,"78,7",,1,,2,,1,
RE11016itkt,2867534,BTH_Le_Moulon_2012_SetB1,BTH_Le_Moulon_2012_SetB1,60933,https://doi.org/10.15454/7NVDSE,RE11016,VIRTUAL_TRIAL,,,,,,,,treated,2012,104,,146,,"12,32",,"71,8",,"85,4",,,,"86,6",,,,,,"7,5",
Bermudeitkfi,2867527,BTH_Le_Moulon_2012_SetB1,BTH_Le_Moulon_2012_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,83,,145,,"10,23",,"64,3",,100,,1,,"71,2",,1,,"4,5",,1,
