observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI08019-2,2864242,BTH_Rennes_2012_SetA1_PIETIN-VERSE,BTH_Rennes_2012_SetA1_PIETIN-VERSE,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,2012,"5,5",,NA,,3,,2,,1,
RE09055,2864269,BTH_Rennes_2012_SetA1_PIETIN-VERSE,BTH_Rennes_2012_SetA1_PIETIN-VERSE,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,2012,8,,"7,4",,5,,1,,3,
Koreli,2864248,BTH_Rennes_2012_SetA1_PIETIN-VERSE,BTH_Rennes_2012_SetA1_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2012,3,,NA,,5,,3,,3,
CF09117,2864267,BTH_Rennes_2012_SetA1_PIETIN-VERSE,BTH_Rennes_2012_SetA1_PIETIN-VERSE,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,2012,3,,NA,,3,,3,,1,
CF09227,2864271,BTH_Rennes_2012_SetA1_PIETIN-VERSE,BTH_Rennes_2012_SetA1_PIETIN-VERSE,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,2012,"3,5",,NA,,5,,2,,1,
EM08231,2864261,BTH_Rennes_2012_SetA1_PIETIN-VERSE,BTH_Rennes_2012_SetA1_PIETIN-VERSE,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,2012,8,,NA,,5,,3,,1,
Folklor,2864241,BTH_Rennes_2012_SetA1_PIETIN-VERSE,BTH_Rennes_2012_SetA1_PIETIN-VERSE,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2012,6,,NA,,2,,3,,1,
RE09055-2,2864239,BTH_Rennes_2012_SetA1_PIETIN-VERSE,BTH_Rennes_2012_SetA1_PIETIN-VERSE,49670,https://doi.org/10.15454/FDCSIL,RE09055-2,VIRTUAL_TRIAL,,,,,,,,2012,"7,5",,"6,4",,5,,1,,3,
RE09063,2864254,BTH_Rennes_2012_SetA1_PIETIN-VERSE,BTH_Rennes_2012_SetA1_PIETIN-VERSE,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,2012,8,,NA,,5,,2,,4,
RE09079,2864233,BTH_Rennes_2012_SetA1_PIETIN-VERSE,BTH_Rennes_2012_SetA1_PIETIN-VERSE,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,2012,"7,5",,NA,,2,,2,,1,
