observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI10006itkt,2850580,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,142,,"10,24",,"77,5",,"97,8",,"93,1",
DI10007itkt,2850578,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,treated,2010,65,,154,,"10,38",,"80,2",,"101,5",,"96,7",
EM09310itkt,2850548,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,48345,gnpis_pui:holding-921_taxon-4898_accession-48345,EM09310,VIRTUAL_TRIAL,,,,,,,,treated,2010,68,,152,,"10,1",,"75,5",,"98,1",,"93,4",
EM09318itkt,2850552,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,treated,2010,62,,154,,"10,24",,"76,6",,"99,6",,"94,9",
DI10007itkfi,2850577,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,68,,153,,"11,14",,"83,2",,"102,7",,"75,5",
EM09318itkfi,2850551,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,151,,"10,91",,81,,"105,3",,"77,4",
EM09310itkfi,2850547,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,48345,gnpis_pui:holding-921_taxon-4898_accession-48345,EM09310,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,68,,153,,"10,73",,78,,"103,9",,"76,4",
DI10010itkt,2850538,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,49025,gnpis_pui:holding-921_taxon-4898_accession-49025,DI10010,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,157,,"10,62",,"77,5",,"95,8",,"91,3",
RE09055itkfi,2850595,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,148,,"10,26",,"76,4",,"104,7",,"76,9",
RE09055itkt,2850596,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,treated,2010,65,,152,,"9,43",,"72,2",,"103,6",,"98,6",
AO10018itkt,2850562,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,49584,gnpis_pui:holding-921_taxon-4898_accession-49584,AO10018,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,152,,"10,9",,"80,4",,101,,"96,3",
CF09122itkt,2850554,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,49265,gnpis_pui:holding-921_taxon-4898_accession-49265,CF09122,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,149,,"10,72",,"78,4",,"91,8",,"87,5",
EM09221itkfi,2850587,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,147,,"10,18",,"79,5",,"107,8",,"79,3",
Barokitkt,2850518,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,151,,"9,75",,"79,7",,103,,"98,2",
CF09122itkfi,2850553,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,49265,gnpis_pui:holding-921_taxon-4898_accession-49265,CF09122,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,148,,"12,08",,"82,1",,"96,7",,"71,1",
EM09221itkt,2850588,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,treated,2010,68,,150,,"9,57",,"75,1",,"102,5",,"97,6",
AO10017itkt,2850532,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,49185,gnpis_pui:holding-921_taxon-4898_accession-49185,AO10017,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,150,,"11,25",,"79,1",,"92,7",,"88,3",
CF09198itkt,2850590,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,48921,gnpis_pui:holding-921_taxon-4898_accession-48921,CF09198,VIRTUAL_TRIAL,,,,,,,,treated,2010,65,,154,,"9,7",,"74,4",,"96,1",,"91,6",
