observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2973704,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76115,https://doi.org/10.15454/0ZTAZP,EM13033,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.76,,82.19,
1,2973708,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76116,https://doi.org/10.15454/BY4WPK,AO15030,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.5,,86.77,
2,2973707,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76116,https://doi.org/10.15454/BY4WPK,AO15030,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,78.5,
2,2973709,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76116,https://doi.org/10.15454/BY4WPK,AO15030,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.75,,82.07,
1,2973706,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76116,https://doi.org/10.15454/BY4WPK,AO15030,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,81.05,
2,2973713,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76117,https://doi.org/10.15454/OWSYXF,CF14034,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,11.05,,72.48,
1,2973712,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76117,https://doi.org/10.15454/OWSYXF,CF14034,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,10.53,,70.63,
1,2973710,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76117,https://doi.org/10.15454/OWSYXF,CF14034,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,70.33,
2,2973711,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76117,https://doi.org/10.15454/OWSYXF,CF14034,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,74.29,
1,2973612,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,12.28,,78.44,
1,2973610,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,70.33,
2,2973613,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,12.08,,73.2,
2,2973611,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,73.01,
2,2973609,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,75270,https://doi.org/10.15454/AIOH4U,Bermude,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,9.77,,78.88,
1,2973608,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,75270,https://doi.org/10.15454/AIOH4U,Bermude,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,10.03,,84.32,
2,2973607,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,75270,https://doi.org/10.15454/AIOH4U,Bermude,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,75.95,
1,2973606,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,75270,https://doi.org/10.15454/AIOH4U,Bermude,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,73.4,
2,2973605,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76093,https://doi.org/10.15454/YFHVTM,EM14050,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,11.7,,73.44,
1,2973604,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76093,https://doi.org/10.15454/YFHVTM,EM14050,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.65,,80.71,
2,2973603,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76093,https://doi.org/10.15454/YFHVTM,EM14050,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,74.8,
1,2973602,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76093,https://doi.org/10.15454/YFHVTM,EM14050,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,69.44,
1,2973614,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76094,https://doi.org/10.15454/GMXFNX,RE14007,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,75.31,
2,2973617,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76094,https://doi.org/10.15454/GMXFNX,RE14007,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.77,,81.13,
1,2973616,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76094,https://doi.org/10.15454/GMXFNX,RE14007,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,9.72,,74.67,
2,2973615,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76094,https://doi.org/10.15454/GMXFNX,RE14007,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,78.12,
2,2973621,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76095,https://doi.org/10.15454/UMMQMT,AO15029,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.28,,83.18,
1,2973620,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76095,https://doi.org/10.15454/UMMQMT,AO15029,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.42,,83.33,
2,2973619,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76095,https://doi.org/10.15454/UMMQMT,AO15029,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,81.82,
1,2973618,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76095,https://doi.org/10.15454/UMMQMT,AO15029,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,77.86,
2,2973623,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76096,https://doi.org/10.15454/XYII5B,RE14004,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,76.46,
1,2973622,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76096,https://doi.org/10.15454/XYII5B,RE14004,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,78.5,
2,2973625,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76096,https://doi.org/10.15454/XYII5B,RE14004,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,9.85,,80.51,
1,2973624,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76096,https://doi.org/10.15454/XYII5B,RE14004,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,10.24,,84.57,
2,2973721,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,11.88,,73.63,
1,2973720,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,12.55,,75.91,
2,2973719,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,76.59,
1,2973718,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,73.27,
2,2973687,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,27736,https://doi.org/10.15454/5V5PUX,CELLULE,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,69.31,
2,2973689,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,27736,https://doi.org/10.15454/5V5PUX,CELLULE,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,11.03,,82.42,
1,2973688,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,27736,https://doi.org/10.15454/5V5PUX,CELLULE,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.7,,78.36,
1,2973686,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,27736,https://doi.org/10.15454/5V5PUX,CELLULE,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,75.95,
2,2973731,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,75.18,
2,2973733,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.6,,81.77,
1,2973732,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.05,,83.62,
1,2973730,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,76.84,
1,2973744,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.37,,91.48,
2,2973743,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,83.99,
2,2973745,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.39,,87.8,
1,2973742,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,85.39,
2,2973753,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.83,,78.16,
1,2973752,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,10.91,,75.62,
1,2973750,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,71.61,
2,2973751,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,73.52,
2,2973717,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76118,https://doi.org/10.15454/ZGXAAA,CF14072,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,11.42,,76.42,
1,2973716,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76118,https://doi.org/10.15454/ZGXAAA,CF14072,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.25,,77.51,
2,2973715,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76118,https://doi.org/10.15454/ZGXAAA,CF14072,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,77.61,
