observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI05020-2itkt,2818411,BTH_Clermont-Ferrand_2006_TECH,BTH_Clermont-Ferrand_2006_TECH,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,treated,2006,"23,8",,115,,91,,NA,,48,,NA,,45,,NA,,184,,NA,,50,,"0,44",,166,,65,,402,,"11,95",,"81,6",,1580,,NA,,28,
DI06007itkt,2818431,BTH_Clermont-Ferrand_2006_TECH,BTH_Clermont-Ferrand_2006_TECH,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,treated,2006,19,,73,,NA,,100,,NA,,"8,5",,NA,,"47,4",,NA,,"155,9",,36,,"0,49",,114,,22,,311,,"11,7",,"79,3",,NA,,900,,NA,
DI05022itkt,2818375,BTH_Clermont-Ferrand_2006_TECH,BTH_Clermont-Ferrand_2006_TECH,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,treated,2006,"21,2",,91,,91,,NA,,32,,NA,,53,,NA,,176,,NA,,63,,"0,69",,167,,"70,5",,425,,12,,"81,4",,1330,,NA,,31,
Barokitkt,2818374,BTH_Clermont-Ferrand_2006_TECH,BTH_Clermont-Ferrand_2006_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2006,"18,5",,69,,97,,NA,,62,,NA,,70,,NA,,229,,NA,,70,,"1,01",,166,,"90,5",,413,,"12,55",,"79,9",,1535,,NA,,31,
EM05055itkt,2818408,BTH_Clermont-Ferrand_2006_TECH,BTH_Clermont-Ferrand_2006_TECH,26970,https://doi.org/10.15454/ASLJXK,EM05055,VIRTUAL_TRIAL,,,,,,,,treated,2006,"22,7",,105,,NA,,100,,NA,,26,,NA,,"41,9",,NA,,"167,9",,31,,"0,3",,122,,31,,273,,"11,9",,"79,6",,NA,,1100,,NA,
CF05173itkt,2818421,BTH_Clermont-Ferrand_2006_TECH,BTH_Clermont-Ferrand_2006_TECH,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2006,"22,2",,100,,NA,,100,,NA,,"30,5",,NA,,82,,NA,,"212,5",,68,,"0,68",,264,,32,,321,,"12,3",,"82,5",,NA,,1100,,NA,
EM03332itkt,2818425,BTH_Clermont-Ferrand_2006_TECH,BTH_Clermont-Ferrand_2006_TECH,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,treated,2006,"18,8",,72,,97,,NA,,39,,NA,,78,,NA,,214,,NA,,99,,"1,39",,260,,80,,415,,"12,75",,80,,1565,,NA,,41,
CF05079itkt,2818420,BTH_Clermont-Ferrand_2006_TECH,BTH_Clermont-Ferrand_2006_TECH,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2006,"17,7",,63,,NA,,100,,NA,,"9,2",,NA,,"54,8",,NA,,164,,112,,"1,77",,311,,86,,385,,"12,6",,82,,NA,,970,,NA,
CF05091itkt,2818406,BTH_Clermont-Ferrand_2006_TECH,BTH_Clermont-Ferrand_2006_TECH,26973,https://doi.org/10.15454/GWNEQR,CF05091,VIRTUAL_TRIAL,,,,,,,,treated,2006,"21,2",,91,,NA,,100,,NA,,"39,5",,NA,,"95,5",,NA,,235,,112,,"1,23",,374,,87,,396,,"11,9",,"81,3",,NA,,1500,,NA,
DI05014itkt,2818393,BTH_Clermont-Ferrand_2006_TECH,BTH_Clermont-Ferrand_2006_TECH,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,treated,2006,"16,5",,55,,97,,NA,,45,,NA,,66,,NA,,209,,NA,,56,,"1,02",,127,,28,,350,,"12,55",,"80,4",,1590,,NA,,26,
RE05007itkt,2818378,BTH_Clermont-Ferrand_2006_TECH,BTH_Clermont-Ferrand_2006_TECH,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,treated,2006,"25,4",,131,,NA,,100,,NA,,"54,8",,NA,,87,,NA,,"241,8",,47,,"0,36",,176,,67,,286,,"12,4",,"77,4",,NA,,1500,,NA,
CF05162itkt,2818395,BTH_Clermont-Ferrand_2006_TECH,BTH_Clermont-Ferrand_2006_TECH,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2006,"23,9",,116,,NA,,100,,NA,,60,,NA,,"88,5",,NA,,"248,5",,77,,"0,67",,256,,76,,381,,"11,2",,"81,2",,NA,,1600,,NA,
CF03201itkt,2818398,BTH_Clermont-Ferrand_2006_TECH,BTH_Clermont-Ferrand_2006_TECH,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2006,"20,2",,83,,94,,NA,,39,,NA,,91,,NA,,224,,NA,,96,,"1,17",,277,,83,,398,,13,,"84,5",,1495,,NA,,36,
AO06313itkt,2818384,BTH_Clermont-Ferrand_2006_TECH,BTH_Clermont-Ferrand_2006_TECH,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,treated,2006,"18,5",,69,,94,,NA,,14,,NA,,64,,NA,,172,,NA,,66,,"0,96",,185,,59,,351,,"12,3",,"82,8",,1360,,NA,,30,
AO06407itkt,2818386,BTH_Clermont-Ferrand_2006_TECH,BTH_Clermont-Ferrand_2006_TECH,26982,https://doi.org/10.15454/FCNCUR,AO06407,VIRTUAL_TRIAL,,,,,,,,treated,2006,"17,7",,64,,85,,NA,,34,,NA,,73,,NA,,192,,NA,,50,,"0,79",,118,,64,,307,,"11,15",,"79,8",,1365,,NA,,26,
CF04043itkt,2818424,BTH_Clermont-Ferrand_2006_TECH,BTH_Clermont-Ferrand_2006_TECH,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,treated,2006,"23,3",,110,,94,,NA,,56,,NA,,61,,NA,,211,,NA,,49,,"0,45",,154,,68,,416,,13,,"80,7",,1670,,NA,,30,
