observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
RE08071itkfi,2843421,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61306,https://doi.org/10.15454/BEKLAJ,RE08071,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"41,6",,144,,"9,36",,"75,4",,"106,5",,65,
RE08071itkt,2843422,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61306,https://doi.org/10.15454/BEKLAJ,RE08071,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"38,4",,144,,"9,7",,"73,6",,96,,"89,2",
Attlassitkfi,2843429,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,82,,"51,8",,144,,"8,75",,"76,8",,"111,5",,68,
CF08139itkfi,2843405,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,27801,https://doi.org/10.15454/1DEONX,CF08139,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"47,5",,144,,"9,14",,"72,2",,"100,2",,"61,2",
Sankaraitkfi,2843415,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,70,,"42,6",,144,,"9,09",,"72,4",,"98,7",,"60,2",
Caphornitkt,2843418,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"47,4",,142,,"9,41",,"73,9",,"95,6",,"88,8",
EM08234itkfi,2843435,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61974,https://doi.org/10.15454/ENEA7S,EM08234,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,68,,"47,4",,144,,"8,64",,"66,9",,"104,7",,"63,9",
EM08234itkt,2843436,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61974,https://doi.org/10.15454/ENEA7S,EM08234,VIRTUAL_TRIAL,,,,,,,,treated,2009,75,,"47,9",,143,,"8,93",,"70,6",,"95,2",,"88,4",
DI09017itkfi,2843453,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,70,,"56,4",,142,,"9,82",,"73,2",,"101,3",,"61,8",
EM08237itkt,2843434,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61990,https://doi.org/10.15454/C00LHY,EM08237,VIRTUAL_TRIAL,,,,,,,,treated,2009,85,,"47,1",,141,,"9,34",,73,,"98,7",,"91,6",
Sankaraitkt,2843416,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"42,2",,144,,"9,59",,"76,2",,"90,9",,"84,4",
RE08066itkt,2843410,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,48756,gnpis_pui:holding-921_taxon-4898_accession-48756,RE08066,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"51,2",,144,,"9,67",,"75,6",,"89,5",,"83,2",
AO09022itkfi,2843385,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61092,https://doi.org/10.15454/JMOG5B,AO09022,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"44,1",,142,,"8,64",,"72,1",,"90,9",,"55,4",
AO09022itkt,2843386,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61092,https://doi.org/10.15454/JMOG5B,AO09022,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"44,9",,141,,"9,3",,"74,5",,"91,3",,"84,8",
EM08278itkt,2843448,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,62037,https://doi.org/10.15454/XLGZP1,EM08278,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"47,5",,140,,"10,16",,75,,"87,3",,"81,1",
EM08278itkfi,2843447,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,62037,https://doi.org/10.15454/XLGZP1,EM08278,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,70,,"51,3",,140,,"10,06",,"74,4",,"100,6",,"61,4",
CF08130itkfi,2843393,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61351,https://doi.org/10.15454/7TGBWO,CF08130,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"49,4",,142,,"9,21",,"75,8",,103,,"62,8",
DI09017itkt,2843454,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,52,,141,,"9,06",,"74,9",,"94,3",,"87,6",
CF08130itkt,2843394,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61351,https://doi.org/10.15454/7TGBWO,CF08130,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"50,1",,142,,"9,51",,76,,92,,"85,5",
DI09022itkfi,2843401,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61777,https://doi.org/10.15454/9JEREI,DI09022,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,"55,2",,146,,"9,27",,"73,6",,101,,"61,6",
DI09022itkt,2843402,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61777,https://doi.org/10.15454/9JEREI,DI09022,VIRTUAL_TRIAL,,,,,,,,treated,2009,85,,"51,7",,144,,"9,18",,"75,2",,93,,"86,4",
DI09023itkt,2843450,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,27904,https://doi.org/10.15454/ICRTTK,DI09023,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"51,9",,142,,"9,22",,"77,2",,"98,9",,"91,9",
Premioitkt,2843380,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"50,7",,141,,"9,74",,"72,6",,"107,3",,"99,6",
EM08277itkfi,2843423,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,27824,https://doi.org/10.15454/OUS6AU,EM08277,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,"46,9",,146,,"9,25",,"74,6",,"104,2",,"63,6",
CF08134itkfi,2843399,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61368,https://doi.org/10.15454/WTGZL9,CF08134,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,95,,"50,2",,146,,"7,86",,76,,"104,1",,"63,5",
CF08134itkt,2843400,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61368,https://doi.org/10.15454/WTGZL9,CF08134,VIRTUAL_TRIAL,,,,,,,,treated,2009,100,,"45,9",,148,,"8,09",,"76,1",,"99,7",,"92,6",
Premioitkfi,2843379,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,78,,"54,9",,141,,"9,7",,"74,8",,"104,6",,"63,8",
Toisondoritkfi,2843397,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,70,,"40,9",,144,,"8,17",,72,,"114,9",,"70,1",
RE08072itkfi,2843419,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61414,https://doi.org/10.15454/0GA5PF,RE08072,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,"40,2",,144,,"9,16",,"74,2",,"103,9",,"63,4",
RE08065itkt,2843384,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,62042,https://doi.org/10.15454/YJTB6N,RE08065,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"51,9",,142,,"9,93",,"75,2",,"89,7",,"83,3",
RE08066itkfi,2843409,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,48756,gnpis_pui:holding-921_taxon-4898_accession-48756,RE08066,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"55,9",,145,,"9,32",,"75,6",,"99,7",,"60,8",
RE08072itkt,2843420,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61414,https://doi.org/10.15454/0GA5PF,RE08072,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"38,2",,144,,"9,42",,"74,2",,"93,4",,"86,8",
RE08065itkfi,2843383,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,62042,https://doi.org/10.15454/YJTB6N,RE08065,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"55,8",,143,,"9,8",,"75,5",,"98,9",,"60,4",
CF08159itkt,2843414,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61411,https://doi.org/10.15454/07KNPI,CF08159,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"43,6",,146,,"8,5",,"74,1",,"99,7",,"92,6",
EM08277itkt,2843424,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,27824,https://doi.org/10.15454/OUS6AU,EM08277,VIRTUAL_TRIAL,,,,,,,,treated,2009,85,,"45,2",,145,,"9,64",,"72,5",,"89,3",,83,
CF08159itkfi,2843413,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61411,https://doi.org/10.15454/07KNPI,CF08159,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"48,4",,146,,"8,3",,"74,3",,"105,8",,"64,6",
Apacheitkfi,2843411,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"44,8",,140,,"8,66",,"72,9",,100,,61,
Toisondoritkt,2843398,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2009,72,,"41,4",,144,,"8,7",,"74,4",,"98,2",,"91,2",
CF08168itkfi,2843451,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61429,https://doi.org/10.15454/FRA3PH,CF08168,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"55,4",,142,,"9,46",,"72,8",,"98,5",,"60,1",
AO09021itkt,2843390,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,48416,gnpis_pui:holding-921_taxon-4898_accession-48416,AO09021,VIRTUAL_TRIAL,,,,,,,,treated,2009,78,,"45,5",,138,,"9,48",,"74,8",,"87,5",,"81,3",
Apacheitkt,2843412,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"45,7",,139,,"9,04",,"75,2",,"106,2",,"98,7",
CF08129itkfi,2843441,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61335,https://doi.org/10.15454/GXWATY,CF08129,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"49,9",,146,,"7,86",,"74,2",,"104,7",,"63,9",
CF08129itkt,2843442,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61335,https://doi.org/10.15454/GXWATY,CF08129,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,49,,146,,"8,12",,75,,"102,1",,"94,8",
CF08168itkt,2843452,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61429,https://doi.org/10.15454/FRA3PH,CF08168,VIRTUAL_TRIAL,,,,,,,,treated,2009,90,,"50,8",,140,,"9,52",,73,,"88,6",,"82,3",
AO09023itkfi,2843387,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,27902,https://doi.org/10.15454/2JQQDH,AO09023,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,70,,"47,7",,138,,"9,25",,72,,"94,5",,"57,6",
RE08080itkfi,2843381,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61618,https://doi.org/10.15454/4WAHXR,RE08080,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"45,5",,144,,"9,4",,"77,6",,"94,7",,"57,8",
RE08080itkt,2843382,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61618,https://doi.org/10.15454/4WAHXR,RE08080,VIRTUAL_TRIAL,,,,,,,,treated,2009,85,,"41,7",,143,,"9,83",,"77,6",,"95,1",,"88,4",
DI09019itkt,2843446,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61729,https://doi.org/10.15454/IJIXOT,DI09019,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"45,2",,146,,"8,86",,74,,"97,7",,"90,8",
DI09018itkt,2843444,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"48,5",,144,,"7,91",,"75,8",,"98,3",,"91,4",
CF08137itkt,2843428,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,27312,https://doi.org/10.15454/CPWBIX,CF08137,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"44,4",,144,,"9,65",,"74,7",,"91,3",,"84,8",
DI09021itkfi,2843395,BTH_Le_Moulon_2009_SetB3,BTH_Le_Moulon_2009_SetB3,61760,https://doi.org/10.15454/GC5XFU,DI09021,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"49,2",,144,,"9,09",,"76,1",,"94,8",,"57,8",
