observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
CF14072itkfi,2973458,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76118,https://doi.org/10.15454/ZGXAAA,CF14072,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,135,,10.6,,95.7,,1.8,,93.5,,1,,3,
EM14046itkfi,2973442,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76111,https://doi.org/10.15454/6OEF2E,EM14046,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,100,,138,,10,,88.3,,1.5,,86.2,,3.5,,4.5,
RE14060itkt,2973427,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76103,https://doi.org/10.15454/NBUIYF,RE14060,VIRTUAL_TRIAL,,,,,,,,traite,2015,102,,138,,11.3,,98.1,,,,121.2,,,,,
CF14070itkfi,2973462,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76119,https://doi.org/10.15454/FNZIU2,CF14070,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,96,,140,,10.1,,84.5,,1,,82.5,,1,,5,
RE14060itkfi,2973426,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76103,https://doi.org/10.15454/NBUIYF,RE14060,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,100,,132,,10,,108,,1.8,,105.4,,2,,2.2,
RE14007itkt,2973409,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76094,https://doi.org/10.15454/GMXFNX,RE14007,VIRTUAL_TRIAL,,,,,,,,traite,2015,96,,142,,10.5,,102.3,,,,126.4,,,,,
CF14070itkt,2973463,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76119,https://doi.org/10.15454/FNZIU2,CF14070,VIRTUAL_TRIAL,,,,,,,,traite,2015,99,,138,,11,,90.2,,,,111.5,,,,,
RE14007itkfi,2973408,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76094,https://doi.org/10.15454/GMXFNX,RE14007,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,140,,10.1,,107.7,,4,,105.1,,1,,2.8,
AO15028itkt,2973447,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76112,https://doi.org/10.15454/QKZFIG,AO15028,VIRTUAL_TRIAL,,,,,,,,traite,2015,93,,138,,10.9,,96.7,,,,119.5,,,,,
RE14058itkt,2973465,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76120,https://doi.org/10.15454/PW2ZJ9,RE14058,VIRTUAL_TRIAL,,,,,,,,traite,2015,106,,142,,11.3,,99.6,,,,123.1,,,,,
