observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Koreliitkt,2774736,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2001,88,,146,,"110,4",,"90,2",
DI01013itkt,2774742,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,48343,gnpis_pui:holding-921_taxon-4898_accession-48343,DI01013,VIRTUAL_TRIAL,,,,,,,,treated,2001,82,,138,,"114,2",,"93,3",
LM01004itkt,2774753,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,48413,gnpis_pui:holding-921_taxon-4898_accession-48413,LM01004,VIRTUAL_TRIAL,,,,,,,,treated,2001,72,,142,,"102,3",,"83,6",
DI01007itkt,2774722,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,48550,gnpis_pui:holding-921_taxon-4898_accession-48550,DI01007,VIRTUAL_TRIAL,,,,,,,,treated,2001,78,,146,,96,,"78,4",
DI01020itkt,2774731,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,49323,gnpis_pui:holding-921_taxon-4898_accession-49323,DI01020,VIRTUAL_TRIAL,,,,,,,,treated,2001,72,,144,,"84,8",,"69,3",
DI01023itkt,2774732,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,48506,gnpis_pui:holding-921_taxon-4898_accession-48506,DI01023,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,144,,"101,8",,"83,1",
DI01021itkt,2774730,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,49218,gnpis_pui:holding-921_taxon-4898_accession-49218,DI01021,VIRTUAL_TRIAL,,,,,,,,treated,2001,70,,142,,"103,2",,"84,3",
DI01025itkt,2774726,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,49360,gnpis_pui:holding-921_taxon-4898_accession-49360,DI01025,VIRTUAL_TRIAL,,,,,,,,treated,2001,72,,144,,"87,6",,"71,6",
DI01019itkt,2774747,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,48621,gnpis_pui:holding-921_taxon-4898_accession-48621,DI01019,VIRTUAL_TRIAL,,,,,,,,treated,2001,78,,144,,100,,"81,7",
DI01008itkt,2774729,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,49483,gnpis_pui:holding-921_taxon-4898_accession-49483,DI01008,VIRTUAL_TRIAL,,,,,,,,treated,2001,70,,146,,"91,6",,"74,8",
DI01010itkt,2774739,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,49607,gnpis_pui:holding-921_taxon-4898_accession-49607,DI01010,VIRTUAL_TRIAL,,,,,,,,treated,2001,72,,146,,"92,3",,"75,4",
DI01012itkt,2774741,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,49107,gnpis_pui:holding-921_taxon-4898_accession-49107,DI01012,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,141,,"76,1",,"62,1",
DI01024itkt,2774727,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,49297,gnpis_pui:holding-921_taxon-4898_accession-49297,DI01024,VIRTUAL_TRIAL,,,,,,,,treated,2001,82,,144,,"98,6",,"80,5",
DI01001itkt,2774721,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,49667,gnpis_pui:holding-921_taxon-4898_accession-49667,DI01001,VIRTUAL_TRIAL,,,,,,,,treated,2001,82,,146,,"91,5",,"74,7",
DI01028itkt,2774758,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,49616,gnpis_pui:holding-921_taxon-4898_accession-49616,DI01028,VIRTUAL_TRIAL,,,,,,,,treated,2001,65,,150,,"67,2",,"54,9",
DI01017itkt,2774745,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,49049,gnpis_pui:holding-921_taxon-4898_accession-49049,DI01017,VIRTUAL_TRIAL,,,,,,,,treated,2001,75,,144,,"88,1",,72,
DI01027itkt,2774737,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,49655,gnpis_pui:holding-921_taxon-4898_accession-49655,DI01027,VIRTUAL_TRIAL,,,,,,,,treated,2001,70,,149,,"80,8",,66,
DI01011itkt,2774740,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,48388,gnpis_pui:holding-921_taxon-4898_accession-48388,DI01011,VIRTUAL_TRIAL,,,,,,,,treated,2001,75,,146,,"98,7",,"80,6",
Soissonsitkt,2774756,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2001,70,,141,,77,,"62,9",
DI01006itkt,2774723,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,49747,gnpis_pui:holding-921_taxon-4898_accession-49747,DI01006,VIRTUAL_TRIAL,,,,,,,,treated,2001,68,,146,,90,,"73,5",
DI01035itkt,2774752,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,49583,gnpis_pui:holding-921_taxon-4898_accession-49583,DI01035,VIRTUAL_TRIAL,,,,,,,,treated,2001,75,,144,,"95,7",,"78,2",
DI01032itkt,2774717,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,49224,gnpis_pui:holding-921_taxon-4898_accession-49224,DI01032,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,146,,"104,5",,"85,3",
DI01022itkt,2774733,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,treated,2001,82,,142,,"112,2",,"91,6",
DI01034itkt,2774751,BTH_Lusignan_2001_SetB3,BTH_Lusignan_2001_SetB3,49727,gnpis_pui:holding-921_taxon-4898_accession-49727,DI01034,VIRTUAL_TRIAL,,,,,,,,treated,2001,75,,146,,97,,"79,2",
