observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI02008itkt,2793398,BTH_Dijon_2004_SetA1,BTH_Dijon_2004_SetA1,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,2",,"76,6",,"101,1",,"98,9",
EM01214itkt,2793388,BTH_Dijon_2004_SetA1,BTH_Dijon_2004_SetA1,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,treated,2004,"12,14",,"76,6",,"98,5",,"96,4",
DI02008itkfi,2793397,BTH_Dijon_2004_SetA1,BTH_Dijon_2004_SetA1,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,55",,"74,2",,"102,1",,"76,1",
EM01214itkfi,2793387,BTH_Dijon_2004_SetA1,BTH_Dijon_2004_SetA1,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,01",,"73,4",,96,,"71,5",
EM99006itkfi,2793383,BTH_Dijon_2004_SetA1,BTH_Dijon_2004_SetA1,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,78",,"73,4",,"81,1",,"60,4",
EM01271itkfi,2793375,BTH_Dijon_2004_SetA1,BTH_Dijon_2004_SetA1,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,93",,"70,8",,"89,7",,"66,8",
Koreliitkt,2793372,BTH_Dijon_2004_SetA1,BTH_Dijon_2004_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,64",,"80,2",,104,,"101,8",
Stru991495.3itkt,2793424,BTH_Dijon_2004_SetA1,BTH_Dijon_2004_SetA1,48723,gnpis_pui:holding-921_taxon-4898_accession-48723,Stru991495.3,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,42",,"78,2",,"94,8",,"92,8",
Koreliitkfi,2793371,BTH_Dijon_2004_SetA1,BTH_Dijon_2004_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,6",,79,,102,,76,
Rytmicitkt,2793386,BTH_Dijon_2004_SetA1,BTH_Dijon_2004_SetA1,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,treated,2004,"12,11",,"74,9",,"89,6",,"87,7",
Rytmicitkfi,2793385,BTH_Dijon_2004_SetA1,BTH_Dijon_2004_SetA1,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,68",,"73,2",,"85,3",,"63,6",
EM01271itkt,2793376,BTH_Dijon_2004_SetA1,BTH_Dijon_2004_SetA1,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,treated,2004,11,,"74,9",,"101,9",,"99,7",
Oratorioitkt,2793406,BTH_Dijon_2004_SetA1,BTH_Dijon_2004_SetA1,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,treated,2004,"12,88",,"76,6",,"93,4",,"91,4",
RE01047itkt,2793400,BTH_Dijon_2004_SetA1,BTH_Dijon_2004_SetA1,26097,https://doi.org/10.15454/3W80FR,RE01047,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,72",,"73,1",,"93,9",,"91,9",
RE01047itkfi,2793399,BTH_Dijon_2004_SetA1,BTH_Dijon_2004_SetA1,26097,https://doi.org/10.15454/3W80FR,RE01047,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,72",,"73,1",,"88,6",,66,
RE02162itkt,2793420,BTH_Dijon_2004_SetA1,BTH_Dijon_2004_SetA1,26101,https://doi.org/10.15454/FFIEB9,RE02162,VIRTUAL_TRIAL,,,,,,,,treated,2004,"12,34",,"78,8",,90,,"88,1",
