observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI08011itkt,2833389,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2008,80,,"47,8",,138,,"10,52",,"77,6",,"107,9",,,,"126,8",,,,,,1,
DI08012itkt,2833387,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49381,gnpis_pui:holding-921_taxon-4898_accession-49381,DI08012,VIRTUAL_TRIAL,,,,,,,,treated,2008,80,,"47,7",,138,,"10,94",,"78,2",,"106,7",,,,"125,4",,,,,,1,
DI08011itkfi,2833388,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,85,,"39,8",,138,,"10,09",,74,,"108,8",,2,,"91,6",,1,,"2,5",,1,
Koreliitkfi,2833408,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,100,,"45,6",,144,,"9,7",,80,,"99,1",,"1,5",,"83,5",,1,,2,,"8,5",
DI08014itkt,2833393,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49513,gnpis_pui:holding-921_taxon-4898_accession-49513,DI08014,VIRTUAL_TRIAL,,,,,,,,treated,2008,78,,"47,1",,144,,"10,62",,"75,4",,"93,2",,,,"109,5",,,,,,1,
DI08012itkfi,2833386,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49381,gnpis_pui:holding-921_taxon-4898_accession-49381,DI08012,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,85,,"38,8",,139,,"10,02",,"73,8",,"105,1",,"1,5",,"88,5",,1,,3,,1,
CF07098itkfi,2833400,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49624,gnpis_pui:holding-921_taxon-4898_accession-49624,CF07098,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,102,,53,,141,,"10,15",,"75,3",,"124,3",,1,,"104,79",,1,,1,,1,
CF07143itkfi,2833434,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,105,,"55,6",,140,,"9,75",,"76,5",,"126,8",,1,,"106,8",,1,,1,,1,
Koreliitkt,2833409,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2008,100,,50,,144,,"10,92",,"81,2",,"104,3",,,,"122,5",,,,,,3,
Apacheitkt,2833413,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2008,80,,"48,2",,136,,"11,15",,"77,4",,"100,5",,,,"118,1",,,,,,1,
RE07083itkt,2833449,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,treated,2008,95,,"50,2",,134,,"11,15",,"75,8",,"108,6",,,,"127,6",,,,,,"6,5",
CF07193itkt,2833405,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,27793,https://doi.org/10.15454/0F480I,CF07193,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,"56,2",,142,,"11,06",,"77,2",,106,,,,"124,5",,,,,,1,
CF07080itkt,2833445,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48671,gnpis_pui:holding-921_taxon-4898_accession-48671,CF07080,VIRTUAL_TRIAL,,,,,,,,treated,2008,92,,"46,6",,140,,"10,54",,"74,1",,"106,3",,,,"124,9",,,,,,1,
CF07193itkfi,2833404,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,27793,https://doi.org/10.15454/0F480I,CF07193,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,"51,6",,142,,"10,02",,77,,"121,6",,1,,"102,4",,1,,1,,1,
RE07083itkfi,2833448,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,"43,8",,134,,"10,39",,75,,"121,8",,"1,5",,"102,6",,1,,3,,1,
RE07075itkt,2833447,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49516,gnpis_pui:holding-921_taxon-4898_accession-49516,RE07075,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,"49,6",,136,,"11,62",,"74,4",,"85,7",,,,"100,6",,,,,,"2,5",
CF07097itkt,2833407,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,treated,2008,98,,"51,8",,142,,"10,6",,76,,"106,8",,,,"125,4",,,,,,"1,5",
CF07097itkfi,2833406,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,100,,"49,4",,142,,"10,02",,"74,9",,"116,6",,1,,"98,2",,1,,"1,5",,1,
