observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF09027itkt,2857239,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48507,https://doi.org/10.15454/YFD4LO,CF09027,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,"38,6",,128,,"9,98",,"77,5",,"93,4",,"53,7",
EM09015itkt,2857215,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,38,,129,,"11,36",,"78,4",,"90,6",,"52,1",
DI10006itkt,2857233,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,"37,9",,131,,"10,52",,"77,5",,"91,9",,"52,9",
DI10006itkfi,2857232,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,75,,"34,9",,131,,"10,57",,"77,6",,"92,2",,47,
DI10007itkt,2857231,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,treated,2011,76,,"33,2",,129,,"11,41",,78,,92,,53,
DI10007itkfi,2857230,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,72,,"36,5",,129,,"8,97",,"80,8",,"107,4",,"54,8",
DI10015itkt,2857183,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,treated,2011,74,,"39,8",,125,,"10,9",,"78,1",,"95,1",,"54,7",
DI10015itkfi,2857182,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,70,,41,,128,,"9,18",,"77,7",,"98,3",,"50,1",
RE09055itkfi,2857252,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,"39,4",,124,,"10,24",,"75,3",,"112,8",,"57,6",
RE09055itkt,2857253,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,treated,2011,84,,"41,1",,124,,"10,56",,"75,2",,"100,5",,"57,9",
Barokitkt,2857179,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,"38,4",,128,,"10,18",,"76,6",,"103,7",,"59,7",
Barokitkfi,2857178,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,72,,34,,129,,"9,9",,"77,1",,104,,"53,1",
CF09182itkt,2857203,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48586,https://doi.org/10.15454/TEBGJY,CF09182,VIRTUAL_TRIAL,,,,,,,,treated,2011,76,,"32,4",,130,,"11,34",,"75,1",,"87,3",,"50,3",
CF09182itkfi,2857202,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48586,https://doi.org/10.15454/TEBGJY,CF09182,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,36,,131,,"10,11",,"76,2",,"98,2",,"50,1",
CF09117itkt,2857249,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2011,92,,"39,6",,126,,"11,7",,"77,4",,"95,9",,"55,2",
CF09117itkfi,2857248,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,"40,4",,128,,"10,18",,"77,4",,"94,1",,48,
CF09225itkt,2857255,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,36,,128,,"10,24",,"79,4",,"94,3",,"54,3",
CF09225itkfi,2857254,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,75,,"38,8",,130,,"9,2",,"79,6",,"102,7",,"52,4",
CF09227itkt,2857257,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2011,92,,"36,4",,126,,"10,35",,"79,2",,"99,4",,"57,2",
CF09227itkfi,2857256,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,"36,6",,128,,"10,05",,"78,4",,"98,2",,"50,1",
CF09176itkt,2857229,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,49359,https://doi.org/10.15454/HRZCLT,CF09176,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,"35,6",,130,,"10,92",,"75,8",,"91,4",,"52,6",
CF09176itkfi,2857228,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,49359,https://doi.org/10.15454/HRZCLT,CF09176,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,72,,"34,9",,130,,"9,43",,"77,1",,"95,3",,"48,6",
CF09276itkfi,2857200,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,85,,"43,9",,122,,"10,19",,"79,6",,"109,9",,"56,1",
CF09276itkt,2857201,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,treated,2011,96,,"46,2",,122,,"10,6",,"79,4",,"102,8",,"59,1",
EM08231itkt,2857221,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,"39,4",,126,,"10,24",,"73,5",,92,,"52,9",
EM08231itkfi,2857220,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,66,,38,,128,,"9,99",,"72,6",,"85,7",,"43,7",
RE09063itkfi,2857204,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,"36,2",,132,,"10,02",,76,,"107,9",,"55,1",
RE09063itkt,2857205,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,"36,8",,132,,"10,41",,"75,4",,90,,"51,8",
RE09079itkfi,2857180,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,"39,7",,132,,"10,28",,"74,8",,"93,6",,"47,8",
RE09079itkt,2857181,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,"39,8",,132,,"10,96",,"74,8",,97,,"55,8",
Premioitkfi,2857186,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,74,,"46,2",,126,,"9,3",,"79,2",,"91,5",,"46,7",
Premioitkt,2857187,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,"44,8",,124,,"10,83",,79,,"97,4",,56,
RE09009itkt,2857217,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,treated,2011,85,,"33,5",,128,,"11,37",,"76,5",,"89,9",,"51,7",
RE09009itkfi,2857216,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,"34,8",,130,,"10,53",,"77,2",,"91,6",,"46,7",
EM09003itkt,2857193,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,treated,2011,89,,"40,9",,127,,"10,16",,"79,7",,"107,3",,"61,8",
EM09003itkfi,2857192,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,"40,2",,128,,"9,66",,"80,2",,"104,5",,"53,3",
RE09073itkt,2857213,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,treated,2011,79,,"37,6",,126,,"10,54",,"73,4",,"94,3",,"54,3",
RE09073itkfi,2857212,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,70,,"34,8",,127,,"9,8",,"73,2",,"94,2",,"48,1",
DI10001itkt,2857225,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,treated,2011,85,,41,,130,,"11,81",,"78,6",,"95,5",,55,
DI10001itkfi,2857224,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,79,,"38,8",,130,,"9,64",,"79,8",,"99,6",,"50,8",
Apacheitkt,2857207,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2011,88,,"41,9",,123,,"9,56",,"80,7",,"103,9",,"59,8",
Apacheitkfi,2857206,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,"40,8",,124,,"9,12",,"78,9",,"94,3",,"48,1",
Attlassitkfi,2857234,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,"38,3",,127,,"10,28",,"78,1",,"91,6",,"46,7",
Attlassitkt,2857235,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2011,84,,41,,127,,"10,75",,78,,"100,2",,"57,7",
Gallixeitkfi,2857246,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,"34,2",,128,,"10,04",,"75,6",,"97,4",,"49,7",
