observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
AO13026itkt,2879458,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,5",,62,,NA,,100,,NA,,"82,3",,NA,,"89,63",,NA,,"271,93",,98,,"1,56",,197,,70,,367,,"49,1",,"9,3",,"81,3",,NA,,1610,,"3,96",,NA,
AO13029itkt,2879464,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,treated,2013,17,,58,,NA,,100,,NA,,"79,3",,NA,,"89,63",,NA,,"268,93",,81,,"1,39",,172,,70,,321,,"52,2",,"9,9",,"79,4",,NA,,1610,,"2,46",,NA,
AO13031itkt,2879471,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,7",,56,,NA,,100,,NA,,"73,9",,NA,,"91,13",,NA,,"265,03",,117,,"2,07",,246,,74,,361,,51,,10,,"78,7",,NA,,1635,,"4,11",,NA,
AO13042itkt,2879484,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,treated,2013,"23,9",,116,,NA,,100,,NA,,"72,4",,NA,,"84,13",,NA,,"256,53",,63,,"0,54",,215,,74,,370,,50,,"9,7",,"79,2",,NA,,1487,,"3,08",,NA,
RE12080itkt,2879498,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,3",,92,,NA,,100,,NA,,"82,6",,NA,,97,,NA,,"279,6",,72,,"0,78",,221,,68,,366,,"49,2",,"9,8",,"79,5",,NA,,1625,,"2,61",,NA,
CF10185itkt,2879527,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,6",,86,,100,,NA,,75,,NA,,90,,NA,,265,,NA,,86,,1,,262,,"67,5",,418,,NA,,"11,8",,NA,,1770,,NA,,NA,,33,
AO13003itkt,2879462,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,61449,https://doi.org/10.15454/ACXILT,AO13003,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,3",,84,,94,,NA,,46,,NA,,54,,NA,,194,,NA,,62,,"0,75",,136,,"81,5",,410,,NA,,"11,4",,NA,,1475,,NA,,NA,,24,
DI13002itkt,2879478,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,61791,https://doi.org/10.15454/GW5VMO,DI13002,VIRTUAL_TRIAL,,,,,,,,treated,2013,21,,89,,NA,,100,,NA,,"80,5",,NA,,"92,63",,NA,,"273,13",,72,,"0,8",,210,,51,,394,,"51,5",,10,,"77,3",,NA,,1655,,"2,65",,NA,
EM12040itkt,2879490,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,treated,2013,"24,9",,126,,NA,,100,,NA,,"78,7",,NA,,"91,13",,NA,,"269,83",,63,,"0,5",,190,,69,,400,,"48,2",,"11,1",,"79,4",,NA,,1590,,"3,59",,NA,
CF10064itkt,2879465,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2013,19,,73,,100,,NA,,77,,NA,,86,,NA,,263,,NA,,86,,"1,18",,245,,"40,5",,371,,NA,,"11,9",,NA,,1705,,NA,,NA,,28,
