observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE01004,2773473,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,26094,https://doi.org/10.15454/KQXNER,RE01004,VIRTUAL_TRIAL,,,,,,,,2001,"8,5",,5,,1,
EM00258,2773460,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49338,gnpis_pui:holding-921_taxon-4898_accession-49338,EM00258,VIRTUAL_TRIAL,,,,,,,,2001,"2,5",,2,,1,
RE01007,2773487,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49340,gnpis_pui:holding-921_taxon-4898_accession-49340,RE01007,VIRTUAL_TRIAL,,,,,,,,2001,"5,5",,2,,1,
RE00161,2773469,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,48948,gnpis_pui:holding-921_taxon-4898_accession-48948,RE00161,VIRTUAL_TRIAL,,,,,,,,2001,5,,5,,1,
LM01002,2773489,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,48949,gnpis_pui:holding-921_taxon-4898_accession-48949,LM01002,VIRTUAL_TRIAL,,,,,,,,2001,4,,2,,1,
RE00142,2773476,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,48945,gnpis_pui:holding-921_taxon-4898_accession-48945,RE00142,VIRTUAL_TRIAL,,,,,,,,2001,3,,2,,1,
EM00191,2773474,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,48953,gnpis_pui:holding-921_taxon-4898_accession-48953,EM00191,VIRTUAL_TRIAL,,,,,,,,2001,"2,5",,2,,1,
RE01001,2773461,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49179,gnpis_pui:holding-921_taxon-4898_accession-49179,RE01001,VIRTUAL_TRIAL,,,,,,,,2001,5,,2,,1,
RE00149,2773472,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,48470,gnpis_pui:holding-921_taxon-4898_accession-48470,RE00149,VIRTUAL_TRIAL,,,,,,,,2001,2,,2,,1,
EM00101,2773462,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,48394,gnpis_pui:holding-921_taxon-4898_accession-48394,EM00101,VIRTUAL_TRIAL,,,,,,,,2001,"4,5",,3,,6,
RE00144,2773478,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,48402,gnpis_pui:holding-921_taxon-4898_accession-48402,RE00144,VIRTUAL_TRIAL,,,,,,,,2001,3,,2,,1,
