observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO11005itkt,2858379,BTH_Estrées-Mons_2011_SetB1,BTH_Estrées-Mons_2011_SetB1,49011,https://doi.org/10.15454/08Z5FH,AO11005,VIRTUAL_TRIAL,,,,,,,,treated,2011,62,,,,134,,"9,16",,"75,5",,"109,3",,,,"92,5",,,,,
AO11007itkfi,2858352,BTH_Estrées-Mons_2011_SetB1,BTH_Estrées-Mons_2011_SetB1,61304,https://doi.org/10.15454/AKFYIH,AO11007,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,"1,5",,134,,"9,43",,"75,3",,"87,9",,3,,"61,7",,2,,1,
AO11007itkt,2858353,BTH_Estrées-Mons_2011_SetB1,BTH_Estrées-Mons_2011_SetB1,61304,https://doi.org/10.15454/AKFYIH,AO11007,VIRTUAL_TRIAL,,,,,,,,treated,2011,68,,,,132,,"10,21",,"75,4",,"100,4",,,,85,,,,,
AO11004itkfi,2858380,BTH_Estrées-Mons_2011_SetB1,BTH_Estrées-Mons_2011_SetB1,61255,https://doi.org/10.15454/K4DPBH,AO11004,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,60,,"1,5",,134,,"8,65",,"72,2",,"102,4",,2,,"71,9",,2,,1,
AO11004itkt,2858381,BTH_Estrées-Mons_2011_SetB1,BTH_Estrées-Mons_2011_SetB1,61255,https://doi.org/10.15454/K4DPBH,AO11004,VIRTUAL_TRIAL,,,,,,,,treated,2011,58,,,,134,,"9,67",,"72,1",,"104,9",,,,"88,8",,,,,
AO11006itkt,2858375,BTH_Estrées-Mons_2011_SetB1,BTH_Estrées-Mons_2011_SetB1,61287,https://doi.org/10.15454/IAPJBN,AO11006,VIRTUAL_TRIAL,,,,,,,,treated,2011,68,,,,134,,"9,45",,"74,2",,"105,3",,,,"89,1",,,,,
AO11006itkfi,2858374,BTH_Estrées-Mons_2011_SetB1,BTH_Estrées-Mons_2011_SetB1,61287,https://doi.org/10.15454/IAPJBN,AO11006,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,1,,133,,"9,66",,"75,5",,"102,1",,1,,"71,7",,2,,2,
EM10073itkfi,2858416,BTH_Estrées-Mons_2011_SetB1,BTH_Estrées-Mons_2011_SetB1,61430,https://doi.org/10.15454/D1HODW,EM10073,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,1,,138,,"10,21",,"77,4",,"103,5",,"1,5",,"72,7",,2,,2,
EM10073itkt,2858417,BTH_Estrées-Mons_2011_SetB1,BTH_Estrées-Mons_2011_SetB1,61430,https://doi.org/10.15454/D1HODW,EM10073,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,,,139,,"10,27",,"77,2",,"102,7",,,,87,,,,,
EM10126itkfi,2858362,BTH_Estrées-Mons_2011_SetB1,BTH_Estrées-Mons_2011_SetB1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,75,,"1,5",,134,,"9,8",,"74,3",,"104,4",,1,,"73,2",,2,,1,
