observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO14041itkt,2971476,BTH_Estrées-Mons_2015_SetA2,BTH_Estrées-Mons_2015_SetA2,60915,https://doi.org/10.15454/BHRDHY,AO14041,VIRTUAL_TRIAL,,,,,,,,traite,2015,142,,10.5,,74.9,,95.5,,,,116.7,,,,,,1,
CF13057itkt,2971425,BTH_Estrées-Mons_2015_SetA2,BTH_Estrées-Mons_2015_SetA2,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,traite,2015,144,,11,,76.9,,96.2,,,,117.5,,,,,,4.5,
CF13057itknt,2971424,BTH_Estrées-Mons_2015_SetA2,BTH_Estrées-Mons_2015_SetA2,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,141,,,,,,102.6,,5,,106.8,,2,,5.5,,6.5,
CF13057itkfi,2971423,BTH_Estrées-Mons_2015_SetA2,BTH_Estrées-Mons_2015_SetA2,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,140,,11.1,,82,,108.5,,3.5,,107.7,,1.5,,4.5,,4,
CF13131itkt,2971407,BTH_Estrées-Mons_2015_SetA2,BTH_Estrées-Mons_2015_SetA2,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,traite,2015,140,,11.2,,77.2,,100.1,,,,122.3,,,,,,4.5,
CF13131itkfi,2971405,BTH_Estrées-Mons_2015_SetA2,BTH_Estrées-Mons_2015_SetA2,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,138,,10.5,,78.8,,102,,3.5,,101.3,,1.5,,5,,4,
CF13131itknt,2971406,BTH_Estrées-Mons_2015_SetA2,BTH_Estrées-Mons_2015_SetA2,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,138,,,,,,103,,2.5,,107.2,,4.5,,5,,4.5,
CF13085itkt,2971410,BTH_Estrées-Mons_2015_SetA2,BTH_Estrées-Mons_2015_SetA2,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,traite,2015,138,,11.1,,77.8,,99.8,,,,122,,,,,,2.5,
CF13085itknt,2971409,BTH_Estrées-Mons_2015_SetA2,BTH_Estrées-Mons_2015_SetA2,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,136,,,,,,93.7,,1,,97.5,,5,,5,,7,
CF13085itkfi,2971408,BTH_Estrées-Mons_2015_SetA2,BTH_Estrées-Mons_2015_SetA2,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,138,,11.7,,80.7,,95.5,,4,,94.9,,2.5,,5.5,,4,
