observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieD(CO_321:1000255),NmieD(CO_321:1000255).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainD(CO_321:1000254),NpainD(CO_321:1000254).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateD(CO_321:1000253),NpateD(CO_321:1000253).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotD(CO_321:1000256),NtotD(CO_321:1000256).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volD(CO_321:1000257),volD(CO_321:1000257).date,volL(CO_321:1000245),volL(CO_321:1000245).date,volS(CO_321:1000250),volS(CO_321:1000250).date,zel(CO_321:1000222),zel(CO_321:1000222).date
RE13006itkt,2976744,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61514,https://doi.org/10.15454/KLQZHB,RE13006,VIRTUAL_TRIAL,,,,,,,,traite,2014,15.5,,49,,,,100,,,,,,25.4,,,,,,73.13,,,,,,198.53,,,,81,,1.66,,150,,73,,178,,54.2,,9.1,,79.2,,,,1230,,,,,
RE13007itkt,2976736,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61527,https://doi.org/10.15454/JN5VML,RE13007,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.1,,66,,,,100,,,,,,31.1,,,,,,91.13,,,,,,222.23,,,,77,,1.16,,178,,77,,171,,53.6,,9.4,,79.1,,,,1425,,,,,
RE12080itkt,2976724,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,traite,2014,22.1,,99,,100,,,,,,81.1,,,,,,98.5,,,,,,279.6,,,,,,96,,0.97,,288,,57,,294,,,,11.8,,,,1575,,,,,,34,
RE13093itkt,2976701,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,traite,2014,23.3,,110,,,,100,,,,,,62.5,,,,,,80,,,,,,242.5,,,,52,,0.47,,159,,19,,250,,51,,9.1,,78.2,,,,1400,,,,,
RE13094itkt,2976694,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,traite,2014,21.2,,91,,,,100,,,,,,64.9,,,,,,88.5,,,,,,253.4,,,,63,,0.69,,157,,63,,214,,56.6,,8.9,,77.6,,,,1285,,,,,
AO14026itkt,2976740,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61704,https://doi.org/10.15454/ZZZLIR,AO14026,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.2,,67,,,,100,,,,,,77.5,,,,,,88.13,,,,,,265.63,,,,76,,1.13,,169,,65,,265,,53.7,,8.2,,79.5,,,,1450,,,,,
AO14001itkt,2976750,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61803,https://doi.org/10.15454/LCA9U1,AO14001,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.2,,67,,94,,,,,,30.2,,,,,,97,,,,,,221.2,,,,,,71,,1.07,,141,,43,,228,,,,9.8,,,,1240,,,,,,20,
AO14013itkt,2976714,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,62003,https://doi.org/10.15454/UIHLJL,AO14013,VIRTUAL_TRIAL,,,,,,,,traite,2014,18,,65,,,,100,,,,,,76.6,,,,,,83.75,,,,,,260.35,,,,86,,1.32,,200,,68,,192,,49.9,,9.2,,80.8,,,,1525,,,,,
AO14014itkt,2976716,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,62034,https://doi.org/10.15454/RWXBD7,AO14014,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.4,,84,,,,100,,,,,,48.23,,,,,,82.25,,,,,,230.48,,,,74,,0.88,,198,,64,,327,,51.9,,8.9,,79.9,,,,1320,,,,,
AO14017itkt,2976717,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,62096,https://doi.org/10.15454/JY3UZ7,AO14017,VIRTUAL_TRIAL,,,,,,,,traite,2014,16.2,,54,,,,100,,,,,,73,,,,,,89.63,,,,,,262.63,,,,101,,1.89,,197,,71,,395,,54.4,,9.4,,81.2,,,,1455,,,,,
AO14020itkt,2976741,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,62141,https://doi.org/10.15454/0STI9A,AO14020,VIRTUAL_TRIAL,,,,,,,,traite,2014,16.7,,56,,,,100,,,,,,71.8,,,,,,91.13,,,,,,262.93,,,,85,,1.51,,164,,63,,215,,50.2,,9.5,,76,,,,1460,,,,,
EM13147itkt,2976743,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61412,https://doi.org/10.15454/J7IR6N,EM13147,VIRTUAL_TRIAL,,,,,,,,traite,2014,14,,40,,,,88,,,,,,10.75,,,,,,60.5,,,,,,159.25,,,,107,,2.7,,173,,68,,242,,57,,9.7,,76.7,,,,1005,,,,,
CF13158itkt,2976745,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61152,https://doi.org/10.15454/BOXBBY,CF13158,VIRTUAL_TRIAL,,,,,,,,traite,2014,23.3,,110,,,,100,,,,,,63.1,,,,,,78.88,,,,,,241.98,,,,51,,0.47,,130,,69,,290,,47.9,,9.4,,78.1,,,,1220,,,,,
RE13116itkt,2976687,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61763,https://doi.org/10.15454/N7NCR1,RE13116,VIRTUAL_TRIAL,,,,,,,,traite,2014,21.4,,93,,,,100,,,,,,64.3,,,,,,80.75,,,,,,245.05,,,,57,,0.61,,142,,57,,224,,64.1,,9.1,,77,,,,1265,,,,,
DI13002itkt,2976707,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61791,https://doi.org/10.15454/GW5VMO,DI13002,VIRTUAL_TRIAL,,,,,,,,traite,2014,21.6,,95,,94,,,,,,30.3,,,,,,83.5,,,,,,207.8,,,,,,88,,0.94,,218,,45,,337,,,,9.8,,,,1275,,,,,,24,
EM12040itkt,2976730,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.6,,70,,,,100,,,,,,55.95,,,,,,91.13,,,,,,247.08,,,,77,,1.1,,190,,65,,279,,55.4,,10.5,,79.9,,,,1390,,,,,
EM11537itkt,2976690,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,traite,2014,13.1,,35,,94,,,,,,31.1,,,,,,74.5,,,,,,199.6,,,,,,112,,3.22,,151,,43,,232,,,,9.4,,,,1220,,,,,,20,
