observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date
AO13026itkfi,2879932,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,2013,"14,8",,45,,100,,"55,43",,"82,5",,"237,93",,131,,"2,94",,222,,77,,460,,"50,1",,10,,"81,9",
AO13029itkfi,2879938,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,2013,"14,3",,42,,100,,"68,5",,"95,5",,264,,98,,"2,36",,159,,62,,404,,"53,4",,"9,5",,"78,6",
AO13031itkfi,2879945,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,2013,"14,1",,41,,97,,"42,3",,"77,75",,"217,05",,136,,"3,34",,225,,70,,408,,"50,4",,"9,1",,"80,6",
AO13042itkfi,2879958,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,2013,"17,4",,61,,100,,"78,4",,83,,"261,4",,76,,"1,24",,178,,52,,387,,"50,1",,9,,"78,8",
RE12080itkfi,2879972,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,2013,"18,6",,70,,100,,"57,15",,"89,63",,"246,78",,72,,"1,02",,185,,51,,372,,"53,5",,"9,2",,"79,8",
CF10185itkfi,2880001,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO13003itkfi,2879936,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,61449,https://doi.org/10.15454/ACXILT,AO13003,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI13002itkfi,2879952,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,61791,https://doi.org/10.15454/GW5VMO,DI13002,VIRTUAL_TRIAL,,,,,,,,2013,"17,4",,61,,100,,"49,8",,"81,5",,"231,3",,80,,"1,3",,182,,73,,392,,"50,2",,"9,3",,"83,6",
EM12040itkfi,2879964,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,2013,15,,46,,100,,"61,95",,83,,"244,95",,103,,"2,25",,187,,70,,424,,"50,7",,"9,8",,"82,8",
CF10064itkfi,2879939,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
