observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volL(CO_321:1000245),volL(CO_321:1000245).date,volS(CO_321:1000250),volS(CO_321:1000250).date
AO13026itkfi,2879701,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"14,8",,45,,100,,,,"59,1",,,,"89,63",,,,"248,73",,,,128,,"2,88",,222,,74,,437,,"47,9",,"10,2",,"82,4",,1572,,,
AO13026itkt,2879702,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
AO13029itkt,2879714,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
AO13029itkfi,2879713,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"16,8",,58,,100,,,,"77,5",,,,"89,63",,,,"267,13",,,,85,,"1,48",,178,,67,,389,,"49,3",,"10,4",,"79,8",,1557,,,
AO13031itkfi,2879727,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"15,6",,50,,100,,,,"11,5",,,,80,,,,"191,5",,,,147,,"2,97",,293,,78,,432,,"48,4",,10,,"81,8",,1252,,,
AO13031itkt,2879728,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
AO13042itkt,2879754,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
AO13042itkfi,2879753,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"18,8",,71,,100,,,,"64,35",,,,"81,5",,,,"245,85",,,,75,,"1,05",,199,,69,,420,,"42,6",,"10,2",,"79,2",,1672,,,
RE12080itkfi,2879781,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"23,3",,110,,100,,,,"83,5",,,,"92,63",,,,"276,13",,,,56,,"0,51",,184,,61,,409,,48,,"10,5",,"81,4",,1750,,,
RE12080itkt,2879782,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
CF10185itkfi,2879839,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
CF10185itkt,2879840,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
AO13003itkfi,2879709,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61449,https://doi.org/10.15454/ACXILT,AO13003,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
AO13003itkt,2879710,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61449,https://doi.org/10.15454/ACXILT,AO13003,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
DI13002itkfi,2879741,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61791,https://doi.org/10.15454/GW5VMO,DI13002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,20,,81,,100,,,,57,,,,"91,13",,,,"248,13",,,,71,,"0,87",,204,,64,,394,,"50,7",,"9,7",,81,,1500,,,
DI13002itkt,2879742,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61791,https://doi.org/10.15454/GW5VMO,DI13002,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
EM12040itkfi,2879765,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"19,4",,76,,100,,,,"84,1",,,,"89,63",,,,"273,73",,,,103,,"1,35",,270,,70,,502,,"55,3",,"11,4",,"82,8",,1775,,,
EM12040itkt,2879766,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
CF10064itkfi,2879715,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
CF10064itkt,2879716,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
EM11537itkt,2879698,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
EM11537itkfi,2879697,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
AO13013itkfi,2879795,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
AO13013itkt,2879796,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
AO13015itkt,2879800,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
AO13015itkfi,2879799,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
AO13045itkfi,2879843,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"15,6",,50,,100,,,,"84,1",,,,"82,25",,,,"266,35",,,,122,,"2,46",,233,,64,,422,,"51,6",,"10,5",,"79,2",,1672,,,
AO13045itkt,2879844,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
CF09117itkt,2879830,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
CF09117itkfi,2879829,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
RE12001itkt,2879722,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49097,https://doi.org/10.15454/ANZWH3,RE12001,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
RE12001itkfi,2879721,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49097,https://doi.org/10.15454/ANZWH3,RE12001,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,21,,89,,100,,,,"79,6",,,,"88,5",,,,"268,1",,,,66,,"0,74",,186,,65,,396,,"53,7",,"9,9",,"81,2",,1620,,,
RE12040itkt,2879792,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,48352,https://doi.org/10.15454/YWSWUD,RE12040,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
RE12040itkfi,2879791,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,48352,https://doi.org/10.15454/YWSWUD,RE12040,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,22,,98,,100,,,,"73,9",,,,"92,63",,,,"266,53",,,,70,,"0,71",,180,,68,,460,,"48,6",,11,,"83,8",,1535,,,
RE12042itkt,2879788,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49556,https://doi.org/10.15454/GYCEHY,RE12042,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
RE12042itkfi,2879787,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49556,https://doi.org/10.15454/GYCEHY,RE12042,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"21,3",,92,,100,,,,"60,15",,,,"80,75",,,,"240,9",,,,81,,"0,88",,252,,59,,388,,"50,1",,"10,6",,"80,9",,1685,,,
RE12050itkfi,2879783,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49040,https://doi.org/10.15454/B2JKAS,RE12050,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"17,7",,63,,100,,,,"55,8",,,,"79,25",,,,"235,05",,,,100,,"1,57",,241,,63,,409,,"54,2",,"10,2",,"78,9",,1460,,,
RE12050itkt,2879784,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49040,https://doi.org/10.15454/B2JKAS,RE12050,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
RE12051itkt,2879786,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,48435,https://doi.org/10.15454/0FR6IX,RE12051,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
RE12051itkfi,2879785,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,48435,https://doi.org/10.15454/0FR6IX,RE12051,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"19,9",,80,,100,,,,"42,5",,,,"80,75",,,,"223,25",,,,98,,"1,22",,292,,78,,378,,"49,9",,"10,9",,"80,2",,1650,,,
