observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date
AO13025itkfi,2878204,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,61004,https://doi.org/10.15454/0TKQE8,AO13025,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,152,,"76,4",,"84,3",,"2,5",,"66,4",,1,
RE12042itkfi,2878201,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,49556,https://doi.org/10.15454/GYCEHY,RE12042,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,102,,148,,"78,3",,"101,1",,"1,5",,"79,7",,1,
CF12200itkfi,2878213,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,48698,https://doi.org/10.15454/CBPECM,CF12200,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,154,,"75,4",,"101,9",,1,,"80,3",,1,
EM12234itkfi,2878215,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,149,,"79,5",,"110,2",,1,,"86,8",,1,
AO13026itkfi,2878206,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,151,,"78,5",,"98,1",,2,,"77,3",,1,
RE12053itkfi,2878221,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,61448,https://doi.org/10.15454/BEMSDR,RE12053,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,154,,"76,5",,"106,4",,"1,5",,"83,8",,1,
RE12050itkfi,2878218,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,49040,https://doi.org/10.15454/B2JKAS,RE12050,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,153,,"78,1",,"98,7",,"1,5",,"77,8",,1,
AO13022itkfi,2878210,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,150,,78,,112,,1,,"88,2",,4,
RE12057itkfi,2878225,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,61483,https://doi.org/10.15454/9QIAHU,RE12057,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,152,,"76,6",,"110,6",,1,,"87,1",,1,
AO13017itkfi,2878229,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,60866,https://doi.org/10.15454/85C3HD,AO13017,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,149,,"77,7",,"101,5",,"1,5",,80,,1,
DI13004itkfi,2878211,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,49219,https://doi.org/10.15454/6NP2UD,DI13004,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,154,,"79,1",,"112,5",,1,,"88,7",,1,
CF12273itkfi,2878226,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,49671,https://doi.org/10.15454/XJPBH3,CF12273,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,144,,"76,8",,"101,3",,1,,"79,8",,3,
RE12051itkfi,2878223,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,48435,https://doi.org/10.15454/0FR6IX,RE12051,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,154,,"79,5",,"113,5",,1,,"89,5",,1,
RE12062itkfi,2878198,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,61498,https://doi.org/10.15454/PGNWR0,RE12062,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,152,,"74,7",,"101,8",,1,,"80,2",,1,
RE12056itkfi,2878224,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,61466,https://doi.org/10.15454/BR3V9R,RE12056,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,154,,"76,5",,110,,1,,"86,7",,1,
AO13016itkfi,2878228,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,60850,https://doi.org/10.15454/R4ROYJ,AO13016,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,151,,"76,6",,"106,3",,1,,"83,7",,1,
Apacheitkfi,2878217,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,146,,"76,5",,"93,7",,1,,"73,8",,1,
RE12064itkfi,2878199,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,61513,https://doi.org/10.15454/PJQ3Q5,RE12064,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,150,,"77,6",,"108,9",,1,,"85,8",,1,
Bermudeitkfi,2878203,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,150,,"77,4",,"100,3",,1,,79,,1,
AO13020itkfi,2878208,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,60930,https://doi.org/10.15454/3Q1S0Q,AO13020,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,150,,"80,8",,"94,2",,1,,"74,2",,1,
AO13023itkfi,2878209,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,60976,https://doi.org/10.15454/MDP0B7,AO13023,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,144,,80,,"96,3",,"2,5",,"75,9",,1,
CF12176itkfi,2878219,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,61510,https://doi.org/10.15454/KWBER9,CF12176,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,142,,"73,2",,"96,3",,1,,"75,8",,1,
Lyrikitkfi,2878235,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,150,,"77,8",,"110,7",,1,,"87,2",,1,
Pakitoitkfi,2878214,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,145,,"74,5",,"104,2",,1,,"82,1",,1,
CF12265itkfi,2878202,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,61601,https://doi.org/10.15454/RDBYFX,CF12265,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,102,,148,,"72,7",,"77,3",,1,,"60,9",,6,
