observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI08019-2itknt,2854788,BTH_Le_Moulon_2011_SetA1,BTH_Le_Moulon_2011_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,90,,133,,,,101,,"1,5",,"93,7",,1,,,,"1,5",
DI08019-2itkt,2854789,BTH_Le_Moulon_2011_SetA1,BTH_Le_Moulon_2011_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2011,89,,134,,"8,93",,"98,2",,,,"107,3",,,,,,,
Strub061859-1itknt,2854857,BTH_Le_Moulon_2011_SetA1,BTH_Le_Moulon_2011_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,104,,136,,,,"96,1",,1,,"89,2",,1,,,,2,
Fr759/08itkt,2854852,BTH_Le_Moulon_2011_SetA1,BTH_Le_Moulon_2011_SetA1,48456,gnpis_pui:holding-921_taxon-4898_accession-48456,Fr759/08,VIRTUAL_TRIAL,,,,,,,,treated,2011,98,,138,,"8,99",,"98,1",,,,"107,2",,,,,,,
CF07143itkt,2854870,BTH_Le_Moulon_2011_SetA1,BTH_Le_Moulon_2011_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2011,102,,137,,"9,51",,"93,1",,,,"101,7",,,,,,,
CF08027itknt,2854896,BTH_Le_Moulon_2011_SetA1,BTH_Le_Moulon_2011_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,91,,136,,,,"100,5",,2,,"93,3",,1,,,,"1,5",
CF07143itknt,2854869,BTH_Le_Moulon_2011_SetA1,BTH_Le_Moulon_2011_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,99,,134,,,,"104,3",,"1,5",,"96,8",,1,,,,3,
AO10015itknt,2854779,BTH_Le_Moulon_2011_SetA1,BTH_Le_Moulon_2011_SetA1,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,101,,131,,,,"91,5",,1,,"84,9",,1,,,,4,
CF08027itkt,2854897,BTH_Le_Moulon_2011_SetA1,BTH_Le_Moulon_2011_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2011,92,,136,,"9,6",,"97,7",,,,"106,7",,,,,,,
HadmF11383itkfi,2854799,BTH_Le_Moulon_2011_SetA1,BTH_Le_Moulon_2011_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,91,,132,,"9,17",,"100,6",,1,,"91,6",,,,1,,1,
