observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
CF08046itkfi,2841133,BTH_Lusignan_2009_SetB1,BTH_Lusignan_2009_SetB1,61180,https://doi.org/10.15454/VI9G7X,CF08046,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,91,,134,,74,,"98,8",,"65,9",,8,
DI09008itkfi,2841123,BTH_Lusignan_2009_SetB1,BTH_Lusignan_2009_SetB1,61571,https://doi.org/10.15454/UJ9SJR,DI09008,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,85,,144,,68,,"70,6",,"47,2",,7,
CF08057itkfi,2841108,BTH_Lusignan_2009_SetB1,BTH_Lusignan_2009_SetB1,61224,https://doi.org/10.15454/DSRGNF,CF08057,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,88,,142,,71,,91,,"60,8",,6,
RE08008itkfi,2841129,BTH_Lusignan_2009_SetB1,BTH_Lusignan_2009_SetB1,62083,https://doi.org/10.15454/PJSXXF,RE08008,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,96,,144,,"76,8",,"109,3",,73,,"2,5",
EM08002itkfi,2841099,BTH_Lusignan_2009_SetB1,BTH_Lusignan_2009_SetB1,61820,https://doi.org/10.15454/KU11PU,EM08002,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,87,,135,,"70,9",,"103,7",,"69,2",,"6,5",
Premioitkfi,2841100,BTH_Lusignan_2009_SetB1,BTH_Lusignan_2009_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,88,,138,,"72,6",,110,,"73,4",,"6,5",
DI09001itkfi,2841125,BTH_Lusignan_2009_SetB1,BTH_Lusignan_2009_SetB1,61445,https://doi.org/10.15454/KZBXKW,DI09001,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,92,,145,,"69,8",,"85,4",,57,,7,
DI09002itkfi,2841110,BTH_Lusignan_2009_SetB1,BTH_Lusignan_2009_SetB1,61464,https://doi.org/10.15454/CQE46W,DI09002,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,95,,142,,"68,4",,"79,3",,53,,7,
DI09007itkfi,2841112,BTH_Lusignan_2009_SetB1,BTH_Lusignan_2009_SetB1,61541,https://doi.org/10.15454/EEIIP8,DI09007,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,90,,141,,"69,2",,"93,2",,"62,2",,5,
CF08031itkfi,2841111,BTH_Lusignan_2009_SetB1,BTH_Lusignan_2009_SetB1,61166,https://doi.org/10.15454/6UH9IO,CF08031,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,95,,139,,"79,8",,"110,5",,"73,8",,3,
DI09005itkfi,2841114,BTH_Lusignan_2009_SetB1,BTH_Lusignan_2009_SetB1,27809,https://doi.org/10.15454/VX6AQV,DI09005,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,92,,140,,"72,3",,"104,3",,"69,6",,"3,5",
