observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI08019-2,2846409,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,2010,5,,2,,NA,,1,,1,
HadmF11383,2846414,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,2010,7,,2,,NA,,1,,1,
DI08011,2846408,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,2010,"7,5",,NA,,2,,3,,1,
Hadm01221-04,2846403,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,2010,"5,5",,5,,NA,,NA,,8,
HadmF276,2846432,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,2010,8,,NA,,3,,NA,,6,
Koreli,2846419,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2010,8,,NA,,5,,1,,4,
CF07097,2846417,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,2010,"7,5",,NA,,2,,1,,1,
CF07002,2846439,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,2010,4,,NA,,2,,1,,1,
CF05162,2846418,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,2010,6,,NA,,2,,1,,1,
CF07018,2846422,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,2010,4,,NA,,2,,1,,1,
RE07019,2846411,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,2010,5,,2,,2,,1,,3,
