observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI05022itkt,2809606,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,"61,7",,141,,"10,63",,"69,2",,"103,9",,106,,"4,5",
Farandoleitkt,2809588,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"60,6",,141,,"9,98",,"68,7",,"105,3",,"107,5",,1,
Orvantisitkt,2809598,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2005,90,,"54,5",,"139,5",,"10,01",,"74,9",,"101,4",,"103,5",,2,
DI05022itkfi,2809605,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"65,2",,"142,5",,"9,35",,"68,6",,111,,90,,"1,5",
DI05023itkfi,2809617,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48851,gnpis_pui:holding-921_taxon-4898_accession-48851,DI05023,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"62,6",,"142,5",,"10,57",,70,,"96,3",,"78,1",,"2,5",
DI05021itkfi,2809601,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,"61,4",,142,,"9,86",,"70,7",,"112,5",,"91,2",,"2,5",
DI05021itkt,2809602,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,"62,4",,141,,"11,12",,"71,4",,"103,4",,"105,4",,2,
DI05024itkfi,2809609,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,49558,gnpis_pui:holding-921_taxon-4898_accession-49558,DI05024,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,80,,"60,7",,"140,5",,"10,61",,"68,9",,"95,9",,"77,7",,7,
EM03204itkt,2809562,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48628,gnpis_pui:holding-921_taxon-4898_accession-48628,EM03204,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"49,1",,"146,5",,"8,9",,"62,2",,"104,7",,"106,8",,1,
EM03204itkfi,2809561,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48628,gnpis_pui:holding-921_taxon-4898_accession-48628,EM03204,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"51,3",,"146,5",,"9,28",,"61,7",,"105,6",,"85,6",,1,
EM03264itkfi,2809565,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,49705,gnpis_pui:holding-921_taxon-4898_accession-49705,EM03264,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,"44,8",,"145,5",,"9,26",,"68,4",,"112,5",,"91,2",,2,
EM03332itkfi,2809607,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,100,,71,,146,,"10,44",,"65,2",,"116,4",,"94,3",,"1,5",
EM03332itkt,2809608,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,treated,2005,"92,5",,"68,2",,"145,5",,"11,07",,"68,6",,"106,5",,"108,7",,"4,5",
DI05024itkt,2809610,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,49558,gnpis_pui:holding-921_taxon-4898_accession-49558,DI05024,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"64,1",,140,,"11,38",,"62,6",,"93,4",,"95,3",,3,
DI05028itkt,2809596,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48436,gnpis_pui:holding-921_taxon-4898_accession-48436,DI05028,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"48,6",,145,,"10,33",,"68,8",,"100,4",,"102,4",,1,
DI05025itkfi,2809547,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"97,5",,"62,3",,"142,5",,"11,2",,"69,9",,"99,3",,"80,5",,1,
Apacheitkt,2809574,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"50,8",,"138,5",,"10,2",,"74,4",,"98,8",,"100,8",,1,
CF04043itkfi,2809563,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"92,5",,"57,5",,141,,"9,69",,"71,4",,"106,6",,"86,4",,6,
Apacheitkfi,2809573,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"92,5",,"53,2",,"139,5",,"9,35",,71,,"100,3",,"81,3",,1,
CF04043itkt,2809564,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,treated,2005,"92,5",,"56,3",,140,,"10,36",,"68,6",,"104,2",,"106,3",,"7,5",
DI05028itkfi,2809595,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48436,gnpis_pui:holding-921_taxon-4898_accession-48436,DI05028,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,"49,9",,145,,"9,64",,"67,2",,"98,7",,80,,1,
