observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI08019-2itkt,2836272,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2009,76,,136,,"10,9",,"77,9",,"114,8",,,,93,
Toisondoritkfi,2836263,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,66,,139,,"9,4",,"76,3",,"114,7",,"1,5",,"61,8",
Soissonsitkfi,2836331,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,133,,"14,55",,78,,"62,2",,"7,5",,"33,5",
Caphornitkt,2836300,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2009,71,,136,,"11,64",,"75,4",,"98,8",,,,"80,1",
DI08019-2itkfi,2836271,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,76,,136,,"9,07",,"77,4",,"119,9",,6,,"64,6",
Folkloritkfi,2836265,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,86,,138,,"9,22",,"74,1",,"119,8",,"3,5",,"64,6",
Caphornitkfi,2836299,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,74,,138,,"10,61",,"74,8",,"103,4",,7,,"55,7",
Folkloritkt,2836266,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2009,84,,138,,"10,63",,"75,3",,"105,1",,,,"85,1",
Toisondoritkt,2836264,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2009,66,,139,,"10,7",,77,,103,,,,"83,5",
HadmF276itkfi,2836293,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,74,,136,,"10,32",,"75,4",,105,,2,,"56,5",
HadmF276itkt,2836294,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2009,68,,136,,"12,03",,"76,2",,"97,7",,,,"79,2",
Flamenkoitkt,2836306,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,134,,"11,4",,"75,2",,"99,5",,,,"80,6",
Koreliitkfi,2836287,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,139,,"9,25",,"78,9",,"116,9",,5,,63,
EM06229itkt,2836290,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,treated,2009,70,,135,,"12,73",,"76,3",,"83,5",,,,"67,6",
