observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2779216,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,26004,https://doi.org/10.15454/6Q72BN,RE00108,REPLICATION,2,,,,,,REPLICATION:2,treated,2002,"10,4269094",,"109,45",
2,2779266,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,26110,https://doi.org/10.15454/PY1VVU,RE01002,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2002,"10,904006",,"84,73",
1,2779265,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,26110,https://doi.org/10.15454/PY1VVU,RE01002,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2002,"10,8616133",,"85,31",
1,2779153,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,49290,gnpis_pui:holding-921_taxon-4898_accession-49290,RE00165,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2002,,,"94,11",
2,2779118,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,26103,https://doi.org/10.15454/VUCZZU,CF00108,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2002,,,"98,91",
2,2779156,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,49290,gnpis_pui:holding-921_taxon-4898_accession-49290,RE00165,REPLICATION,2,,,,,,REPLICATION:2,treated,2002,"11,8690624",,"107,62",
1,2779279,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2002,,,87,
2,2779116,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,26103,https://doi.org/10.15454/VUCZZU,CF00108,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2002,"9,9548101",,"86,95",
2,2779120,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,26103,https://doi.org/10.15454/VUCZZU,CF00108,REPLICATION,2,,,,,,REPLICATION:2,treated,2002,"10,682992",,"115,41",
1,2779117,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,26103,https://doi.org/10.15454/VUCZZU,CF00108,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2002,,,"92,8",
1,2779115,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,26103,https://doi.org/10.15454/VUCZZU,CF00108,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2002,"9,57687",,"94,39",
1,2779119,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,26103,https://doi.org/10.15454/VUCZZU,CF00108,REPLICATION,1,,,,,,REPLICATION:1,treated,2002,"10,9087477",,"114,45",
2,2779186,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,26094,https://doi.org/10.15454/KQXNER,RE01004,REPLICATION,2,,,,,,REPLICATION:2,treated,2002,"11,5307789",,"96,53",
2,2779282,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,REPLICATION,2,,,,,,REPLICATION:2,treated,2002,"9,1457539",,"123,41",
2,2779258,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,48621,gnpis_pui:holding-921_taxon-4898_accession-48621,DI01019,REPLICATION,2,,,,,,REPLICATION:2,treated,2002,"11,0616961",,"107,99",
1,2779255,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,48621,gnpis_pui:holding-921_taxon-4898_accession-48621,DI01019,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2002,,,"89,9",
1,2779253,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,48621,gnpis_pui:holding-921_taxon-4898_accession-48621,DI01019,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2002,"9,6578789",,"86,85",
2,2779278,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2002,"9,6962214",,"100,63",
2,2779254,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,48621,gnpis_pui:holding-921_taxon-4898_accession-48621,DI01019,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2002,"10,6346226",,"96,15",
2,2779256,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,48621,gnpis_pui:holding-921_taxon-4898_accession-48621,DI01019,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2002,,,"87,06",
1,2779257,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,48621,gnpis_pui:holding-921_taxon-4898_accession-48621,DI01019,REPLICATION,1,,,,,,REPLICATION:1,treated,2002,"10,1939306",,"106,99",
1,2779215,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,26004,https://doi.org/10.15454/6Q72BN,RE00108,REPLICATION,1,,,,,,REPLICATION:1,treated,2002,"9,7329388",,"107,18",
1,2779157,BTH_Rennes_2002_SetA2,BTH_Rennes_2002_SetA2,48472,gnpis_pui:holding-921_taxon-4898_accession-48472,RE00164,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2002,"9,8274527",,"84,28",
