observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
AO13025itkfi,2877824,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,61004,https://doi.org/10.15454/0TKQE8,AO13025,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,152,,"10,5",,"76,8",,"117,1",,"63,6",,3,
AO13022itkfi,2877830,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,150,,"9,8",,"72,3",,"124,6",,"67,7",,5,
AO13026itkfi,2877826,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,150,,"10,6",,"76,2",,"121,7",,"66,1",,"4,2",
RE12042itkfi,2877821,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,49556,https://doi.org/10.15454/GYCEHY,RE12042,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,105,,150,,"10,5",,"73,5",,"112,2",,61,,"5,2",
RE12053itkfi,2877841,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,61448,https://doi.org/10.15454/BEMSDR,RE12053,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,152,,"11,3",,"71,2",,"121,3",,"65,9",,"3,5",
RE12050itkfi,2877838,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,49040,https://doi.org/10.15454/B2JKAS,RE12050,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,154,,"11,1",,"73,8",,"126,6",,"68,8",,"3,5",
CF12202itkfi,2877852,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,148,,"10,2",,"74,3",,"132,7",,"72,1",,4,
CF12200itkfi,2877833,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,48698,https://doi.org/10.15454/CBPECM,CF12200,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,152,,"10,8",,"73,8",,124,,"67,4",,3,
AO13017itkfi,2877849,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,60866,https://doi.org/10.15454/85C3HD,AO13017,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,150,,10,,"74,8",,"133,6",,"72,6",,"4,2",
RE12057itkfi,2877845,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,61483,https://doi.org/10.15454/9QIAHU,RE12057,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,152,,"11,2",,"70,8",,"122,1",,"66,4",,"4,2",
RE12051itkfi,2877843,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,48435,https://doi.org/10.15454/0FR6IX,RE12051,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,153,,"10,8",,75,,"122,4",,"66,5",,"4,2",
RE12062itkfi,2877818,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,61498,https://doi.org/10.15454/PGNWR0,RE12062,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,151,,"11,5",,69,,"116,1",,"63,1",,"4,5",
CF12273itkfi,2877846,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,49671,https://doi.org/10.15454/XJPBH3,CF12273,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,144,,"10,8",,71,,"129,3",,"70,2",,5,
AO13016itkfi,2877848,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,60850,https://doi.org/10.15454/R4ROYJ,AO13016,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,102,,151,,"9,8",,"71,8",,"111,6",,"60,6",,"4,2",
RE12056itkfi,2877844,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,61466,https://doi.org/10.15454/BR3V9R,RE12056,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,152,,"11,5",,70,,"121,6",,"66,1",,"3,5",
Apacheitkfi,2877837,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,145,,"10,9",,"71,6",,"88,1",,"47,9",,"7,5",
AO13023itkfi,2877829,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,60976,https://doi.org/10.15454/MDP0B7,AO13023,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,146,,"11,2",,"74,4",,"123,8",,"67,3",,"6,5",
AO13020itkfi,2877828,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,60930,https://doi.org/10.15454/3Q1S0Q,AO13020,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,108,,150,,"10,8",,"75,7",,"120,1",,"65,3",,"6,2",
RE12064itkfi,2877819,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,61513,https://doi.org/10.15454/PJQ3Q5,RE12064,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,150,,"11,2",,"73,1",,"109,8",,"59,7",,5,
Lyrikitkfi,2877855,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,151,,"9,8",,"74,7",,"145,9",,"79,3",,3,
CF12176itkfi,2877839,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,61510,https://doi.org/10.15454/KWBER9,CF12176,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,146,,"10,8",,"74,5",,"119,6",,65,,6,
Bermudeitkfi,2877823,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,151,,"10,8",,"71,8",,"109,1",,"59,3",,"6,2",
Pakitoitkfi,2877834,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,145,,"11,4",,73,,"101,6",,"55,2",,8,
DI13003itkfi,2877853,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,152,,"10,7",,"72,6",,"124,2",,"67,5",,5,
CF12265itkfi,2877822,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,61601,https://doi.org/10.15454/RDBYFX,CF12265,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,108,,148,,"10,5",,"73,2",,"122,4",,"66,5",,"5,5",
AO13019itkfi,2877851,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,60913,https://doi.org/10.15454/GQZLI1,AO13019,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,102,,146,,"10,8",,"77,9",,"105,6",,"57,4",,"6,2",
CF12271itkfi,2877847,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,61616,https://doi.org/10.15454/L4H0GP,CF12271,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,105,,151,,"11,2",,"73,5",,"120,4",,"65,4",,"3,8",
CF12181itkfi,2877832,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,48978,https://doi.org/10.15454/5ZAP8G,CF12181,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,105,,154,,"10,4",,"76,9",,"123,5",,"67,1",,4,
AO13021itkfi,2877827,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,60946,https://doi.org/10.15454/N0K6T3,AO13021,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,147,,"11,4",,"79,5",,114,,"61,9",,"5,5",
EM12205itkfi,2877820,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,49562,https://doi.org/10.15454/EJSRJK,EM12205,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,148,,"11,6",,"74,1",,"116,6",,"63,4",,"6,8",
EM12147itkfi,2877840,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,61939,https://doi.org/10.15454/UMYYUP,EM12147,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,147,,"11,4",,"73,6",,"116,2",,"63,2",,5,
EM12231itkfi,2877836,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,150,,"10,5",,"75,2",,"124,1",,"67,4",,5,
DI13004itkfi,2877831,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,49219,https://doi.org/10.15454/6NP2UD,DI13004,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,152,,"10,8",,"74,6",,"122,7",,"66,7",,"5,2",
CF12232itkfi,2877854,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,61583,https://doi.org/10.15454/Y57CZL,CF12232,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,148,,"11,1",,"70,3",,"105,9",,"57,5",,6,
Altigoitkfi,2877842,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,102,,144,,"11,4",,"73,3",,"101,2",,55,,"6,5",
AO13018itkfi,2877850,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,60885,https://doi.org/10.15454/CK80DP,AO13018,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,102,,147,,"11,1",,"77,1",,"106,6",,"57,9",,"6,5",
AO13024itkfi,2877825,BTH_Lusignan_2013_SetB2,BTH_Lusignan_2013_SetB2,60990,https://doi.org/10.15454/SCWN6J,AO13024,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,152,,"10,9",,"77,2",,"122,5",,"66,6",,"5,5",
