observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI08019-2,2837786,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,2009,3,,3,,1,
HadmF276,2837797,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,2009,8,,2,,6,
Koreli,2837794,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2009,2,,NA,,6,
CF05173,2837806,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,NA,,1,
CF05079,2837805,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,2009,3,,NA,,1,
AO08112,2837789,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,2009,"7,5",,3,,3,
CF06136,2837819,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,NA,,3,
CF05162,2837793,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,NA,,1,
CF03201,2837802,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,NA,,4,
AO07210,2837814,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,2009,6,,2,,6,
