observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI05004itkt,2806756,BTH_Estrées-Mons_2005_SetB1,BTH_Estrées-Mons_2005_SetB1,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,treated,2005,"151,5",,"11,06",,"89,4",,"84,4",,"5,5",
DI05004itkfi,2806755,BTH_Estrées-Mons_2005_SetB1,BTH_Estrées-Mons_2005_SetB1,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,"10,57",,"100,1",,"82,8",,,
RE03019itkfi,2806743,BTH_Estrées-Mons_2005_SetB1,BTH_Estrées-Mons_2005_SetB1,26829,https://doi.org/10.15454/NMOYD6,RE03019,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,"11,67",,"98,5",,"81,5",,,
Apacheitkfi,2806711,BTH_Estrées-Mons_2005_SetB1,BTH_Estrées-Mons_2005_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,"10,22",,"96,3",,"79,7",,,
RE03099itkfi,2806767,BTH_Estrées-Mons_2005_SetB1,BTH_Estrées-Mons_2005_SetB1,48737,gnpis_pui:holding-921_taxon-4898_accession-48737,RE03099,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,"10,5",,"104,4",,"86,4",,,
DI05002itkt,2806760,BTH_Estrées-Mons_2005_SetB1,BTH_Estrées-Mons_2005_SetB1,48966,gnpis_pui:holding-921_taxon-4898_accession-48966,DI05002,VIRTUAL_TRIAL,,,,,,,,treated,2005,147,,"11,16",,"99,8",,"94,3",,1,
CF04004itkfi,2806697,BTH_Estrées-Mons_2005_SetB1,BTH_Estrées-Mons_2005_SetB1,49316,gnpis_pui:holding-921_taxon-4898_accession-49316,CF04004,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,"8,96",,104,,86,,,
Farandoleitkfi,2806723,BTH_Estrées-Mons_2005_SetB1,BTH_Estrées-Mons_2005_SetB1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,"10,18",,"108,9",,"90,1",,,
RE04012itkfi,2806725,BTH_Estrées-Mons_2005_SetB1,BTH_Estrées-Mons_2005_SetB1,49147,gnpis_pui:holding-921_taxon-4898_accession-49147,RE04012,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,"11,2",,"100,9",,"83,5",,,
DI05002itkfi,2806759,BTH_Estrées-Mons_2005_SetB1,BTH_Estrées-Mons_2005_SetB1,48966,gnpis_pui:holding-921_taxon-4898_accession-48966,DI05002,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,"10,4",,"98,8",,"81,8",,,
CF04004itkt,2806698,BTH_Estrées-Mons_2005_SetB1,BTH_Estrées-Mons_2005_SetB1,49316,gnpis_pui:holding-921_taxon-4898_accession-49316,CF04004,VIRTUAL_TRIAL,,,,,,,,treated,2005,151,,"10,35",,"108,6",,"102,6",,7,
CF04215itkt,2806742,BTH_Estrées-Mons_2005_SetB1,BTH_Estrées-Mons_2005_SetB1,49236,gnpis_pui:holding-921_taxon-4898_accession-49236,CF04215,VIRTUAL_TRIAL,,,,,,,,treated,2005,"153,5",,"12,28",,"91,7",,"86,6",,1,
RE04009itkfi,2806695,BTH_Estrées-Mons_2005_SetB1,BTH_Estrées-Mons_2005_SetB1,26830,https://doi.org/10.15454/6V5ULG,RE04009,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,"10,64",,"106,1",,"87,8",,,
RE04012itkt,2806726,BTH_Estrées-Mons_2005_SetB1,BTH_Estrées-Mons_2005_SetB1,49147,gnpis_pui:holding-921_taxon-4898_accession-49147,RE04012,VIRTUAL_TRIAL,,,,,,,,treated,2005,148,,"12,19",,"91,7",,"86,6",,1,
RE04005itkfi,2806691,BTH_Estrées-Mons_2005_SetB1,BTH_Estrées-Mons_2005_SetB1,48454,gnpis_pui:holding-921_taxon-4898_accession-48454,RE04005,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,"10,44",,"103,7",,"85,8",,,
CF04215itkfi,2806741,BTH_Estrées-Mons_2005_SetB1,BTH_Estrées-Mons_2005_SetB1,49236,gnpis_pui:holding-921_taxon-4898_accession-49236,CF04215,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,"10,63",,91,,"75,3",,,
RE04009itkt,2806696,BTH_Estrées-Mons_2005_SetB1,BTH_Estrées-Mons_2005_SetB1,26830,https://doi.org/10.15454/6V5ULG,RE04009,VIRTUAL_TRIAL,,,,,,,,treated,2005,150,,"11,74",,"99,8",,"94,3",,"4,5",
RE04017itkfi,2806719,BTH_Estrées-Mons_2005_SetB1,BTH_Estrées-Mons_2005_SetB1,49275,gnpis_pui:holding-921_taxon-4898_accession-49275,RE04017,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,"10,43",,"94,4",,"78,1",,,
