observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI08019-2itkt,2852857,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2010,"18,2",,67,,94,,"57,5",,87,,"238,5",,91,,"1,36",,223,,60,,433,,"11,7",,NA,,1630,,44,
EM09015itkt,2852886,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,treated,2010,"22,3",,100,,94,,54,,79,,227,,77,,"0,77",,193,,67,,NA,,12,,"81,7",,1720,,NA,
HadmF11383itkt,2852862,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,2",,60,,88,,74,,76,,238,,96,,"1,6",,220,,86,,385,,"12,4",,NA,,1670,,"37,5",
DI10006itkt,2852877,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,treated,2010,"27,4",,152,,91,,78,,80,,249,,42,,"0,28",,154,,100,,NA,,"12,1",,"80,7",,1788,,NA,
DI10007itkt,2852910,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,treated,2010,"18,8",,71,,88,,26,,73,,187,,117,,"1,65",,302,,81,,NA,,"11,9",,"82,7",,1278,,NA,
DI10015itkt,2852856,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,treated,2010,"27,4",,151,,88,,52,,79,,219,,35,,"0,23",,114,,0,,NA,,"11,4",,"77,6",,1705,,NA,
RE09055itkt,2852883,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,treated,2010,"27,2",,149,,85,,51,,83,,219,,45,,"0,3",,177,,27,,NA,,"12,3",,"76,3",,1645,,NA,
Hadm01221-04itkt,2852874,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,9",,80,,94,,"45,3",,75,,"214,3",,82,,"1,02",,198,,70,,429,,"11,5",,NA,,1595,,44,
HadmF276itkt,2852848,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,2",,60,,88,,"75,7",,94,,"257,7",,97,,"1,62",,215,,"78,5",,417,,12,,NA,,1645,,38,
Barokitkt,2852844,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2010,"21,1",,90,,94,,"66,2",,71,,"231,2",,72,,"0,8",,194,,68,,443,,"11,9",,NA,,1695,,35,
