observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
RE12039itkt,2876507,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61354,https://doi.org/10.15454/D4PG9N,RE12039,VIRTUAL_TRIAL,,,,,,,,treated,2013,87,,154,,"12,6",,"77,2",,103,,"106,2",,,
AO13003itkt,2876461,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61449,https://doi.org/10.15454/ACXILT,AO13003,VIRTUAL_TRIAL,,,,,,,,treated,2013,78,,156,,"11,3",,"74,5",,"101,4",,"104,5",,,
Altigoitkt,2876497,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,153,,"11,9",,"75,2",,"97,7",,"100,7",,,
RE12039itkfi,2876506,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61354,https://doi.org/10.15454/D4PG9N,RE12039,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,154,,"11,3",,"75,7",,"109,5",,"87,4",,3,
RE12020itkfi,2876478,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,154,,"12,9",,"72,8",,"98,4",,"78,6",,4,
Apacheitkfi,2876494,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,76,,154,,"11,2",,"66,7",,93,,"74,2",,8,
AO13003itkfi,2876460,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61449,https://doi.org/10.15454/ACXILT,AO13003,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,78,,156,,"10,3",,"68,6",,105,,"83,8",,"5,5",
Altigoitkfi,2876496,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,152,,"11,2",,"73,5",,"103,2",,"82,4",,8,
CF12048itkfi,2876486,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61386,https://doi.org/10.15454/SZ7V8T,CF12048,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,94,,154,,"11,3",,"76,6",,"110,2",,"87,9",,5,
CF12048itkt,2876487,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61386,https://doi.org/10.15454/SZ7V8T,CF12048,VIRTUAL_TRIAL,,,,,,,,treated,2013,94,,154,,"12,2",,"79,2",,"99,7",,"102,8",,,
AO13011itkfi,2876500,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,60766,https://doi.org/10.15454/IIFLIA,AO13011,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,78,,154,,"10,9",,74,,"98,8",,"78,9",,"5,8",
EM12096itkt,2876451,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,154,,"12,3",,"75,9",,"98,9",,"101,9",,,
