observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,vp(CO_321:1000225),vp(CO_321:1000225).date
DI05022itkt,2810114,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,treated,2005,"21,5",,94,,82,,27,,87,,196,,59,,"0,62",,182,,59,,NA,,"9,2",,"80,9",,1376,,"2,74",
DI05004itkt,2810157,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,treated,2005,"22,1",,99,,82,,23,,62,,167,,32,,"0,32",,101,,7,,NA,,"9,3",,"77,8",,1345,,"3,02",
DI05021itkt,2810154,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,treated,2005,"24,6",,123,,82,,38,,70,,190,,49,,"0,4",,195,,56,,NA,,"9,7",,"81,6",,1368,,"2,27",
DI05020itkt,2810155,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,treated,2005,"26,6",,144,,85,,48,,75,,209,,41,,"0,29",,182,,61,,NA,,"9,6",,"81,8",,1446,,"2,25",
Barokitkt,2810113,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2005,"19,3",,76,,100,,"73,3",,"62,8",,236,,49,,"0,65",,129,,70,,464,,"10,3",,NA,,"1757,5",,NA,
EM03332itkt,2810136,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,treated,2005,18,,65,,79,,20,,73,,172,,78,,"1,19",,195,,74,,NA,,"8,8",,"77,7",,1213,,"2,72",
DI05014itkt,2810160,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,treated,2005,"16,2",,54,,70,,20,,58,,148,,40,,"0,75",,89,,12,,NA,,"9,7",,"78,6",,1114,,"2,66",
CF03201itkt,2810132,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2005,"15,7",,50,,88,,"67,9",,"83,5",,239,,83,,"1,66",,166,,45,,334,,"9,3",,NA,,"1592,5",,NA,
CF04043itkt,2810140,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,treated,2005,"21,6",,95,,94,,44,,74,,212,,53,,"0,55",,178,,NA,,NA,,NA,,"81,1",,1294,,NA,
Hendrixitkt,2810120,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2005,"19,8",,79,,82,,23,,74,,179,,87,,"1,1",,259,,57,,NA,,"10,4",,"83,6",,1125,,"3,3",
RE04022itkt,2810116,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,treated,2005,"23,1",,108,,97,,53,,90,,240,,46,,"0,43",,155,,66,,NA,,9,,"80,1",,1455,,"2,42",
CF04022itkt,2810151,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,treated,2005,"21,5",,94,,91,,26,,84,,201,,52,,"0,56",,181,,63,,NA,,"9,4",,"78,3",,1256,,"2,06",
CF04184itkt,2810152,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,treated,2005,20,,81,,94,,49,,68,,211,,53,,"0,66",,174,,NA,,NA,,NA,,"83,2",,1314,,NA,
CF04052itkt,2810119,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,26897,https://doi.org/10.15454/Q627QP,CF04052,VIRTUAL_TRIAL,,,,,,,,treated,2005,"13,4",,37,,79,,23,,47,,149,,125,,"3,4",,209,,NA,,NA,,NA,,"83,3",,788,,NA,
AO05004itkt,2810126,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,treated,2005,"21,2",,91,,94,,"73,6",,65,,233,,44,,"0,48",,136,,17,,367,,"10,9",,NA,,1640,,NA,
Tamaroitkt,2810161,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,treated,2005,"25,2",,129,,82,,52,,78,,212,,79,,"0,61",,384,,84,,NA,,"11,7",,"85,9",,1443,,"2,24",
Tremieitkt,2810147,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,treated,2005,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI04018itkt,2810124,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,treated,2005,"20,9",,89,,97,,"61,6",,69,,228,,59,,"0,67",,168,,51,,368,,"10,1",,NA,,1740,,NA,
DI05030itkt,2810121,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,48477,https://doi.org/10.15454/NU9M2G,DI05030,VIRTUAL_TRIAL,,,,,,,,treated,2005,"21,6",,95,,97,,"62,8",,"58,3",,218,,63,,"0,67",,195,,64,,440,,10,,NA,,1765,,NA,
CF03287itkt,2810146,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,treated,2005,"14,8",,44,,94,,"65,8",,85,,245,,68,,"1,55",,122,,47,,397,,"8,8",,NA,,"1612,5",,NA,
EM04181itkt,2810145,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,treated,2005,"18,1",,66,,79,,24,,75,,178,,68,,"1,02",,191,,69,,NA,,"9,5",,"79,6",,1120,,"2,05",
DI05001itkt,2810159,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,49480,gnpis_pui:holding-921_taxon-4898_accession-49480,DI05001,VIRTUAL_TRIAL,,,,,,,,treated,2005,"18,4",,68,,85,,23,,61,,169,,52,,"0,75",,140,,63,,NA,,"9,2",,"76,9",,1173,,"1,86",
RE03019itkt,2810153,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,26829,https://doi.org/10.15454/NMOYD6,RE03019,VIRTUAL_TRIAL,,,,,,,,treated,2005,"26,7",,145,,88,,32,,72,,192,,53,,"0,36",,190,,76,,NA,,"10,8",,"83,1",,1361,,"2,1",
RE04009itkt,2810118,BTH_Clermont-Ferrand_2005_TECH,BTH_Clermont-Ferrand_2005_TECH,26830,https://doi.org/10.15454/6V5ULG,RE04009,VIRTUAL_TRIAL,,,,,,,,treated,2005,"16,1",,52,,76,,5,,52,,132,,62,,"1,18",,145,,15,,NA,,"9,5",,78,,1058,,"2,16",
