observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volL(CO_321:1000245),volL(CO_321:1000245).date
CF13057itkfi,2976757,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,19.8,,79,,100,,75.7,,85.13,,260.83,,63,,0.8,,179,,53,,360,,49.8,,9.2,,72.6,,1490,
CF13131itkfi,2976764,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,23.3,,110,,100,,73,,91.13,,264.13,,51,,0.47,,164,,54,,312,,44.9,,9.1,,74.4,,1505,
CF13085itkfi,2976767,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,23.7,,114,,100,,48.98,,91.13,,240.11,,60,,0.53,,218,,17,,303,,46.1,,9.8,,72.9,,1575,
CF13187itkfi,2976773,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61181,https://doi.org/10.15454/RVUPRG,CF13187,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,25,,127,,100,,73,,97,,270,,44,,0.34,,148,,43,,332,,42.9,,8.6,,69.8,,1455,
EM13073itkfi,2976752,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,24.8,,125,,100,,60.15,,89.63,,249.78,,52,,0.41,,181,,64,,309,,48,,8.5,,73.1,,1530,
EM13249itkfi,2976754,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61447,https://doi.org/10.15454/NTKRK8,EM13249,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,22,,98,,100,,48.98,,97,,245.98,,50,,0.51,,138,,21,,287,,45.1,,9.2,,71.7,,1420,
EM13243itkfi,2976756,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61431,https://doi.org/10.15454/QSZ1IX,EM13243,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,19.4,,76,,97,,53.55,,88.13,,238.68,,71,,0.93,,160,,51,,128,,44.7,,8.3,,74.5,,1460,
RE13006itkfi,2976780,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61514,https://doi.org/10.15454/KLQZHB,RE13006,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,19.3,,75,,100,,53.7,,89.63,,243.33,,65,,0.87,,171,,65,,232,,49.4,,9.1,,75.5,,1395,
RE13007itkfi,2976772,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61527,https://doi.org/10.15454/JN5VML,RE13007,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,20.5,,85,,100,,54.3,,89.63,,243.93,,63,,0.74,,177,,65,,271,,46.7,,9,,75.2,,1415,
RE13093itkfi,2976758,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,19.9,,80,,100,,68.5,,89.63,,258.13,,57,,0.71,,154,,16,,341,,49.3,,9.3,,74.3,,1650,
RE13094itkfi,2976753,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,22.7,,105,,100,,69.1,,98.5,,267.6,,54,,0.52,,168,,50,,346,,53.6,,9,,74.9,,1620,
AO14026itkfi,2976776,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61704,https://doi.org/10.15454/ZZZLIR,AO14026,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,21.3,,92,,100,,49.58,,88.13,,237.71,,63,,0.68,,177,,55,,259,,46.4,,8.9,,72.9,,1440,
AO14013itkfi,2976759,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,62003,https://doi.org/10.15454/UIHLJL,AO14013,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,19.8,,79,,100,,55.73,,79.25,,234.98,,77,,0.97,,215,,46,,301,,37.8,,9.1,,74.6,,1420,
AO14014itkfi,2976760,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,62034,https://doi.org/10.15454/RWXBD7,AO14014,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,19.3,,75,,100,,70.9,,82.25,,253.15,,66,,0.87,,177,,48,,389,,41.4,,8.4,,72.8,,1435,
