observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
Barok,2798219,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2004,"6,5",,1,,5,,1,,3,
CF03201,2798244,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,2004,6,,1,,2,,1,,2,
EM01343,2798246,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,2004,3,,1,,5,,1,,7,
LM03007,2798221,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,49055,gnpis_pui:holding-921_taxon-4898_accession-49055,LM03007,VIRTUAL_TRIAL,,,,,,,,2004,"6,5",,1,,5,,7,,1,
RE03119,2798239,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,49242,gnpis_pui:holding-921_taxon-4898_accession-49242,RE03119,VIRTUAL_TRIAL,,,,,,,,2004,6,,1,,5,,1,,3,
CF03157,2798228,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,48979,gnpis_pui:holding-921_taxon-4898_accession-48979,CF03157,VIRTUAL_TRIAL,,,,,,,,2004,5,,1,,2,,1,,1,
LM03002,2798225,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,49261,gnpis_pui:holding-921_taxon-4898_accession-49261,LM03002,VIRTUAL_TRIAL,,,,,,,,2004,"5,5",,1,,5,,2,,3,
CF03444,2798222,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,49239,gnpis_pui:holding-921_taxon-4898_accession-49239,CF03444,VIRTUAL_TRIAL,,,,,,,,2004,4,,1,,5,,1,,3,
LM03004,2798227,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,48678,gnpis_pui:holding-921_taxon-4898_accession-48678,LM03004,VIRTUAL_TRIAL,,,,,,,,2004,"7,5",,1,,5,,1,,1,
DI04006,2798258,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,48441,gnpis_pui:holding-921_taxon-4898_accession-48441,DI04006,VIRTUAL_TRIAL,,,,,,,,2004,"5,5",,1,,2,,1,,5,
LM03001,2798223,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,2004,5,,1,,2,,5,,2,
DI04007,2798236,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,49591,gnpis_pui:holding-921_taxon-4898_accession-49591,DI04007,VIRTUAL_TRIAL,,,,,,,,2004,7,,1,,2,,2,,3,
RE03126,2798233,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,49627,gnpis_pui:holding-921_taxon-4898_accession-49627,RE03126,VIRTUAL_TRIAL,,,,,,,,2004,"7,5",,1,,2,,3,,2,
Apache,2798247,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2004,NA,,NA,,NA,,NA,,NA,
RE02093,2798255,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,48606,gnpis_pui:holding-921_taxon-4898_accession-48606,RE02093,VIRTUAL_TRIAL,,,,,,,,2004,"7,5",,1,,2,,4,,2,
EM01105.1,2798249,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,48967,gnpis_pui:holding-921_taxon-4898_accession-48967,EM01105.1,VIRTUAL_TRIAL,,,,,,,,2004,7,,1,,2,,3,,5,
CF03198,2798264,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,48845,gnpis_pui:holding-921_taxon-4898_accession-48845,CF03198,VIRTUAL_TRIAL,,,,,,,,2004,"6,5",,3,,2,,1,,1,
EM01100.2,2798252,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,49446,gnpis_pui:holding-921_taxon-4898_accession-49446,EM01100.2,VIRTUAL_TRIAL,,,,,,,,2004,"7,5",,1,,3,,1,,1,
Charger,2798245,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2004,NA,,NA,,NA,,NA,,NA,
Caphorn,2798240,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2004,NA,,NA,,NA,,NA,,NA,
EM02429,2798230,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,48367,gnpis_pui:holding-921_taxon-4898_accession-48367,EM02429,VIRTUAL_TRIAL,,,,,,,,2004,"6,5",,1,,2,,4,,3,
EM02414,2798220,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,48533,gnpis_pui:holding-921_taxon-4898_accession-48533,EM02414,VIRTUAL_TRIAL,,,,,,,,2004,6,,1,,5,,2,,4,
RE03108,2798231,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,48423,https://doi.org/10.15454/5BUDKG,RE03108,VIRTUAL_TRIAL,,,,,,,,2004,"6,5",,1,,2,,1,,2,
RE02099,2798250,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,26395,https://doi.org/10.15454/3KYGFX,RE02099,VIRTUAL_TRIAL,,,,,,,,2004,7,,1,,5,,3,,4,
CF03104,2798242,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,26795,https://doi.org/10.15454/VI1CVR,CF03104,VIRTUAL_TRIAL,,,,,,,,2004,8,,1,,2,,3,,1,
RE03101,2798229,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,26398,https://doi.org/10.15454/OE94BR,RE03101,VIRTUAL_TRIAL,,,,,,,,2004,7,,1,,5,,3,,3,
