observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
Bermudeitkfi,2875705,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,"51,6",,150,,"9,9",,"79,5",,"106,8",,1,,"78,6",,1,,,
RE11096itkt,2875710,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48664,https://doi.org/10.15454/ITWRUM,RE11096,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,"51,3",,148,,"10,9",,"78,3",,"98,5",,,,"88,8",,,,,
RE11073itkt,2875704,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,"51,1",,150,,"10,3",,80,,"94,7",,,,"85,4",,,,,
RE11073itknt,2875703,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,92,,,,149,,,,"80,5",,99,,1,,"83,7",,1,,2,
RE11096itkfi,2875708,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48664,https://doi.org/10.15454/ITWRUM,RE11096,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,"50,2",,148,,"11,2",,"78,6",,"101,2",,1,,"74,5",,1,,,
EM11366itknt,2875784,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,105,,,,148,,,,"76,2",,"96,5",,2,,"81,6",,1,,4,
RE11098itknt,2875694,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,100,,,,148,,,,80,,"91,1",,1,,"77,1",,1,,2,
RE11073itkfi,2875702,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,"49,9",,152,,"11,2",,81,,"98,8",,1,,"72,8",,1,,,
Pakitoitkfi,2875735,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,44,,148,,"10,1",,"76,8",,"100,4",,1,,"73,9",,1,,,
DI12011-2itknt,2875757,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48340,https://doi.org/10.15454/R5JV1T,DI12011-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,90,,,,148,,,,76,,112,,2,,"94,8",,1,,2,
DI12011-2itkt,2875758,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48340,https://doi.org/10.15454/R5JV1T,DI12011-2,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,"53,2",,146,,"9,8",,"74,8",,"109,2",,,,"98,5",,,,,
DI12011-2itkfi,2875756,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48340,https://doi.org/10.15454/R5JV1T,DI12011-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,"52,5",,148,,"10,7",,"75,9",,"117,3",,1,,"86,4",,1,,,
Altigoitknt,2875760,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,98,,,,144,,,,"76,3",,"99,1",,1,,"83,8",,"3,5",,5,
RE11098itkt,2875695,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,treated,2013,95,,"49,5",,149,,"11,8",,81,,"86,3",,,,"77,8",,,,,
RE11098itkfi,2875693,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,"47,6",,150,,"12,5",,"81,5",,"99,3",,1,,"73,1",,1,,,
Apacheitkt,2875749,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,"46,3",,148,,"9,4",,76,,"93,9",,,,"84,7",,,,,
RE11075itkt,2875701,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,treated,2013,95,,"54,9",,150,,"9,9",,"79,7",,"94,8",,,,"85,5",,,,,
RE11075itknt,2875700,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,98,,,,148,,,,"79,8",,"97,9",,"1,5",,"82,8",,1,,"2,5",
Pakitoitkt,2875737,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,"49,5",,148,,"9,5",,"77,6",,"103,9",,,,"93,7",,,,,
EM11389itknt,2875688,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,90,,,,148,,,,"76,5",,"97,8",,2,,"82,7",,1,,"4,5",
Pakitoitknt,2875736,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,88,,,,147,,,,"76,5",,"100,5",,1,,85,,1,,"8,5",
Apacheitknt,2875748,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,90,,,,146,,,,"77,5",,99,,1,,"83,7",,1,,8,
Apacheitkfi,2875747,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,"45,1",,148,,"10,2",,"77,2",,"88,1",,1,,"64,8",,1,,,
DI12004itkt,2875734,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,"46,8",,153,,"9,9",,"78,9",,"104,1",,,,"93,9",,,,,
EM11389itkt,2875689,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,"50,9",,152,,"9,9",,77,,"95,2",,,,"85,9",,,,,
Attlassitkt,2875788,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,"50,8",,149,,"9,6",,"78,2",,"112,1",,,,"101,1",,,,,
DI12004itknt,2875733,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,98,,,,152,,,,79,,"106,3",,1,,"89,9",,1,,"3,5",
EM11389itkfi,2875687,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,"47,2",,150,,"11,1",,"76,6",,"94,9",,1,,"69,9",,1,,,
RE11075itkfi,2875699,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,"50,2",,152,,"10,8",,"80,2",,"89,3",,1,,"65,8",,1,,,
Bermudeitkt,2875707,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,92,,"55,6",,149,,"9,3",,"76,8",,"103,6",,,,"93,4",,,,,
EM11366itkt,2875785,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,"50,5",,150,,"9,8",,"76,6",,"93,6",,,,"84,4",,,,,
Attlassitknt,2875787,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,98,,,,148,,,,"78,9",,"117,3",,1,,"99,3",,1,,3,
Attlassitkfi,2875786,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,"48,7",,148,,"10,7",,"79,5",,"105,8",,1,,"77,9",,1,,,
Grapeliitknt,2875772,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,105,,,,150,,,,"78,6",,"118,1",,"1,5",,"99,9",,2,,"2,5",
Grapeliitkfi,2875771,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,"48,4",,152,,"9,7",,"79,9",,"110,9",,1,,"81,7",,"1,5",,,
EM11441itknt,2875742,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,90,,,,148,,,,"76,8",,"105,3",,"1,5",,"89,1",,4,,3,
RE11087itknt,2875778,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,95,,,,149,,,,79,,"100,4",,1,,"84,9",,2,,3,
Grapeliitkt,2875773,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2013,100,,"49,4",,151,,"9,1",,"79,2",,"110,7",,,,"99,9",,,,,
