observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI06007,2815521,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,2006,"4,5",,6,,2,,3,,4,
RE05009,2815488,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,48566,https://doi.org/10.15454/PNQ6BX,RE05009,VIRTUAL_TRIAL,,,,,,,,2006,8,,1,,5,,1,,3,
EM05055,2815508,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,26970,https://doi.org/10.15454/ASLJXK,EM05055,VIRTUAL_TRIAL,,,,,,,,2006,3,,4,,3,,6,,1,
CF05091,2815506,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,26973,https://doi.org/10.15454/GWNEQR,CF05091,VIRTUAL_TRIAL,,,,,,,,2006,5,,1,,2,,6,,1,
RE05007,2815489,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,2006,6,,6,,5,,1,,1,
CF05162,2815498,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,2006,"2,5",,6,,2,,5,,1,
EM05162,2815490,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,26971,https://doi.org/10.15454/IAEYHC,EM05162,VIRTUAL_TRIAL,,,,,,,,2006,2,,1,,2,,8,,1,
RE05091,2815518,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,27043,https://doi.org/10.15454/QCLAYU,RE05091,VIRTUAL_TRIAL,,,,,,,,2006,4,,6,,5,,3,,1,
CF05081,2815493,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,49178,gnpis_pui:holding-921_taxon-4898_accession-49178,CF05081,VIRTUAL_TRIAL,,,,,,,,2006,2,,6,,2,,8,,1,
CF05088,2815492,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,49279,gnpis_pui:holding-921_taxon-4898_accession-49279,CF05088,VIRTUAL_TRIAL,,,,,,,,2006,4,,2,,2,,5,,1,
EM05003,2815510,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,49330,gnpis_pui:holding-921_taxon-4898_accession-49330,EM05003,VIRTUAL_TRIAL,,,,,,,,2006,"3,5",,3,,5,,NA,,8,
EM05007,2815517,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,49434,gnpis_pui:holding-921_taxon-4898_accession-49434,EM05007,VIRTUAL_TRIAL,,,,,,,,2006,"3,5",,3,,5,,NA,,8,
DI06001,2815526,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,49467,gnpis_pui:holding-921_taxon-4898_accession-49467,DI06001,VIRTUAL_TRIAL,,,,,,,,2006,"3,5",,6,,5,,4,,6,
EM05029,2815515,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,48605,gnpis_pui:holding-921_taxon-4898_accession-48605,EM05029,VIRTUAL_TRIAL,,,,,,,,2006,"4,5",,4,,3,,6,,3,
RE05073,2815513,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,48629,gnpis_pui:holding-921_taxon-4898_accession-48629,RE05073,VIRTUAL_TRIAL,,,,,,,,2006,"7,5",,4,,5,,1,,1,
Apache,2815501,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2006,2,,6,,NA,,6,,1,
AO05009,2815499,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,48731,https://doi.org/10.15454/UU4VCF,AO05009,VIRTUAL_TRIAL,,,,,,,,2006,3,,3,,5,,8,,1,
AO06803,2815500,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,48775,https://doi.org/10.15454/SUCAXZ,AO06803,VIRTUAL_TRIAL,,,,,,,,2006,2,,3,,2,,4,,1,
Flamenko,2815509,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,2006,"3,5",,6,,2,,6,,1,
CF05140,2815496,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,49523,https://doi.org/10.15454/MMQSM6,CF05140,VIRTUAL_TRIAL,,,,,,,,2006,"2,5",,6,,2,,3,,3,
EM05230,2815519,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,26988,https://doi.org/10.15454/FV0GUM,EM05230,VIRTUAL_TRIAL,,,,,,,,2006,5,,3,,5,,3,,1,
EM05178,2815503,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,26987,https://doi.org/10.15454/KGPOGY,EM05178,VIRTUAL_TRIAL,,,,,,,,2006,5,,4,,5,,6,,4,
Charger,2815507,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2006,7,,4,,NA,,7,,1,
Caphorn,2815504,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2006,"4,5",,6,,NA,,3,,4,
DI06004,2815522,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,49291,https://doi.org/10.15454/RCJVYZ,DI06004,VIRTUAL_TRIAL,,,,,,,,2006,"3,5",,3,,5,,3,,1,
CF05086,2815495,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,49341,https://doi.org/10.15454/RKQK2G,CF05086,VIRTUAL_TRIAL,,,,,,,,2006,"2,5",,4,,2,,6,,1,
RE05076,2815512,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,49734,gnpis_pui:holding-921_taxon-4898_accession-49734,RE05076,VIRTUAL_TRIAL,,,,,,,,2006,"6,5",,3,,5,,2,,1,
Orvantis,2815514,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,2006,7,,6,,NA,,8,,6,
DI06003,2815525,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,48595,gnpis_pui:holding-921_taxon-4898_accession-48595,DI06003,VIRTUAL_TRIAL,,,,,,,,2006,"2,5",,1,,2,,4,,1,
CF05007,2815497,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,48785,gnpis_pui:holding-921_taxon-4898_accession-48785,CF05007,VIRTUAL_TRIAL,,,,,,,,2006,2,,5,,5,,4,,1,
DI06006,2815520,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,48412,gnpis_pui:holding-921_taxon-4898_accession-48412,DI06006,VIRTUAL_TRIAL,,,,,,,,2006,3,,4,,5,,4,,1,
RE05118,2815502,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,49091,gnpis_pui:holding-921_taxon-4898_accession-49091,RE05118,VIRTUAL_TRIAL,,,,,,,,2006,3,,3,,5,,5,,1,
CF05017,2815516,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,48654,gnpis_pui:holding-921_taxon-4898_accession-48654,CF05017,VIRTUAL_TRIAL,,,,,,,,2006,"2,5",,4,,5,,4,,2,
DI06005,2815523,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,48997,gnpis_pui:holding-921_taxon-4898_accession-48997,DI06005,VIRTUAL_TRIAL,,,,,,,,2006,4,,1,,5,,3,,1,
CF05087,2815494,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,48444,gnpis_pui:holding-921_taxon-4898_accession-48444,CF05087,VIRTUAL_TRIAL,,,,,,,,2006,"3,5",,6,,3,,6,,2,
RE05147,2815491,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,49548,gnpis_pui:holding-921_taxon-4898_accession-49548,RE05147,VIRTUAL_TRIAL,,,,,,,,2006,3,,3,,5,,7,,1,
Farandole,2815505,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,2006,4,,3,,NA,,3,,1,
RE05074,2815511,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,2006,"5,5",,6,,5,,2,,3,
DI06002,2815524,BTH_Rennes_2006_SetB1_PIETIN-VERSE,BTH_Rennes_2006_SetB1_PIETIN-VERSE,49724,gnpis_pui:holding-921_taxon-4898_accession-49724,DI06002,VIRTUAL_TRIAL,,,,,,,,2006,5,,1,,5,,8,,3,
