observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE05008,2816854,BTH_Rennes_2006_SetB2_PIETIN-VERSE,BTH_Rennes_2006_SetB2_PIETIN-VERSE,49422,https://doi.org/10.15454/9VMAGV,RE05008,VIRTUAL_TRIAL,,,,,,,,2006,"5,5",,1,,5,,2,,4,
CF05079,2816884,BTH_Rennes_2006_SetB2_PIETIN-VERSE,BTH_Rennes_2006_SetB2_PIETIN-VERSE,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,2006,3,,6,,2,,4,,1,
AO06407,2816862,BTH_Rennes_2006_SetB2_PIETIN-VERSE,BTH_Rennes_2006_SetB2_PIETIN-VERSE,26982,https://doi.org/10.15454/FCNCUR,AO06407,VIRTUAL_TRIAL,,,,,,,,2006,3,,6,,2,,4,,3,
CF05084,2816858,BTH_Rennes_2006_SetB2_PIETIN-VERSE,BTH_Rennes_2006_SetB2_PIETIN-VERSE,48438,gnpis_pui:holding-921_taxon-4898_accession-48438,CF05084,VIRTUAL_TRIAL,,,,,,,,2006,2,,3,,2,,6,,4,
DI06013,2816866,BTH_Rennes_2006_SetB2_PIETIN-VERSE,BTH_Rennes_2006_SetB2_PIETIN-VERSE,49342,gnpis_pui:holding-921_taxon-4898_accession-49342,DI06013,VIRTUAL_TRIAL,,,,,,,,2006,"3,5",,6,,5,,2,,4,
CF04060,2816872,BTH_Rennes_2006_SetB2_PIETIN-VERSE,BTH_Rennes_2006_SetB2_PIETIN-VERSE,49634,gnpis_pui:holding-921_taxon-4898_accession-49634,CF04060,VIRTUAL_TRIAL,,,,,,,,2006,"5,5",,1,,2,,3,,1,
DI06010,2816865,BTH_Rennes_2006_SetB2_PIETIN-VERSE,BTH_Rennes_2006_SetB2_PIETIN-VERSE,48551,gnpis_pui:holding-921_taxon-4898_accession-48551,DI06010,VIRTUAL_TRIAL,,,,,,,,2006,"6,5",,1,,3,,4,,1,
DI06012,2816867,BTH_Rennes_2006_SetB2_PIETIN-VERSE,BTH_Rennes_2006_SetB2_PIETIN-VERSE,49037,gnpis_pui:holding-921_taxon-4898_accession-49037,DI06012,VIRTUAL_TRIAL,,,,,,,,2006,5,,6,,2,,2,,1,
DI06015,2816868,BTH_Rennes_2006_SetB2_PIETIN-VERSE,BTH_Rennes_2006_SetB2_PIETIN-VERSE,49503,gnpis_pui:holding-921_taxon-4898_accession-49503,DI06015,VIRTUAL_TRIAL,,,,,,,,2006,4,,1,,2,,2,,4,
AO05003,2816887,BTH_Rennes_2006_SetB2_PIETIN-VERSE,BTH_Rennes_2006_SetB2_PIETIN-VERSE,49730,gnpis_pui:holding-921_taxon-4898_accession-49730,AO05003,VIRTUAL_TRIAL,,,,,,,,2006,"3,5",,4,,5,,6,,1,
