observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI12011itkfi,2875154,BTH_Lusignan_2013_SetA2,BTH_Lusignan_2013_SetA2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,149,,"10,6",,"70,7",,"129,3",,"71,2",,"3,8",
DI12011itkt,2875155,BTH_Lusignan_2013_SetA2,BTH_Lusignan_2013_SetA2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,treated,2013,98,,146,,"11,6",,"72,5",,"98,4",,"80,5",,,
Grapeliitkfi,2875142,BTH_Lusignan_2013_SetA2,BTH_Lusignan_2013_SetA2,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,151,,10,,75,,"138,1",,76,,3,
RE11087itkfi,2875146,BTH_Lusignan_2013_SetA2,BTH_Lusignan_2013_SetA2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,151,,"10,8",,77,,"124,2",,"68,4",,"3,5",
EM11537itkt,2875089,BTH_Lusignan_2013_SetA2,BTH_Lusignan_2013_SetA2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2013,95,,151,,"10,6",,"77,8",,"106,7",,"87,3",,,
CF11029itkt,2875125,BTH_Lusignan_2013_SetA2,BTH_Lusignan_2013_SetA2,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,treated,2013,108,,152,,"9,8",,"74,8",,"121,6",,"99,5",,,
DI12004itkt,2875117,BTH_Lusignan_2013_SetA2,BTH_Lusignan_2013_SetA2,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,treated,2013,100,,151,,"10,8",,"76,8",,"106,3",,"86,9",,,
EM11537itkfi,2875088,BTH_Lusignan_2013_SetA2,BTH_Lusignan_2013_SetA2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,152,,"10,7",,"73,2",,"108,6",,"59,8",,"4,8",
CF11029itkfi,2875124,BTH_Lusignan_2013_SetA2,BTH_Lusignan_2013_SetA2,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,153,,"9,6",,"71,2",,"124,2",,"68,4",,"4,5",
EM11441itkt,2875123,BTH_Lusignan_2013_SetA2,BTH_Lusignan_2013_SetA2,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,treated,2013,95,,147,,"11,2",,"73,3",,"102,9",,"84,2",,,
Koreliitkt,2875121,BTH_Lusignan_2013_SetA2,BTH_Lusignan_2013_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2013,108,,152,,12,,"79,4",,"102,2",,"83,6",,,
Koreliitkfi,2875120,BTH_Lusignan_2013_SetA2,BTH_Lusignan_2013_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,152,,11,,"78,2",,"123,7",,"68,1",,4,
AO13010itkfi,2875138,BTH_Lusignan_2013_SetA2,BTH_Lusignan_2013_SetA2,60751,https://doi.org/10.15454/JYOJ35,AO13010,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,152,,"10,6",,"76,4",,"124,6",,"68,6",,"3,8",
