observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF10185itkfi,2881602,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,100,,143,,"9,9",,"92,6",,"65,4",,"1,5",,"6,8",,2,
DI11013itkfi,2881581,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,140,,"10,1",,"90,1",,"63,6",,"2,5",,5,,1,
DI11014itkfi,2881587,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,89,,140,,"10,4",,"100,4",,"70,9",,"1,5",,7,,1,
CF10185itkt,2881604,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2014,98,,142,,"10,1",,"100,1",,"94,5",,,,,,"5,5",
Rubiskoitkt,2881592,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,treated,2014,88,,132,,10,,"96,9",,"91,5",,,,,,"1,5",
AO13030itkt,2881562,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,treated,2014,88,,130,,"9,9",,"108,5",,"102,5",,,,,,1,
AO13047itknt,2881522,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,91,,135,,,,"109,8",,"82,2",,2,,"5,2",,3,
CF10185itknt,2881603,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,102,,141,,,,"94,5",,"70,7",,"2,5",,6,,"1,5",
RE11113itknt,2881558,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,102,,138,,,,"94,4",,"70,7",,2,,5,,7,
RE11113itkfi,2881557,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,98,,138,,"8,9",,"111,9",,79,,1,,"4,8",,"1,5",
Rubiskoitknt,2881591,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,89,,131,,,,"113,1",,"84,7",,1,,"7,5",,"2,5",
CF10064itkfi,2881503,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,139,,"10,1",,"114,6",,"80,9",,"1,5",,5,,1,
DI12005itkfi,2881524,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,142,,"9,4",,"118,6",,"83,8",,1,,"4,2",,1,
DI12005itkt,2881526,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,treated,2014,101,,142,,"9,6",,119,,"112,4",,,,,,1,
CF10064itkt,2881505,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2014,98,,140,,10,,"109,5",,"103,4",,,,,,4,
AO12021-2itkt,2881544,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,48626,https://doi.org/10.15454/QXYFWH,AO12021-2,VIRTUAL_TRIAL,,,,,,,,treated,2014,105,,135,,"10,1",,"111,3",,"105,1",,,,,,"2,5",
CF10064itknt,2881504,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,96,,138,,,,"99,1",,"74,2",,"2,2",,"5,8",,"3,5",
EM11537itknt,2881489,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,91,,140,,,,"99,9",,"74,8",,"1,5",,6,,"1,5",
Arezzoitknt,2881486,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,89,,130,,,,"94,3",,"70,6",,1,,8,,"4,5",
RE11116itkt,2881568,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,treated,2014,110,,139,,"9,6",,"91,6",,"86,5",,,,,,7,
DI12005itknt,2881525,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,95,,141,,,,"95,7",,"71,7",,2,,"5,8",,"1,5",
EM11537itkt,2881490,BTH_Le_Moulon_2014_SetA1,BTH_Le_Moulon_2014_SetA1,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2014,93,,142,,"10,2",,"109,3",,"103,2",,,,,,"1,5",
