,study_unique_id,study_title,study_description,description_of_the_experimental_design,start_date_of_study,end_date_of_study,contact_institution,geographic_location_country,experimental_site_name,geographic_location_lattitude,geographic_location_longitude,geographic_location_altitude,observatin_unit_description,description_of_growth_facilty
0,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,,,2005-10-20,2006-07-31,NA,,Lusignan,46.4,0.07,,NA,field
1,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,,,1999-10-20,2000-07-31,NA,,Rennes,48.106,-1.791,,NA,field
2,BTH_Orgeval_2014_SetB3,BTH_Orgeval_2014_SetB3,,,2013-10-20,2014-07-31,NA,,Orgeval,48.838,1.953,,NA,field
3,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,,,2002-10-20,2003-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
4,BTH_Colmar_2005_SetB2,BTH_Colmar_2005_SetB2,,,2004-10-20,2005-07-31,NA,,Colmar,48.064,7.33,,NA,field
5,BTH_Chaux_des_Prés_2010_SetB1,BTH_Chaux_des_Prés_2010_SetB1,,,2009-10-20,2010-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
6,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,,,2006-10-20,2007-07-31,NA,,Rennes,48.106,-1.791,,NA,field
7,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,,,2010-10-20,2011-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
8,BTH_Chaux_des_Prés_2007_SetB1,BTH_Chaux_des_Prés_2007_SetB1,,,2006-10-20,2007-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
9,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,,,2001-10-20,2002-07-31,NA,,Rennes,48.106,-1.791,,NA,field
10,BTH_Estrées-Mons_2014_SetB1,BTH_Estrées-Mons_2014_SetB1,,,2013-10-20,2014-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
11,BTH_Rennes_2008_SetA1,BTH_Rennes_2008_SetA1,,,2007-10-20,2008-07-31,NA,,Rennes,48.106,-1.791,,NA,field
12,BTH_Estrées-Mons_2011_SetB3,BTH_Estrées-Mons_2011_SetB3,,,2010-10-20,2011-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
13,BTH_Rennes_2003_SetA1_PIETIN-VERSE,BTH_Rennes_2003_SetA1_PIETIN-VERSE,,,2002-10-20,2003-07-31,NA,,Rennes,48.106,-1.791,,NA,field
14,BTH_Estrées-Mons_2001_SetA1,BTH_Estrées-Mons_2001_SetA1,,,2000-10-20,2001-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
15,BTH_Lusignan_2000_SetA,BTH_Lusignan_2000_SetA,,,1999-10-20,2000-07-31,NA,,Lusignan,46.4,0.07,,NA,field
16,BTH_Orgeval_2001_SetB2,BTH_Orgeval_2001_SetB2,,,2000-10-20,2001-07-31,NA,,Orgeval,48.838,1.953,,NA,field
17,BTH_Orgeval_2002_SetA1,BTH_Orgeval_2002_SetA1,,,2001-10-20,2002-07-31,NA,,Orgeval,48.838,1.953,,NA,field
18,BTH_Dijon_2010_SetA1,BTH_Dijon_2010_SetA1,,,2009-10-20,2010-07-31,NA,,Dijon,47.277,5.094,,NA,field
19,BTH_Clermont-Ferrand_2015_SetB1,BTH_Clermont-Ferrand_2015_SetB1,,,2014-10-20,2015-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
20,BTH_Dijon_2010_SetB2,BTH_Dijon_2010_SetB2,,,2009-10-20,2010-07-31,NA,,Dijon,47.277,5.094,,NA,field
21,BTH_Clermont-Ferrand_2011_SetB2,BTH_Clermont-Ferrand_2011_SetB2,,,2010-10-20,2011-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
22,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,,,2008-10-20,2009-07-31,NA,,Rennes,48.106,-1.791,,NA,field
23,BTH_Estrées-Mons_2011_SetB1,BTH_Estrées-Mons_2011_SetB1,,,2010-10-20,2011-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
24,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,,,2012-10-20,2013-07-31,NA,,Orgeval,48.838,1.953,,NA,field
25,BTH_Dijon_2015_SetB3,BTH_Dijon_2015_SetB3,,,2014-10-20,2015-07-31,NA,,Dijon,47.277,5.094,,NA,field
26,BTH_Estrées-Mons_2000_SetB1,BTH_Estrées-Mons_2000_SetB1,,,1999-10-20,2000-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
27,BTH_Estrées-Mons_2010_SetB2,BTH_Estrées-Mons_2010_SetB2,,,2009-10-20,2010-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
28,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,,,2013-10-20,2014-07-31,NA,,Lusignan,46.4,0.07,,NA,field
29,BTH_Rennes_2002_SetB1_PIETIN-VERSE,BTH_Rennes_2002_SetB1_PIETIN-VERSE,,,2001-10-20,2002-07-31,NA,,Rennes,48.106,-1.791,,NA,field
30,BTH_Clermont-Ferrand_2001_SetA1,BTH_Clermont-Ferrand_2001_SetA1,,,2000-10-20,2001-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
31,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,,,2011-10-20,2012-07-31,NA,,Lusignan,46.4,0.07,,NA,field
32,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,,,2002-10-20,2003-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
33,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,,,2006-10-20,2007-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
34,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,,,2013-10-20,2014-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
35,BTH_Estrées-Mons_2014_TECH,BTH_Estrées-Mons_2014_TECH,,,2013-10-20,2014-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
36,BTH_Colmar_2000_TECH,BTH_Colmar_2000_TECH,,,1999-10-20,2000-07-31,NA,,Colmar,48.064,7.33,,NA,field
37,BTH_Chaux_des_Prés_2009_SetB3,BTH_Chaux_des_Prés_2009_SetB3,,,2008-10-20,2009-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
38,BTH_Dijon_2007_SetB3,BTH_Dijon_2007_SetB3,,,2006-10-20,2007-07-31,NA,,Dijon,47.277,5.094,,NA,field
39,BTH_Rennes_2008_SetA1_PIETIN-VERSE,BTH_Rennes_2008_SetA1_PIETIN-VERSE,,,2007-10-20,2008-07-31,NA,,Rennes,48.106,-1.791,,NA,field
40,BTH_Rennes_2009_TECH,BTH_Rennes_2009_TECH,,,2008-10-20,2009-07-31,NA,,Rennes,48.106,-1.791,,NA,field
41,BTH_Rennes_2009_SetB1,BTH_Rennes_2009_SetB1,,,2008-10-20,2009-07-31,NA,,Rennes,48.106,-1.791,,NA,field
42,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,,,2011-10-20,2012-07-31,NA,,Lusignan,46.4,0.07,,NA,field
43,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,,,2009-10-20,2010-07-31,NA,,Lusignan,46.4,0.07,,NA,field
44,BTH_Chaux_des_Prés_2013_SetB1,BTH_Chaux_des_Prés_2013_SetB1,,,2012-10-20,2013-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
45,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,,,2004-10-20,2005-07-31,NA,,Lusignan,46.4,0.07,,NA,field
46,BTH_Lusignan_2003_SetA1,BTH_Lusignan_2003_SetA1,,,2002-10-20,2003-07-31,NA,,Lusignan,46.4,0.07,,NA,field
47,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,,,1999-10-20,2000-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
48,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,,,2006-10-20,2007-07-31,NA,,Rennes,48.106,-1.791,,NA,field
49,BTH_Lusignan_2002_SetA1,BTH_Lusignan_2002_SetA1,,,2001-10-20,2002-07-31,NA,,Lusignan,46.4,0.07,,NA,field
50,BTH_Chaux_des_Prés_2008_SetB2,BTH_Chaux_des_Prés_2008_SetB2,,,2007-10-20,2008-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
51,BTH_Lusignan_2009_SetB1,BTH_Lusignan_2009_SetB1,,,2008-10-20,2009-07-31,NA,,Lusignan,46.4,0.07,,NA,field
52,BTH_Rennes_2004_SetA1_PIETIN-VERSE,BTH_Rennes_2004_SetA1_PIETIN-VERSE,,,2003-10-20,2004-07-31,NA,,Rennes,48.106,-1.791,,NA,field
53,BTH_Clermont-Ferrand_2003_TECH,BTH_Clermont-Ferrand_2003_TECH,,,2002-10-20,2003-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
54,BTH_Champagne-céréales_2006_SetA1,BTH_Champagne-céréales_2006_SetA1,,,2005-10-20,2006-07-31,NA,France,Champagne-céréales,49.42,4.272,,NA,field
55,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,,,2009-10-20,2010-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
56,BTH_Estrées-Mons_2004_SetB1,BTH_Estrées-Mons_2004_SetB1,,,2003-10-20,2004-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
57,BTH_Rennes_2003_SetB1_PIETIN-VERSE,BTH_Rennes_2003_SetB1_PIETIN-VERSE,,,2002-10-20,2003-07-31,NA,,Rennes,48.106,-1.791,,NA,field
58,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,,,2014-10-20,2015-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
59,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,,,2008-10-20,2009-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
60,BTH_Chaux_des_Prés_2006_SetA2,BTH_Chaux_des_Prés_2006_SetA2,,,2005-10-20,2006-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
61,BTH_Rennes_2004_SetA2,BTH_Rennes_2004_SetA2,,,2003-10-20,2004-07-31,NA,,Rennes,48.106,-1.791,,NA,field
62,BTH_Clermont-Ferrand_2003_SetA1,BTH_Clermont-Ferrand_2003_SetA1,,,2002-10-20,2003-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
63,BTH_Estrées-Mons_2015_SetA2,BTH_Estrées-Mons_2015_SetA2,,,2014-10-20,2015-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
64,BTH_Chaux_des_Prés_2004_SetB2,BTH_Chaux_des_Prés_2004_SetB2,,,2003-10-20,2004-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
65,BTH_Rennes_2004_SetB1,BTH_Rennes_2004_SetB1,,,2003-10-20,2004-07-31,NA,,Rennes,48.106,-1.791,,NA,field
66,BTH_Le_Moulon_2001_SetB2,BTH_Le_Moulon_2001_SetB2,,,2000-10-20,2001-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
67,BTH_Rennes_2011_SetA1,BTH_Rennes_2011_SetA1,,,2010-10-20,2011-07-31,NA,,Rennes,48.106,-1.791,,NA,field
68,BTH_Orgeval_2003_SetB1,BTH_Orgeval_2003_SetB1,,,2002-10-20,2003-07-31,NA,,Orgeval,48.838,1.953,,NA,field
69,BTH_Clermont-Ferrand_2000_SetB3,BTH_Clermont-Ferrand_2000_SetB3,,,1999-10-20,2000-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
70,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,,,2000-10-20,2001-07-31,NA,,Colmar,48.064,7.33,,NA,field
71,BTH_Rennes_2007_SetA1,BTH_Rennes_2007_SetA1,,,2006-10-20,2007-07-31,NA,,Rennes,48.106,-1.791,,NA,field
72,BTH_Orgeval_2013_SetB3,BTH_Orgeval_2013_SetB3,,,2012-10-20,2013-07-31,NA,,Orgeval,48.838,1.953,,NA,field
73,BTH_Estrées-Mons_2008_SetB1,BTH_Estrées-Mons_2008_SetB1,,,2007-10-20,2008-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
74,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,,,2007-10-20,2008-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
75,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,,,2006-10-20,2007-07-31,NA,,Lusignan,46.4,0.07,,NA,field
76,BTH_Clermont-Ferrand_2003_SetB3,BTH_Clermont-Ferrand_2003_SetB3,,,2002-10-20,2003-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
77,BTH_Colmar_2002_SetB1,BTH_Colmar_2002_SetB1,,,2001-10-20,2002-07-31,NA,,Colmar,48.064,7.33,,NA,field
78,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,,,2008-10-20,2009-07-31,NA,,Rennes,48.106,-1.791,,NA,field
79,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,,,2002-10-20,2003-07-31,NA,,Rennes,48.106,-1.791,,NA,field
80,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,,,2007-10-20,2008-07-31,NA,,Lusignan,46.4,0.07,,NA,field
81,BTH_Dijon_2003_SetB1,BTH_Dijon_2003_SetB1,,,2002-10-20,2003-07-31,NA,,Dijon,47.277,5.094,,NA,field
82,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,,,2009-10-20,2010-07-31,NA,,Rennes,48.106,-1.791,,NA,field
83,BTH_Orgeval_2013_SetB1,BTH_Orgeval_2013_SetB1,,,2012-10-20,2013-07-31,NA,,Orgeval,48.838,1.953,,NA,field
84,BTH_Orgeval_2005_SetA2,BTH_Orgeval_2005_SetA2,,,2004-10-20,2005-07-31,NA,,Orgeval,48.838,1.953,,NA,field
85,BTH_Lusignan_2005_SetA1,BTH_Lusignan_2005_SetA1,,,2004-10-20,2005-07-31,NA,,Lusignan,46.4,0.07,,NA,field
86,BTH_Champagne-céréales_2014_SetA1,BTH_Champagne-céréales_2014_SetA1,,,2013-10-20,2014-07-31,NA,France,Champagne-céréales,49.42,4.272,,NA,field
87,BTH_Clermont-Ferrand_2005_SetB1,BTH_Clermont-Ferrand_2005_SetB1,,,2004-10-20,2005-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
88,BTH_Orgeval_2009_SetA1,BTH_Orgeval_2009_SetA1,,,2008-10-20,2009-07-31,NA,,Orgeval,48.838,1.953,,NA,field
89,BTH_Dijon_2004_SetB3,BTH_Dijon_2004_SetB3,,,2003-10-20,2004-07-31,NA,,Dijon,47.277,5.094,,NA,field
90,BTH_Epi-centre_2011_SetA1,BTH_Epi-centre_2011_SetA1,,,2010-10-20,2011-07-31,NA,France,Epi-centre,47.029,2.331,,NA,field
91,BTH_Rennes_2003_SetB2_PIETIN-VERSE,BTH_Rennes_2003_SetB2_PIETIN-VERSE,,,2002-10-20,2003-07-31,NA,,Rennes,48.106,-1.791,,NA,field
92,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,,,2002-10-20,2003-07-31,NA,,Rennes,48.106,-1.791,,NA,field
93,BTH_Orgeval_2011_SetB1,BTH_Orgeval_2011_SetB1,,,2010-10-20,2011-07-31,NA,,Orgeval,48.838,1.953,,NA,field
