observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2821748,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,27825,https://doi.org/10.15454/FYAJT8,RE05039,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,78",,68,,"1,5",,"56,67",
1,2821822,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26977,https://doi.org/10.15454/RGT6YF,DI06007,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,61",,"76,4",,,,"74,94",
1,2821820,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26977,https://doi.org/10.15454/RGT6YF,DI06007,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,05",,"72,8",,1,,"62,09",
1,2821744,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26974,https://doi.org/10.15454/BQTYVO,CF05161,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,53",,"65,9",,3,,"42,74",
1,2821816,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26988,https://doi.org/10.15454/FV0GUM,EM05230,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,48",,"69,7",,1,,"56,21",
2,2821817,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26988,https://doi.org/10.15454/FV0GUM,EM05230,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,04",,"69,9",,3,,"56,37",
2,2821819,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26988,https://doi.org/10.15454/FV0GUM,EM05230,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,03",,"74,6",,,,"72,78",
1,2821818,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26988,https://doi.org/10.15454/FV0GUM,EM05230,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,67",,"74,7",,,,"76,29",
2,2821763,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26987,https://doi.org/10.15454/KGPOGY,EM05178,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,58",,"75,2",,,,"72,2",
2,2821761,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26987,https://doi.org/10.15454/KGPOGY,EM05178,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,44",,"67,6",,"4,2",,"43,92",
1,2821762,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26987,https://doi.org/10.15454/KGPOGY,EM05178,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,74",,"76,2",,,,"77,5",
1,2821760,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26987,https://doi.org/10.15454/KGPOGY,EM05178,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,47",,67,,"2,2",,"41,37",
2,2821771,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,78",,"73,4",,,,"74,24",
1,2821770,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,21",,"73,6",,,,"81,68",
2,2821769,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,37",,"65,7",,"5,5",,"53,19",
1,2821768,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,62",,65,,"3,2",,"46,76",
1,2821826,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49291,https://doi.org/10.15454/RCJVYZ,DI06004,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,81",,75,,,,"76,13",
1,2821824,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49291,https://doi.org/10.15454/RCJVYZ,DI06004,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,95",,"65,5",,"1,5",,"45,45",
2,2821827,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49291,https://doi.org/10.15454/RCJVYZ,DI06004,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,16",,"68,1",,,,"75,79",
2,2821825,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49291,https://doi.org/10.15454/RCJVYZ,DI06004,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,54",,"69,2",,"3,8",,"49,83",
1,2821810,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49098,https://doi.org/10.15454/YQH6B1,CF05070,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"13,43",,"74,1",,,,"69,03",
2,2821809,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49098,https://doi.org/10.15454/YQH6B1,CF05070,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,28",,"70,3",,"6,5",,"45,23",
2,2821811,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49098,https://doi.org/10.15454/YQH6B1,CF05070,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"13,08",,"73,3",,,,"69,34",
1,2821808,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49098,https://doi.org/10.15454/YQH6B1,CF05070,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,9",,"69,4",,"3,2",,"44,15",
