observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI12011itkfi,2873914,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,141,,"10,3",,69,,"79,9",,1,,"85,1",,1,,1,
DI12011itkt,2873915,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,139,,"11,3",,"77,5",,"86,3",,,,93,,,,1,
CF11029itkfi,2873884,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,154,,"9,3",,"73,5",,"78,3",,1,,"83,3",,7,,1,
EM11537itkt,2873849,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,150,,"10,2",,"82,5",,"89,1",,,,96,,,,1,
EM11537itkfi,2873848,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,153,,"9,8",,80,,"90,2",,1,,96,,1,,1,
AO13010itkt,2873899,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,60751,https://doi.org/10.15454/JYOJ35,AO13010,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,144,,"11,3",,"84,5",,"93,4",,,,"100,7",,,,1,
CF11029itkt,2873885,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,151,,"10,4",,80,,"95,7",,,,"103,2",,,,1,
EM11366itkfi,2873910,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,145,,"9,6",,83,,"93,8",,3,,"99,9",,1,,3,
EM11579itkfi,2873920,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,144,,"10,6",,"76,5",,"77,9",,1,,"82,9",,1,,1,
EM11579itkt,2873921,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,144,,"11,5",,"77,5",,"81,7",,,,88,,,,1,
Koreliitkfi,2873880,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,151,,"10,8",,83,,"90,4",,1,,"96,3",,1,,1,
RE11087itkt,2873907,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,143,,"11,1",,82,,"100,3",,,,108,,,,2,
Koreliitkt,2873881,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,147,,11,,"85,5",,"92,9",,,,"100,1",,,,2,
Bermudeitkfi,2873858,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,147,,"9,9",,80,,89,,3,,"94,8",,1,,1,
Barokitkfi,2873890,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,146,,"10,4",,"78,5",,"89,6",,1,,"95,4",,1,,2,
CF11051itkt,2873853,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,146,,"10,7",,"84,5",,"99,6",,,,"107,3",,,,1,
Barokitkt,2873891,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,142,,"11,1",,79,,"91,6",,,,"98,8",,,,1,
CF11051itkfi,2873852,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,149,,"9,8",,84,,"94,6",,1,,"100,7",,1,,1,
EM11400itkfi,2873896,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,146,,"10,9",,79,,98,,1,,"104,3",,1,,1,
RE11113itkt,2873905,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,152,,11,,82,,"84,9",,,,"91,5",,,,1,
CF11177itkfi,2873918,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,3,,152,,"10,2",,79,,"95,2",,1,,"101,4",,1,,1,
RE11113itkfi,2873904,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,154,,"10,3",,"79,5",,"82,4",,1,,"87,8",,1,,2,
DI12004itkfi,2873876,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,150,,"9,8",,82,,"92,9",,1,,99,,1,,1,
RE11035itkfi,2873872,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,151,,"10,3",,"81,5",,"96,8",,1,,"103,1",,1,,1,
EM11604itkfi,2873888,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,143,,"10,6",,78,,"79,6",,1,,"84,8",,1,,1,
RE11035itkt,2873873,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,148,,"10,9",,83,,"93,4",,,,"100,6",,,,1,
RE11059itkfi,2873868,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,152,,"10,6",,81,,"87,9",,1,,"93,6",,1,,1,
CF11177itkt,2873919,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,147,,"11,6",,82,,"97,4",,,,"104,9",,,,1,
AO13012itkt,2873901,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,60784,https://doi.org/10.15454/3K0RWB,AO13012,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,148,,"10,7",,"82,5",,"91,6",,,,"98,7",,,,1,
EM11604itkt,2873889,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,142,,"11,1",,"79,5",,"81,7",,,,"88,1",,,,1,
Altigoitkfi,2873894,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,139,,"9,8",,"78,5",,"97,8",,1,,"104,1",,3,,1,
RE11059itkt,2873869,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,145,,"11,1",,82,,"87,9",,,,"94,8",,,,1,
RE11091itkt,2873867,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,145,,"11,6",,"78,5",,"85,4",,,,"92,1",,,,1,
CF11215itkfi,2873844,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49188,https://doi.org/10.15454/5IXUYK,CF11215,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,149,,"10,4",,"80,5",,"77,5",,4,,"82,5",,1,,1,
CF11215itkt,2873845,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49188,https://doi.org/10.15454/5IXUYK,CF11215,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,146,,"11,1",,83,,"81,7",,,,"88,1",,,,1,
RE11058itkfi,2873870,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,143,,"9,9",,"78,5",,91,,1,,"96,9",,1,,2,
RE11091itkfi,2873866,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,147,,"10,4",,"78,5",,"82,4",,1,,"87,8",,1,,1,
RE11116itkfi,2873908,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,4,,149,,"9,6",,"78,5",,"97,3",,1,,"103,6",,1,,2,
CF11291itkfi,2873922,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,138,,"9,8",,"75,5",,"82,9",,1,,"88,2",,1,,1,
RE11116itkt,2873909,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,143,,"10,4",,77,,"94,3",,,,"101,6",,,,1,
RE11058itkt,2873871,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,142,,"10,4",,81,,"98,6",,,,"106,3",,,,1,
RE11094itkt,2873865,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48366,https://doi.org/10.15454/ZSJORF,RE11094,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,143,,"11,4",,"78,5",,"90,5",,,,"97,5",,,,1,
RE11094itkfi,2873864,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48366,https://doi.org/10.15454/ZSJORF,RE11094,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,147,,"10,4",,"76,5",,"84,4",,1,,"89,8",,1,,2,
