observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
CF10299itkt,2861885,BTH_Estrées-Mons_2011_TECH,BTH_Estrées-Mons_2011_TECH,61198,https://doi.org/10.15454/BXUMII,CF10299,VIRTUAL_TRIAL,,,,,,,,treated,2011,"19,1",,74,,NA,,100,,NA,,"26,3",,NA,,"83,5",,NA,,"209,8",,66,,"0,89",,185,,13,,323,,"9,9",,"73,9",,NA,,1310,,NA,
EM10126itkt,2861870,BTH_Estrées-Mons_2011_TECH,BTH_Estrées-Mons_2011_TECH,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2011,"14,3",,42,,NA,,100,,NA,,"42,5",,NA,,"89,5",,NA,,232,,108,,"2,6",,153,,70,,228,,"9,1",,"74,5",,NA,,1600,,NA,
DI08019-2itkt,2861857,BTH_Estrées-Mons_2011_TECH,BTH_Estrées-Mons_2011_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2011,"11,6",,27,,76,,NA,,15,,NA,,47,,NA,,138,,NA,,120,,"4,44",,144,,71,,348,,"9,9",,NA,,888,,NA,,26,
CF10185itkt,2861899,BTH_Estrées-Mons_2011_TECH,BTH_Estrées-Mons_2011_TECH,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2011,"19,4",,76,,NA,,100,,NA,,"63,1",,NA,,"85,1",,NA,,"248,2",,110,,"1,44",,317,,81,,376,,"10,9",,"78,8",,NA,,1890,,NA,
CF10140itkt,2861859,BTH_Estrées-Mons_2011_TECH,BTH_Estrées-Mons_2011_TECH,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,treated,2011,"17,7",,63,,NA,,94,,NA,,"31,6",,NA,,"77,8",,NA,,"203,3",,122,,"1,93",,319,,84,,351,,"10,7",,"78,3",,NA,,1310,,NA,
CF10042itkt,2861866,BTH_Estrées-Mons_2011_TECH,BTH_Estrées-Mons_2011_TECH,61896,https://doi.org/10.15454/RC9XEF,CF10042,VIRTUAL_TRIAL,,,,,,,,treated,2011,"15,3",,48,,NA,,97,,NA,,"46,4",,NA,,"79,2",,NA,,"222,7",,121,,"2,55",,207,,82,,343,,"10,2",,"80,7",,NA,,1410,,NA,
CF10064itkt,2861893,BTH_Estrées-Mons_2011_TECH,BTH_Estrées-Mons_2011_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,8",,71,,NA,,91,,NA,,29,,NA,,"86,6",,NA,,"206,6",,84,,"1,18",,232,,14,,337,,"10,5",,"77,4",,NA,,1400,,NA,
CF09117itkt,2861895,BTH_Estrées-Mons_2011_TECH,BTH_Estrées-Mons_2011_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,2",,67,,79,,NA,,6,,NA,,44,,NA,,129,,NA,,124,,"1,85",,326,,79,,356,,"11,9",,NA,,950,,NA,,41,
CF09227itkt,2861901,BTH_Estrées-Mons_2011_TECH,BTH_Estrées-Mons_2011_TECH,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2011,"13,4",,36,,73,,NA,,5,,NA,,45,,NA,,123,,NA,,107,,"2,97",,168,,"89,5",,343,,"10,2",,NA,,875,,NA,,"31,5",
EM08231itkt,2861888,BTH_Estrées-Mons_2011_TECH,BTH_Estrées-Mons_2011_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2011,"20,1",,82,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,45,,"0,54",,101,,33,,72,,"11,2",,NA,,NA,,NA,,17,
