observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO14011itkfi,2886137,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61971,https://doi.org/10.15454/O3PVS1,AO14011,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,81,,138,,"10,2",,"110,3",,"71,8",,2,,"6,8",,,
RE13106itkfi,2886177,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,49524,https://doi.org/10.15454/FSEIOR,RE13106,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,131,,"9,8",,"100,6",,"65,5",,2,,"6,2",,,
RE13074itkfi,2886157,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61604,https://doi.org/10.15454/DDCHHB,RE13074,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,95,,142,,"10,1",,117,,"76,2",,1,,"4,2",,,
AO14011itkt,2886138,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61971,https://doi.org/10.15454/O3PVS1,AO14011,VIRTUAL_TRIAL,,,,,,,,treated,2014,90,,136,,"10,4",,"107,6",,"103,4",,,,,,1,
CF13042itkt,2886162,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61005,https://doi.org/10.15454/ONQVGT,CF13042,VIRTUAL_TRIAL,,,,,,,,treated,2014,100,,138,,"10,1",,"102,6",,"98,6",,,,,,1,
Lyrikitkt,2886188,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2014,96,,139,,"9,3",,"113,3",,"108,8",,,,,,1,
AO14017itkt,2886150,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,62096,https://doi.org/10.15454/JY3UZ7,AO14017,VIRTUAL_TRIAL,,,,,,,,treated,2014,106,,138,,"10,5",,"112,4",,108,,,,,,1,
RE13074itkt,2886158,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61604,https://doi.org/10.15454/DDCHHB,RE13074,VIRTUAL_TRIAL,,,,,,,,treated,2014,108,,140,,"10,5",,"106,6",,"102,4",,,,,,"2,5",
AO14017itkfi,2886149,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,62096,https://doi.org/10.15454/JY3UZ7,AO14017,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,96,,139,,"10,4",,"122,2",,"79,6",,"1,5",,"4,8",,,
CF13042itkfi,2886161,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61005,https://doi.org/10.15454/ONQVGT,CF13042,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,136,,"10,2",,"101,1",,"65,8",,"2,5",,"5,2",,,
RE13106itkt,2886178,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,49524,https://doi.org/10.15454/FSEIOR,RE13106,VIRTUAL_TRIAL,,,,,,,,treated,2014,96,,130,,"9,8",,"99,7",,"95,8",,,,,,"5,5",
AO14022itkfi,2886173,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61039,https://doi.org/10.15454/T1DLTW,AO14022,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,143,,"9,2",,"124,4",,"81,1",,"1,5",,"3,8",,,
AO14015itkfi,2886145,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,62064,https://doi.org/10.15454/1MJ4QE,AO14015,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,87,,138,,"10,5",,"112,4",,"73,2",,"1,5",,"4,8",,,
CF13057itkt,2886126,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,treated,2014,98,,136,,"10,2",,"111,7",,"107,3",,,,,,2,
AO14009itkfi,2886185,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61940,https://doi.org/10.15454/SOX3JM,AO14009,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,74,,140,,"10,9",,109,,71,,1,,"5,8",,,
CF13057itkfi,2886125,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,135,,"10,1",,"124,3",,81,,"1,5",,6,,,
AO14009itkt,2886186,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61940,https://doi.org/10.15454/SOX3JM,AO14009,VIRTUAL_TRIAL,,,,,,,,treated,2014,77,,138,,"10,7",,"92,2",,"88,6",,,,,,1,
AO14015itkt,2886146,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,62064,https://doi.org/10.15454/1MJ4QE,AO14015,VIRTUAL_TRIAL,,,,,,,,treated,2014,99,,136,,"10,8",,"100,3",,"96,4",,,,,,1,
Rubiskoitkfi,2886183,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,81,,132,,"10,1",,"118,4",,"77,1",,1,,6,,,
DI14003itkt,2886120,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61289,https://doi.org/10.15454/SINHNW,DI14003,VIRTUAL_TRIAL,,,,,,,,treated,2014,96,,140,,"9,4",,"113,5",,109,,,,,,"1,5",
CF13016itkfi,2886117,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,60991,https://doi.org/10.15454/ODX7BB,CF13016,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,136,,"10,2",,"97,7",,"63,6",,1,,"5,8",,,
DI14003itkfi,2886119,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61289,https://doi.org/10.15454/SINHNW,DI14003,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,140,,"10,4",,"98,7",,"64,3",,"2,2",,"6,5",,,
AO14008itkfi,2886163,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61924,https://doi.org/10.15454/7FN5V4,AO14008,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,139,,"9,9",,"109,8",,"71,5",,2,,"4,2",,,
CF13045itkt,2886160,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,48911,gnpis_pui:holding-921_taxon-4898_accession-48911,CF13045,VIRTUAL_TRIAL,,,,,,,,treated,2014,96,,135,,"10,1",,"102,6",,"98,6",,,,,,"1,5",
AO14019itkfi,2886169,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,62128,https://doi.org/10.15454/8LK3JI,AO14019,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,141,,"8,8",,"103,3",,"67,3",,1,,"5,5",,,
AO14019itkt,2886170,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,62128,https://doi.org/10.15454/8LK3JI,AO14019,VIRTUAL_TRIAL,,,,,,,,treated,2014,92,,140,,"8,9",,"114,4",,110,,,,,,2,
EM13073itkt,2886176,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,treated,2014,91,,137,,"10,1",,"98,2",,"94,3",,,,,,2,
EM13073itkfi,2886175,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,139,,"9,5",,"116,2",,"75,7",,1,,"4,2",,,
AO14008itkt,2886164,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61924,https://doi.org/10.15454/7FN5V4,AO14008,VIRTUAL_TRIAL,,,,,,,,treated,2014,100,,139,,"10,3",,"94,7",,91,,,,,,"4,5",
CF13045itkfi,2886159,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,48911,gnpis_pui:holding-921_taxon-4898_accession-48911,CF13045,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,136,,"10,5",,"107,7",,"70,2",,1,,"5,8",,,
CF13016itkt,2886118,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,60991,https://doi.org/10.15454/ODX7BB,CF13016,VIRTUAL_TRIAL,,,,,,,,treated,2014,104,,138,,"10,2",,"94,6",,"90,9",,,,,,"3,5",
