observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI05020-2itkt,2818651,BTH_Orgeval_2006_TECH,BTH_Orgeval_2006_TECH,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,2006,"26,4",,141,,91,,33,,56,,181,,59,,"0,42",,222,,58,,453,,"12,45",,"74,4",,1440,,44,
DI06007itkt,2818671,BTH_Orgeval_2006_TECH,BTH_Orgeval_2006_TECH,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,19,,NA,,"13,2",,NA,,NA,,NA,
DI05022itkt,2818615,BTH_Orgeval_2006_TECH,BTH_Orgeval_2006_TECH,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,2006,"25,2",,129,,94,,69,,57,,220,,56,,"0,44",,184,,56,,419,,"12,35",,"73,3",,1565,,43,
Barokitkt,2818614,BTH_Orgeval_2006_TECH,BTH_Orgeval_2006_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2006,"28,9",,169,,97,,78,,75,,250,,49,,"0,29",,189,,"61,5",,287,,"12,95",,"71,1",,1925,,44,
EM05055itkt,2818648,BTH_Orgeval_2006_TECH,BTH_Orgeval_2006_TECH,26970,https://doi.org/10.15454/ASLJXK,EM05055,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,13,,NA,,"11,9",,NA,,NA,,NA,
CF05173itkt,2818661,BTH_Orgeval_2006_TECH,BTH_Orgeval_2006_TECH,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,7,,NA,,"10,9",,NA,,NA,,NA,
EM03332itkt,2818665,BTH_Orgeval_2006_TECH,BTH_Orgeval_2006_TECH,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,2006,"18,8",,72,,91,,53,,83,,227,,79,,"1,11",,203,,65,,394,,"11,55",,73,,1530,,37,
CF05079itkt,2818660,BTH_Orgeval_2006_TECH,BTH_Orgeval_2006_TECH,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,66,,NA,,"10,9",,NA,,NA,,NA,
CF05091itkt,2818646,BTH_Orgeval_2006_TECH,BTH_Orgeval_2006_TECH,26973,https://doi.org/10.15454/GWNEQR,CF05091,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,71,,NA,,"12,7",,NA,,NA,,NA,
DI05014itkt,2818633,BTH_Orgeval_2006_TECH,BTH_Orgeval_2006_TECH,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,2006,"20,9",,89,,97,,74,,85,,256,,49,,"0,56",,161,,"7,5",,351,,"12,15",,"73,2",,1790,,26,
